Time,147063
a,b,valid,Percentage_of_results
11,59,False,0.2
6,61,False,0.2
7,127,False,1.6
65,31,False,0.1
47,89,False,0.1
53,121,False,0.1
9,93,False,0.2
31,41,False,0.6
11,107,False,0.1
63,63,False,0.1
7,123,False,1.3
27,45,False,0.2
22,59,False,0.1
23,59,False,0.2
47,123,False,0.3
51,53,False,0.1
59,41,False,0.3
10,111,False,0.1
42,111,False,0.2
15,59,False,0.1
10,61,False,0.1
2,59,False,0.1
47,61,False,0.3
58,41,False,0.1
5,127,False,1.3
53,105,False,0.1
23,125,False,0.3
47,41,False,0.1
55,47,False,0.1
23,121,False,0.3
47,53,False,0.1
9,123,False,0.3
9,127,False,0.4
13,79,False,0.1
59,57,False,0.1
22,111,False,0.3
45,123,False,0.2
31,123,False,0.3
33,123,False,0.2
55,63,False,0.1
46,123,False,0.3
29,123,False,0.1
51,105,False,0.1
13,41,False,0.1
14,61,False,0.1
18,105,False,0.2
5,63,False,0.2
39,99,False,0.1
11,121,False,0.8
51,107,False,0.4
63,43,False,0.2
11,125,False,1.6
31,53,False,0.1
6,63,False,0.2
31,95,False,0.1
63,9,False,0.3
15,117,False,0.4
63,41,False,0.4
38,125,False,0.2
41,127,False,0.3
17,63,False,0.1
7,107,False,0.4
5,121,False,0.1
41,41,False,0.2
19,123,False,0.6
51,43,False,0.1
6,125,False,0.5
59,125,False,0.2
46,61,False,0.3
3,111,False,0.7
19,59,False,0.1
23,89,False,0.1
9,61,False,0.1
27,25,False,0.1
23,61,False,0.1
86,79,False,0.1
9,91,False,0.2
21,95,False,0.1
3,63,False,0.4
5,122,False,0.1
38,111,False,0.3
11,61,False,0.3
9,63,False,0.2
50,107,False,0.1
69,63,False,0.1
37,127,False,0.2
107,61,False,0.1
21,123,False,0.4
23,75,False,0.2
43,61,False,0.6
27,63,False,0.1
43,125,False,0.6
22,41,False,0.2
57,57,False,0.1
7,91,False,0.5
11,123,False,0.5
23,127,False,0.4
39,125,False,0.3
19,57,False,0.1
1,123,False,0.5
19,119,False,0.2
38,113,False,0.1
37,121,False,0.1
5,123,False,0.7
19,99,False,0.1
30,59,False,0.3
25,88,False,0.1
30,47,False,0.1
31,63,False,0.4
31,57,False,0.2
37,109,False,0.1
29,57,False,0.1
13,93,False,0.1
35,121,False,0.1
19,107,False,0.3
63,47,False,0.2
27,117,False,0.1
26,125,False,0.1
27,109,False,0.2
11,127,False,0.3
59,59,False,0.1
18,57,False,0.1
11,105,False,0.1
6,109,False,0.1
27,107,False,0.2
14,127,False,0.7
39,107,False,0.2
11,93,False,0.1
62,45,False,0.1
25,127,False,0.1
1,127,False,0.5
63,91,False,0.1
10,125,False,0.3
15,57,False,0.5
39,127,False,0.4
59,9,False,0.2
3,126,False,0.2
23,93,False,0.1
15,125,False,0.4
15,121,False,0.6
51,57,False,0.1
3,127,False,0.7
51,47,False,0.1
3,123,False,1.0
5,93,False,0.1
7,59,False,0.4
39,111,False,0.1
17,111,False,0.1
3,95,False,0.1
31,45,False,0.2
11,104,False,0.1
42,41,False,0.1
21,59,False,0.1
43,123,False,0.5
23,47,False,0.2
63,37,False,0.1
27,43,False,0.1
51,125,False,0.3
35,123,False,0.8
35,59,False,0.1
27,61,False,0.2
6,95,False,0.2
25,57,False,0.1
38,123,False,0.1
21,127,False,0.1
13,127,False,0.1
54,107,False,0.3
43,111,False,0.2
19,105,False,0.1
47,121,False,0.3
46,45,False,0.1
43,59,False,0.1
43,45,False,0.2
35,119,False,0.1
45,63,False,0.1
23,73,False,0.2
15,127,False,0.2
47,125,False,0.1
11,57,False,0.1
71,57,False,0.1
15,89,False,0.1
3,107,False,0.2
3,83,False,0.1
50,127,False,0.1
10,57,False,0.1
55,59,False,0.4
11,122,False,0.1
35,105,False,0.1
15,41,False,0.1
63,73,False,0.1
95,57,False,0.1
15,113,False,0.1
11,47,False,0.2
51,127,False,0.1
11,119,False,0.2
35,127,False,0.6
18,123,False,0.2
14,63,False,0.3
10,63,False,0.1
35,45,False,0.1
15,61,False,0.3
22,121,False,0.3
19,111,False,0.3
22,109,False,0.1
6,111,False,0.1
22,125,False,0.2
6,123,False,0.5
54,121,False,0.1
7,125,False,0.1
30,107,False,0.1
62,41,False,0.3
43,89,False,0.1
55,123,False,0.1
11,109,False,0.1
18,61,False,0.1
63,105,False,0.2
41,93,False,0.1
57,91,False,0.1
27,89,False,0.1
11,41,False,0.1
55,105,False,0.1
54,57,False,0.1
7,93,False,0.1
57,109,False,0.1
13,121,False,0.2
57,55,False,0.1
59,73,False,0.1
47,93,False,0.2
9,43,False,0.1
29,111,False,0.1
51,123,False,0.1
21,111,False,0.1
61,11,False,0.1
67,58,False,0.1
5,59,False,0.2
62,57,False,0.3
63,57,False,0.5
22,123,False,0.3
2,127,False,0.7
19,61,False,0.1
6,121,False,0.3
17,75,False,0.1
27,35,False,0.1
31,29,False,0.1
47,46,False,0.1
47,43,False,0.1
23,107,False,0.2
69,123,False,0.1
78,57,False,0.1
39,63,False,0.1
7,47,False,0.2
14,105,False,0.2
23,105,False,0.2
46,127,False,0.2
33,127,False,0.3
41,125,False,0.2
45,93,False,0.1
55,125,False,0.1
19,127,False,0.2
78,95,False,0.1
2,107,False,0.1
45,111,False,0.2
14,121,False,0.3
15,95,False,0.3
3,124,False,0.1
59,62,False,0.1
31,91,False,0.1
3,79,False,0.1
42,107,False,0.1
23,111,False,0.3
42,109,False,0.1
119,39,False,0.1
75,47,False,0.1
3,75,False,0.1
17,95,False,0.1
59,37,False,0.1
23,109,False,0.2
23,95,False,0.2
21,47,False,0.1
26,41,False,0.1
13,123,False,0.2
15,29,False,0.2
46,89,False,0.2
31,89,False,0.2
45,91,False,0.1
2,55,False,0.1
7,122,False,0.1
26,123,False,0.2
47,45,False,0.2
3,125,False,0.3
51,63,False,0.1
17,127,False,0.3
45,95,False,0.1
33,47,False,0.2
14,95,False,0.1
35,110,False,0.1
5,115,False,0.1
127,57,False,0.1
9,125,False,0.4
8,127,False,0.1
11,63,False,0.2
13,59,False,0.1
6,127,False,0.6
49,121,False,0.1
50,63,False,0.2
63,61,False,0.2
61,111,False,0.1
15,109,False,0.1
61,89,False,0.1
13,63,False,0.2
59,43,False,0.3
45,127,False,0.2
59,61,False,0.1
46,57,False,0.4
38,127,False,0.2
39,45,False,0.1
95,67,False,0.1
31,43,False,0.2
67,79,False,0.1
50,121,False,0.1
27,125,False,0.1
37,123,False,0.1
50,109,False,0.1
10,123,False,0.4
13,125,False,0.1
5,111,False,0.1
31,11,False,0.1
30,125,False,0.1
27,87,False,0.1
39,123,False,0.3
14,125,False,0.2
10,107,False,0.1
26,107,False,0.1
38,105,False,0.2
58,63,False,0.2
19,121,False,0.2
57,45,False,0.1
7,106,False,0.1
53,123,False,0.2
43,57,False,0.3
87,91,False,0.2
3,109,False,0.1
55,109,False,0.2
79,77,False,0.1
52,63,False,0.1
5,87,False,0.1
55,107,False,0.2
13,126,False,0.1
18,63,False,0.1
82,125,False,0.1
39,73,False,0.1
71,43,False,0.1
10,109,False,0.1
63,103,False,0.1
43,41,False,0.1
18,125,False,0.1
18,95,False,0.1
39,61,False,0.3
19,103,False,0.1
63,74,False,0.1
27,41,False,0.1
21,13,False,0.1
63,45,False,0.4
1,125,False,0.1
15,105,False,0.5
41,43,False,0.1
42,125,False,0.2
35,126,False,0.1
51,119,False,0.1
25,95,False,0.2
93,61,False,0.1
55,75,False,0.1
7,61,False,0.1
119,41,False,0.4
43,29,False,0.1
94,33,False,0.1
39,58,False,0.1
15,123,False,0.3
47,47,False,0.1
27,105,False,0.1
14,113,False,0.1
126,105,False,0.1
103,123,False,0.1
30,127,False,0.2
13,57,False,0.1
70,55,False,0.1
47,57,False,0.3
83,109,False,0.1
87,115,False,0.1
58,61,False,0.1
