Time,250134
a,b,valid,Percentage_of_results
127,33,False,2.2
29,111,False,0.4
59,34,False,0.1
127,32,False,0.5
47,45,False,0.1
31,105,False,0.2
63,51,False,2.9
11,125,False,0.1
63,49,False,1.1
14,45,False,0.1
59,35,False,0.4
127,1,False,0.6
47,55,False,0.3
59,59,False,0.2
63,61,False,0.8
63,45,False,0.2
25,95,False,0.1
31,89,False,0.1
31,57,False,0.3
23,63,False,0.1
43,51,False,0.2
57,23,False,0.1
51,63,False,0.2
11,127,False,0.1
63,53,False,1.0
15,123,False,0.1
31,63,False,0.7
59,43,False,0.2
61,55,False,0.4
55,53,False,0.1
59,51,False,0.4
13,111,False,0.1
63,57,False,1.1
31,115,False,0.1
24,127,False,0.7
31,114,False,0.3
12,127,False,0.3
14,125,False,0.1
30,115,False,0.1
57,55,False,0.2
15,45,False,0.1
19,123,False,0.1
95,17,False,0.1
63,33,False,0.3
63,55,False,1.3
63,63,False,1.5
63,39,False,0.5
95,109,False,0.1
27,115,False,0.1
31,87,False,0.1
59,63,False,0.6
59,123,False,0.1
27,121,False,0.1
63,50,False,1.0
127,49,False,3.1
123,49,False,0.2
10,127,False,0.2
26,127,False,0.6
31,50,False,0.3
59,39,False,0.1
37,127,False,0.1
27,58,False,0.2
95,33,False,0.5
29,35,False,0.2
27,43,False,0.1
31,109,False,0.1
47,23,False,0.1
125,33,False,0.2
27,49,False,0.1
35,119,False,0.1
63,5,False,0.1
63,47,False,0.2
63,46,False,0.3
27,61,False,0.2
29,103,False,0.1
47,117,False,0.1
125,53,False,0.1
62,39,False,0.1
43,63,False,0.2
57,123,False,0.1
49,63,False,0.2
13,39,False,0.1
28,63,False,0.3
123,39,False,0.1
127,17,False,0.2
62,49,False,0.1
31,37,False,0.1
59,33,False,0.2
59,55,False,0.9
15,61,False,0.2
127,5,False,0.2
15,109,False,0.2
59,61,False,0.1
63,95,False,0.2
47,63,False,0.4
27,127,False,0.4
15,111,False,0.2
13,127,False,0.2
51,59,False,0.1
111,33,False,0.3
43,55,False,0.1
95,51,False,0.4
23,114,False,0.1
55,46,False,0.1
95,57,False,0.2
127,35,False,1.6
59,119,False,0.2
61,51,False,0.1
57,119,False,0.2
63,31,False,0.2
31,52,False,0.1
126,51,False,0.1
15,125,False,0.3
59,53,False,0.4
127,67,False,0.2
56,119,False,0.1
31,112,False,0.1
15,47,False,0.3
91,67,False,0.1
95,61,False,0.1
38,111,False,0.1
127,51,False,1.2
31,125,False,0.1
28,127,False,0.5
45,127,False,0.2
63,43,False,1.0
29,115,False,0.1
31,43,False,0.2
31,51,False,0.4
95,30,False,0.1
23,127,False,0.2
63,34,False,0.6
31,59,False,0.8
59,54,False,0.1
15,43,False,0.1
28,111,False,0.5
95,55,False,0.1
63,60,False,0.1
31,49,False,0.2
60,95,False,0.1
47,125,False,0.1
63,41,False,0.3
45,55,False,0.1
27,63,False,0.1
15,85,False,0.1
55,35,False,0.1
127,19,False,0.5
125,39,False,0.2
29,125,False,0.1
15,59,False,0.2
79,41,False,0.2
63,24,False,0.1
14,43,False,0.1
78,39,False,0.1
31,15,False,0.1
43,127,False,0.2
63,59,False,1.3
31,119,False,0.1
47,89,False,0.1
29,127,False,0.2
127,39,False,0.4
29,119,False,0.1
61,39,False,0.2
27,59,False,0.1
127,41,False,0.6
63,106,False,0.1
58,55,False,0.2
123,51,False,0.5
23,61,False,0.1
39,55,False,0.1
95,34,False,0.3
63,17,False,0.3
49,123,False,0.1
28,119,False,0.2
9,127,False,0.2
127,3,False,0.4
21,119,False,0.1
27,125,False,0.1
61,33,False,0.1
63,19,False,0.2
127,25,False,0.3
63,35,False,0.6
14,127,False,0.1
31,33,False,0.2
29,107,False,0.1
123,2,False,0.1
63,48,False,0.5
62,63,False,0.6
63,91,False,0.1
47,61,False,0.3
51,55,False,0.1
61,61,False,0.1
59,45,False,0.1
59,95,False,0.1
27,87,False,0.1
31,126,False,0.2
79,57,False,0.1
57,53,False,0.1
127,53,False,0.8
47,59,False,0.1
31,53,False,0.2
19,63,False,0.1
63,58,False,0.4
63,38,False,0.5
31,117,False,0.1
15,41,False,0.1
91,53,False,0.1
22,127,False,0.3
31,31,False,0.1
63,54,False,0.6
59,115,False,0.1
46,95,False,0.2
119,51,False,0.2
23,123,False,0.1
30,127,False,0.5
20,127,False,0.4
31,48,False,0.1
127,34,False,0.6
63,21,False,0.1
34,63,False,0.1
31,58,False,0.1
8,95,False,0.1
55,115,False,0.1
95,48,False,0.1
23,59,False,0.2
111,49,False,0.1
127,0,False,0.1
85,35,False,0.1
127,16,False,0.4
46,63,False,0.2
63,87,False,0.2
31,110,False,0.1
63,42,False,0.1
127,42,False,0.3
55,59,False,0.5
58,127,False,0.1
63,74,False,0.1
31,54,False,0.2
63,117,False,0.1
30,119,False,0.1
31,111,False,0.1
90,111,False,0.1
30,109,False,0.1
62,61,False,0.1
95,115,False,0.1
127,37,False,0.2
47,57,False,0.4
15,113,False,0.1
61,53,False,0.1
63,103,False,0.1
58,63,False,0.1
15,33,False,0.1
59,57,False,0.3
31,121,False,0.1
119,49,False,0.1
55,109,False,0.1
127,21,False,0.3
87,35,False,0.1
61,35,False,0.1
63,32,False,0.1
107,49,False,0.1
60,93,False,0.1
95,32,False,0.5
111,32,False,0.2
127,65,False,0.1
63,18,False,0.1
127,64,False,0.2
123,20,False,0.1
95,16,False,0.1
55,123,False,0.3
63,115,False,0.1
55,63,False,0.2
60,59,False,0.1
29,123,False,0.2
31,62,False,0.1
47,111,False,0.1
27,123,False,0.1
63,99,False,0.1
63,119,False,0.2
95,49,False,0.5
63,23,False,0.1
15,79,False,0.1
125,87,False,0.1
31,123,False,0.1
57,111,False,0.1
111,25,False,0.1
59,50,False,0.1
127,36,False,0.2
127,45,False,0.2
51,43,False,0.1
42,127,False,0.1
26,91,False,0.1
18,127,False,0.2
15,58,False,0.1
1,127,False,0.1
79,51,False,0.1
29,43,False,0.1
111,43,False,0.1
127,38,False,0.1
12,111,False,0.2
107,31,False,0.1
31,98,False,0.1
12,63,False,0.1
125,5,False,0.1
127,48,False,0.9
119,45,False,0.1
123,53,False,0.1
11,47,False,0.1
47,39,False,0.1
111,97,False,0.1
7,79,False,0.1
111,9,False,0.1
127,63,False,0.1
59,118,False,0.1
127,55,False,0.3
59,47,False,0.2
30,111,False,0.2
27,117,False,0.1
47,87,False,0.1
125,35,False,0.1
31,22,False,0.1
63,37,False,0.1
35,111,False,0.1
13,79,False,0.1
15,127,False,0.1
31,55,False,0.2
15,115,False,0.1
28,103,False,0.1
123,25,False,0.1
55,50,False,0.1
55,61,False,0.1
25,123,False,0.1
38,39,False,0.1
45,109,False,0.1
63,80,False,0.1
27,55,False,0.1
44,31,False,0.1
27,25,False,0.1
31,16,False,0.1
63,65,False,0.1
47,47,False,0.1
43,53,False,0.1
127,61,False,0.2
