n59989,cAdvantage_system1.1+knownBit,circuit8,gap0.1,graph8
Time,
a,b,valid,frequency
175,255,False,1
199,199,False,8
251,247,False,2
247,231,False,9
255,199,False,15
223,135,False,21
199,143,False,2
181,229,False,1
185,247,False,1
215,151,False,3
215,231,False,10
219,167,False,5
163,221,False,1
215,183,False,7
239,231,False,3
255,189,False,1
235,215,False,8
243,151,False,2
211,183,False,3
217,229,False,1
213,231,False,5
207,231,False,9
237,167,False,2
203,165,False,1
213,133,False,4
151,183,False,3
251,151,False,7
215,191,False,1
247,183,False,3
255,215,False,3
243,167,False,9
223,167,False,16
223,163,False,1
185,231,False,1
247,165,False,24
183,199,False,5
243,135,False,4
205,199,False,6
169,223,False,1
199,231,False,6
191,133,False,6
183,167,False,8
247,255,False,2
247,213,False,2
247,229,False,11
231,191,False,1
151,231,False,7
179,175,False,2
215,167,False,16
213,167,False,2
255,133,False,35
243,183,False,3
175,167,False,3
231,135,False,8
231,199,False,8
215,135,False,13
253,135,False,7
215,207,False,5
255,167,False,20
237,183,False,1
199,215,False,6
231,231,False,11
191,231,False,3
143,239,False,1
231,167,False,8
207,215,False,5
189,183,False,1
251,231,False,7
155,247,False,2
183,229,False,2
231,197,False,5
167,167,False,3
253,165,False,13
203,183,False,2
235,207,False,2
255,135,False,28
247,197,False,13
135,231,False,1
199,135,False,2
215,199,False,9
213,225,False,1
183,255,False,1
215,175,False,2
239,151,False,7
159,215,False,1
255,165,False,22
255,197,False,28
251,199,False,8
151,239,False,2
231,229,False,5
247,167,False,22
203,239,False,4
249,167,False,6
149,231,False,1
211,239,False,1
239,197,False,15
211,199,False,2
213,135,False,3
223,197,False,6
149,255,False,1
207,199,False,17
219,199,False,2
199,229,False,2
227,231,False,4
235,187,False,1
251,167,False,6
215,229,False,6
247,135,False,17
135,247,False,4
243,181,False,1
213,229,False,3
163,247,False,3
239,133,False,5
219,197,False,3
143,199,False,6
253,133,False,4
167,133,False,1
151,167,False,5
211,247,False,2
149,247,False,1
235,199,False,15
255,181,False,4
247,181,False,4
223,199,False,18
223,165,False,7
205,229,False,1
183,175,False,2
251,163,False,2
223,151,False,3
135,215,False,2
189,231,False,1
227,215,False,4
211,207,False,1
219,151,False,3
191,197,False,5
239,167,False,8
221,165,False,3
241,229,False,3
207,151,False,3
221,229,False,2
215,139,False,2
237,215,False,2
211,167,False,2
197,231,False,5
239,213,False,4
235,135,False,5
207,181,False,2
197,255,False,1
239,149,False,4
167,199,False,4
203,215,False,5
245,167,False,7
143,231,False,3
209,167,False,3
207,183,False,2
239,135,False,13
213,165,False,2
217,167,False,1
233,231,False,3
143,197,False,1
229,197,False,1
135,151,False,2
225,231,False,2
183,165,False,3
157,165,False,1
243,197,False,1
179,199,False,1
213,197,False,1
221,133,False,3
147,135,False,1
205,133,False,1
149,135,False,1
247,215,False,2
171,255,False,2
191,167,False,5
213,247,False,3
255,213,False,4
243,255,False,1
247,157,False,2
215,215,False,3
239,165,False,7
231,143,False,1
171,215,False,2
167,247,False,1
199,247,False,1
235,191,False,1
175,239,False,1
187,231,False,2
223,215,False,3
243,231,False,5
205,215,False,2
215,165,False,6
243,205,False,1
251,215,False,1
205,213,False,1
211,231,False,4
207,139,False,1
183,143,False,3
235,151,False,3
199,167,False,5
237,231,False,6
149,183,False,2
159,183,False,2
251,135,False,8
251,165,False,8
235,231,False,6
207,207,False,5
231,183,False,4
245,165,False,5
223,133,False,11
159,135,False,9
237,199,False,5
239,199,False,8
247,199,False,4
217,199,False,2
245,231,False,3
253,199,False,6
213,199,False,1
207,195,False,1
195,143,False,1
205,247,False,2
187,247,False,1
207,239,False,3
247,175,False,3
249,231,False,1
239,219,False,1
223,239,False,1
191,205,False,3
139,255,False,1
203,223,False,1
231,151,False,3
187,207,False,1
175,165,False,2
235,167,False,4
159,167,False,10
171,245,False,1
247,151,False,4
221,199,False,8
175,181,False,1
243,175,False,2
151,229,False,1
201,231,False,1
187,167,False,3
243,199,False,2
231,207,False,1
175,135,False,2
155,231,False,4
191,151,False,4
147,191,False,2
255,149,False,5
239,181,False,2
151,135,False,5
167,213,False,1
203,199,False,5
135,245,False,2
237,197,False,5
229,167,False,1
221,151,False,1
243,143,False,1
173,213,False,1
181,151,False,1
179,165,False,2
209,255,False,1
237,135,False,2
179,229,False,1
207,135,False,10
141,199,False,1
223,195,False,2
255,195,False,3
145,229,False,1
