n59989,cAdvantage_system1.1+knownBit,circuit8,gap2,graph6
Time,
a,b,valid,frequency
183,205,False,12
245,197,False,2
187,197,False,3
185,253,False,1
173,205,False,2
247,137,False,8
243,231,False,2
243,215,False,5
179,223,False,3
215,229,False,2
247,141,False,11
191,201,False,7
177,205,False,2
255,211,False,1
219,207,False,2
231,237,False,4
231,187,False,1
241,253,False,4
191,165,False,2
171,189,False,1
231,211,False,1
247,201,False,32
227,221,False,3
213,205,False,1
183,197,False,8
247,207,False,9
251,231,False,2
255,205,False,53
247,227,False,2
227,253,False,2
231,175,False,1
249,221,False,4
255,201,False,78
251,205,False,38
191,197,False,11
207,143,False,1
235,217,False,4
175,205,False,5
179,207,False,1
219,233,False,2
251,197,False,19
255,137,False,20
191,209,False,2
251,201,False,26
179,217,False,1
179,205,False,4
247,133,False,4
229,229,False,1
245,201,False,2
235,209,False,1
237,197,False,1
183,145,False,2
251,129,False,2
235,223,False,2
223,237,False,6
247,221,False,11
191,237,False,7
247,215,False,1
255,217,False,18
255,229,False,11
175,237,False,1
191,217,False,5
255,149,False,8
239,233,False,12
247,173,False,4
247,199,False,8
251,143,False,3
239,205,False,22
247,229,False,10
239,229,False,1
255,197,False,49
179,239,False,1
255,141,False,19
187,237,False,2
221,221,False,1
253,205,False,8
251,141,False,5
189,205,False,7
187,205,False,5
255,193,False,25
175,155,False,1
179,221,False,6
247,225,False,4
183,217,False,4
235,225,False,1
229,181,False,1
245,209,False,2
187,165,False,1
199,197,False,1
179,133,False,1
251,207,False,4
255,233,False,18
191,199,False,4
211,239,False,1
231,219,False,3
239,173,False,3
187,219,False,2
247,213,False,23
231,231,False,1
189,221,False,1
247,205,False,27
251,217,False,7
235,207,False,2
245,221,False,6
235,221,False,3
231,199,False,1
179,215,False,3
249,205,False,2
239,201,False,17
183,213,False,6
241,221,False,4
245,205,False,7
223,201,False,9
243,217,False,5
189,217,False,1
247,197,False,21
227,205,False,1
223,193,False,4
179,143,False,1
243,201,False,4
181,229,False,1
243,141,False,4
229,205,False,1
235,197,False,2
175,201,False,2
215,201,False,1
243,131,False,2
183,137,False,3
195,149,False,1
255,207,False,4
251,219,False,4
221,253,False,1
243,223,False,2
247,245,False,4
227,223,False,2
183,159,False,2
239,199,False,2
231,221,False,3
247,203,False,5
253,203,False,1
231,207,False,1
223,205,False,4
251,229,False,8
243,219,False,5
253,217,False,1
255,209,False,14
247,217,False,12
247,165,False,4
187,207,False,3
253,233,False,3
255,133,False,18
251,203,False,6
183,143,False,1
253,209,False,2
179,237,False,3
235,151,False,1
247,139,False,1
251,153,False,2
243,213,False,6
231,205,False,11
223,209,False,2
237,205,False,2
163,253,False,1
255,161,False,6
231,197,False,1
171,205,False,1
179,173,False,1
185,173,False,1
243,149,False,1
191,161,False,1
225,221,False,1
185,205,False,2
187,193,False,2
181,153,False,1
145,221,False,1
247,175,False,2
183,223,False,1
231,223,False,1
251,221,False,8
255,203,False,7
255,143,False,2
239,237,False,16
251,199,False,1
251,237,False,10
239,203,False,2
239,185,False,1
183,237,False,9
213,223,False,1
243,221,False,17
