n59989,cAdvantage_system1.1,circuit8,gap0.1,graph6
Time,
a,b,valid,frequency
231,245,False,2
215,187,False,1
245,189,False,1
179,255,False,2
83,119,False,1
239,217,False,1
223,42,False,1
241,207,False,2
209,221,False,1
161,255,False,5
133,255,False,9
145,255,False,4
201,13,False,1
165,217,False,1
225,117,False,1
177,239,False,2
237,215,False,1
215,217,False,4
167,219,False,3
241,189,False,2
197,239,False,2
181,245,False,1
225,254,False,2
225,221,False,1
201,253,False,2
133,251,False,2
251,123,False,1
181,223,False,7
243,223,False,4
223,219,False,1
247,241,False,1
211,221,False,1
181,253,False,4
171,207,False,1
235,220,False,1
103,249,False,1
191,89,False,2
177,103,False,1
35,215,False,1
203,187,False,1
251,200,False,1
185,116,False,1
163,255,False,2
229,255,False,1
181,251,False,1
223,205,False,1
247,109,False,1
235,239,False,1
211,223,False,2
207,91,False,1
181,187,False,1
245,123,False,2
165,223,False,2
143,249,False,1
135,255,False,5
181,219,False,4
179,223,False,2
247,81,False,1
181,190,False,1
147,223,False,1
135,119,False,1
197,250,False,1
251,141,False,2
69,239,False,2
217,252,False,1
145,127,False,3
9,223,False,2
212,79,False,1
129,223,False,1
129,239,False,1
223,223,False,1
213,255,False,5
247,157,False,1
247,245,False,2
213,253,False,3
247,175,False,1
113,255,False,5
181,215,False,1
213,237,False,1
164,255,False,1
181,221,False,5
227,235,False,1
235,189,False,2
243,93,False,2
227,221,False,1
167,207,False,1
185,88,False,1
81,157,False,1
69,173,False,1
169,247,False,2
247,200,False,1
165,241,False,1
243,141,False,1
237,137,False,1
133,127,False,2
235,191,False,1
181,255,False,6
255,222,False,1
247,91,False,1
167,87,False,2
233,222,False,1
187,127,False,1
155,94,False,1
171,253,False,1
237,111,False,1
235,244,False,2
243,222,False,2
231,175,False,1
230,245,False,1
181,199,False,1
181,207,False,2
227,249,False,2
181,159,False,1
197,249,False,1
71,223,False,2
197,253,False,3
163,207,False,1
177,127,False,3
245,174,False,1
169,79,False,1
241,188,False,1
137,252,False,1
167,142,False,1
197,221,False,2
137,223,False,2
183,213,False,1
71,151,False,1
161,159,False,1
177,255,False,4
41,205,False,1
243,15,False,2
145,247,False,2
35,245,False,1
101,255,False,3
247,249,False,1
255,95,False,2
215,123,False,1
127,157,False,1
151,239,False,3
247,111,False,2
185,127,False,4
234,191,False,1
213,127,False,3
131,251,False,1
239,121,False,1
181,222,False,2
245,125,False,2
181,175,False,4
237,125,False,1
151,255,False,2
211,239,False,1
189,85,False,1
235,254,False,1
149,189,False,1
177,251,False,1
213,252,False,2
243,181,False,1
219,221,False,3
171,223,False,3
197,223,False,2
189,125,False,1
231,141,False,1
99,159,False,1
245,159,False,1
199,255,False,2
247,204,False,2
173,91,False,1
37,255,False,6
147,111,False,1
189,181,False,1
241,252,False,2
27,239,False,1
149,127,False,4
20,255,False,1
17,255,False,1
204,253,False,1
163,127,False,2
187,76,False,1
133,253,False,7
249,174,False,1
255,200,False,1
207,89,False,2
131,237,False,2
133,220,False,1
237,76,False,2
183,215,False,1
185,253,False,1
77,253,False,3
171,239,False,1
93,253,False,3
201,254,False,1
233,127,False,1
227,223,False,2
179,189,False,1
163,247,False,1
117,221,False,2
231,221,False,2
179,251,False,2
251,108,False,1
245,93,False,1
151,205,False,1
201,249,False,1
213,93,False,1
211,255,False,2
225,255,False,2
165,253,False,3
165,221,False,1
214,111,False,1
81,215,False,1
113,222,False,1
