n59989,cAdvantage_system1.1,circuit8,gap2,graph9
Time,
a,b,valid,frequency
81,239,False,4
105,207,False,1
113,255,False,6
113,237,False,3
121,239,False,2
243,95,False,3
95,207,False,2
249,237,False,4
123,107,False,1
249,79,False,1
179,231,False,1
217,221,False,2
90,215,False,1
245,253,False,1
255,107,False,3
211,239,False,10
225,235,False,1
217,229,False,2
251,96,False,1
119,239,False,4
219,207,False,6
253,234,False,1
249,235,False,3
243,111,False,13
246,231,False,1
241,239,False,3
209,255,False,6
115,189,False,2
209,251,False,1
125,205,False,1
243,107,False,4
211,207,False,5
113,239,False,6
253,172,False,1
241,231,False,2
209,253,False,1
249,173,False,1
119,108,False,1
215,195,False,1
115,203,False,2
219,170,False,1
243,108,False,3
247,239,False,8
245,191,False,1
255,203,False,3
243,239,False,5
227,255,False,2
117,191,False,5
253,229,False,1
246,111,False,3
115,191,False,2
210,255,False,1
245,110,False,1
123,236,False,1
223,89,False,2
113,254,False,2
251,78,False,2
243,117,False,1
221,109,False,1
213,207,False,2
241,175,False,2
115,109,False,7
250,225,False,1
243,163,False,1
229,227,False,1
241,199,False,1
115,188,False,2
83,173,False,1
245,161,False,1
113,167,False,1
219,164,False,1
57,199,False,1
219,255,False,3
119,255,False,2
215,255,False,3
215,247,False,1
219,239,False,5
93,255,False,2
213,255,False,3
242,255,False,4
249,254,False,1
253,207,False,2
215,223,False,3
219,247,False,1
215,235,False,2
119,175,False,3
251,151,False,1
87,191,False,1
255,75,False,4
115,239,False,13
215,119,False,2
211,111,False,3
243,207,False,6
215,218,False,1
243,109,False,4
211,237,False,5
243,199,False,4
249,221,False,2
215,47,False,1
241,237,False,3
213,237,False,2
87,125,False,1
243,205,False,2
243,236,False,4
225,207,False,1
219,87,False,3
250,103,False,2
215,225,False,1
82,239,False,4
177,207,False,1
93,197,False,1
113,205,False,1
217,165,False,1
243,140,False,1
163,205,False,1
215,133,False,1
81,237,False,1
121,148,False,1
245,255,False,5
255,233,False,2
251,222,False,1
251,175,False,3
223,175,False,1
217,255,False,2
241,255,False,4
229,255,False,2
242,239,False,8
243,183,False,1
217,253,False,1
241,223,False,3
83,255,False,10
247,233,False,1
211,247,False,2
114,255,False,7
255,153,False,1
219,231,False,1
255,89,False,1
247,205,False,5
244,239,False,1
231,183,False,1
185,239,False,1
215,237,False,2
215,229,False,2
251,170,False,1
115,175,False,4
89,239,False,3
115,231,False,2
83,191,False,3
127,228,False,2
123,244,False,1
93,219,False,1
203,231,False,1
249,87,False,1
211,125,False,2
117,111,False,2
251,106,False,1
121,237,False,1
226,239,False,2
247,101,False,3
246,197,False,1
253,141,False,2
247,98,False,1
215,165,False,1
243,106,False,1
113,175,False,2
113,238,False,2
151,205,False,1
87,213,False,1
211,103,False,1
243,102,False,1
219,77,False,1
253,100,False,1
114,237,False,1
211,107,False,1
209,235,False,2
197,221,False,1
114,109,False,2
211,99,False,1
251,132,False,2
112,235,False,1
251,239,True,5
243,255,False,5
127,175,False,2
211,255,False,7
255,220,False,1
253,235,False,1
251,231,False,3
219,251,False,1
119,237,False,5
223,173,False,1
255,90,False,1
183,190,False,1
247,103,False,2
243,243,False,1
249,231,False,3
251,94,False,1
93,239,False,4
213,239,False,2
246,238,False,1
243,237,False,6
251,199,False,2
211,127,False,3
189,207,False,1
247,109,False,5
211,253,False,4
251,109,False,7
255,165,False,6
242,231,False,1
87,175,False,4
209,223,False,2
247,106,False,1
245,234,False,1
251,77,False,3
119,103,False,3
81,255,False,5
247,204,False,3
209,239,False,7
67,255,False,2
115,237,False,2
247,195,False,2
91,207,False,3
215,171,False,2
251,105,False,3
114,239,False,2
123,230,False,2
211,235,False,2
119,227,False,2
85,253,False,1
194,239,False,1
221,228,False,1
245,172,False,1
247,97,False,1
243,142,False,1
211,199,False,1
209,237,False,1
115,173,False,1
211,213,False,2
209,236,False,1
245,133,False,1
81,233,False,1
95,239,False,2
247,207,False,3
247,111,False,8
247,235,False,6
251,119,False,1
247,107,False,1
227,239,False,1
203,255,False,1
243,249,False,1
247,110,False,2
215,207,False,2
247,118,False,1
115,223,False,2
215,111,False,4
255,198,False,1
223,233,False,1
245,183,False,1
215,215,False,2
85,255,False,8
251,173,False,5
243,175,False,4
255,210,False,1
117,247,False,1
247,171,False,3
253,188,False,1
251,165,False,3
86,255,False,2
245,79,False,3
119,206,False,3
247,213,False,1
247,57,False,1
87,95,False,1
243,181,False,1
87,119,False,1
213,175,False,2
247,170,False,2
119,236,False,1
121,183,False,1
185,237,False,1
97,255,False,1
83,239,False,12
87,245,False,1
115,111,False,3
123,205,False,1
246,181,False,1
255,137,False,3
115,207,False,2
249,229,False,1
247,225,False,1
210,251,False,1
126,149,False,1
247,141,False,2
123,77,False,1
211,227,False,2
240,207,False,1
223,67,False,1
87,199,False,2
227,47,False,1
85,175,False,1
205,87,False,1
122,93,False,1
119,141,False,1
179,199,False,1
211,109,False,1
93,213,False,2
243,201,False,1
85,207,False,3
57,237,False,1
199,103,False,1
241,77,False,1
211,78,False,1
115,108,False,1
210,109,False,1
83,199,False,1
53,206,False,1
211,232,False,1
215,194,False,1
212,151,False,1
197,135,False,1
246,255,False,2
255,111,False,1
247,127,False,3
249,255,False,1
123,239,False,3
243,127,False,4
249,251,False,1
87,255,False,4
255,117,False,1
246,223,False,1
255,229,False,1
247,221,False,1
247,231,False,4
251,111,False,6
231,247,False,2
125,239,False,1
255,199,False,3
251,237,False,2
123,223,False,1
247,175,False,2
115,255,False,3
119,127,False,4
211,254,False,2
243,126,False,1
243,238,False,1
95,175,False,3
121,253,False,1
147,255,False,1
255,105,False,2
203,239,False,1
254,173,False,1
127,173,False,3
95,159,False,2
251,87,False,1
251,171,False,2
245,238,False,2
115,127,False,4
217,251,False,1
127,79,False,2
254,109,False,1
119,111,False,3
255,170,False,2
87,253,False,2
243,125,False,1
255,77,False,2
251,103,False,2
215,187,False,1
221,219,False,1
255,108,False,3
117,239,False,6
247,236,False,1
219,237,False,1
127,107,False,3
223,203,False,1
255,83,False,2
123,115,False,1
235,111,False,1
219,213,False,2
242,111,False,3
245,205,False,2
215,206,False,4
215,109,False,2
251,102,False,2
254,101,False,1
210,253,False,1
242,235,False,2
243,110,False,4
197,239,False,1
217,250,False,1
215,211,False,1
235,229,False,1
251,45,False,3
86,239,False,4
82,255,False,5
125,173,False,1
124,159,False,1
255,98,False,1
117,215,False,1
123,109,False,2
213,231,False,1
218,235,False,1
117,207,False,3
245,173,False,1
243,143,False,3
247,142,False,3
221,236,False,1
85,247,False,1
89,159,False,1
51,253,False,1
222,203,False,1
251,113,False,1
223,201,False,1
51,191,False,1
215,227,False,1
223,77,False,1
89,207,False,3
247,71,False,1
117,236,False,1
243,75,False,2
115,211,False,1
126,141,False,2
255,70,False,1
253,168,False,1
243,78,False,2
19,239,False,1
251,146,False,1
186,103,False,1
115,171,False,1
243,166,False,2
113,231,False,1
209,63,False,1
251,42,False,1
67,191,False,1
146,239,False,1
113,207,False,1
123,101,False,3
17,223,False,1
255,66,False,1
116,206,False,1
217,77,False,1
211,105,False,2
241,169,False,1
255,64,False,1
123,44,False,1
83,143,False,1
86,77,False,1
89,78,False,1
91,76,False,1
253,239,False,1
223,239,False,2
231,127,False,1
119,191,False,3
249,127,False,1
91,255,False,2
191,159,False,1
243,251,False,1
255,157,False,1
123,251,False,1
251,238,False,3
255,46,False,1
243,223,False,2
215,238,False,3
249,175,False,2
253,175,False,2
253,217,False,1
243,231,False,2
87,239,False,9
115,254,False,1
245,237,False,1
119,125,False,2
223,103,False,2
243,119,False,2
243,235,False,4
255,169,False,3
250,231,False,1
251,117,False,2
243,246,False,1
245,231,False,1
235,237,False,1
251,167,False,1
223,118,False,1
127,206,False,1
255,139,False,1
247,199,False,2
221,215,False,1
191,167,False,1
211,251,False,1
106,191,False,1
117,253,False,3
221,207,False,1
223,79,False,2
246,215,False,1
211,95,False,2
251,99,False,2
199,239,False,1
127,139,False,1
115,125,False,1
251,225,False,2
115,250,False,1
217,207,False,2
91,111,False,3
247,90,False,2
83,223,False,4
70,255,False,2
125,220,False,1
247,39,False,2
247,102,False,3
255,104,False,2
119,110,False,2
123,174,False,1
250,206,False,1
123,206,False,1
251,141,False,1
55,175,False,1
75,191,False,1
219,173,False,1
249,174,False,1
117,175,False,2
217,237,False,1
211,231,False,2
210,239,False,3
115,187,False,1
215,167,False,1
125,167,False,1
235,107,False,1
241,235,False,1
219,109,False,1
127,99,False,2
247,193,False,1
253,71,False,1
105,125,False,1
91,237,False,1
122,233,False,1
218,143,False,1
95,167,False,1
115,230,False,1
210,207,False,2
213,203,False,1
83,207,False,1
223,152,False,1
215,201,False,1
221,204,False,1
119,166,False,1
210,183,False,1
255,65,False,1
232,235,False,1
255,160,False,1
218,205,False,1
123,105,False,1
25,239,False,1
211,165,False,1
153,229,False,1
114,173,False,1
83,79,False,2
209,227,False,1
213,74,False,1
83,43,False,1
223,251,False,2
207,255,False,1
220,255,False,1
255,173,False,1
247,237,False,2
255,179,False,1
247,219,False,1
251,125,False,1
251,187,False,2
249,239,False,3
215,190,False,1
95,119,False,1
122,253,False,1
127,121,False,1
189,187,False,1
247,218,False,1
245,125,False,1
119,190,False,1
251,93,False,2
247,173,False,2
214,239,False,2
245,219,False,1
211,223,False,1
223,185,False,1
119,235,False,1
91,239,False,5
245,252,False,1
245,207,False,3
179,239,False,1
123,126,False,2
247,167,False,1
255,197,False,2
242,127,False,3
223,109,False,1
246,235,False,3
245,143,False,3
245,175,False,1
111,95,False,1
215,220,False,1
251,205,False,4
255,135,False,2
95,229,False,1
213,252,False,2
247,198,False,1
250,143,False,1
