n59989,cDW_2000Q_6+knownBit,circuit8,gap0.1,graph6
Time,
a,b,valid,frequency
161,253,False,8
255,129,False,69
229,169,False,2
253,169,False,14
245,161,False,3
239,173,False,13
189,175,False,14
165,237,False,3
255,163,False,3
247,191,False,1
253,167,False,3
193,255,False,15
253,165,False,10
221,253,False,1
187,237,False,1
173,255,False,4
191,173,False,55
255,139,False,7
173,247,False,1
189,141,False,2
179,247,False,3
255,161,False,50
247,161,False,8
255,137,False,27
131,247,False,10
173,191,False,6
235,183,False,1
239,181,False,1
237,237,False,2
253,173,False,9
255,169,False,26
183,165,False,1
255,171,False,8
183,183,False,1
255,133,False,40
227,215,False,1
247,175,False,2
191,169,False,12
161,255,False,24
191,135,False,4
191,137,False,8
161,247,False,16
141,191,False,2
255,165,False,32
191,141,False,21
223,173,False,5
181,237,False,2
253,175,False,6
191,171,False,7
179,173,False,1
163,255,False,7
191,229,False,2
195,243,False,1
129,255,False,102
193,245,False,2
189,255,False,2
223,231,False,1
239,183,False,2
191,157,False,3
133,255,False,54
247,149,False,2
253,171,False,4
173,175,False,7
243,173,False,1
185,173,False,1
255,173,False,38
163,253,False,4
185,239,False,2
151,237,False,2
167,245,False,2
137,255,False,6
243,163,False,1
131,255,False,78
129,247,False,7
255,141,False,45
189,159,False,1
181,189,False,2
183,173,False,8
157,253,False,2
167,191,False,4
189,173,False,14
191,167,False,5
191,165,False,10
255,181,False,2
175,171,False,1
165,253,False,4
163,191,False,2
161,245,False,2
215,173,False,1
159,175,False,5
251,173,False,2
173,165,False,3
133,253,False,13
163,245,False,5
253,161,False,7
143,143,False,2
131,245,False,5
183,189,False,4
255,167,False,9
199,247,False,1
183,191,False,1
183,253,False,2
237,191,False,2
181,223,False,1
239,171,False,1
197,255,False,10
159,173,False,5
229,231,False,1
255,205,False,4
225,247,False,2
175,183,False,2
175,165,False,6
191,143,False,5
183,181,False,1
165,191,False,5
231,231,False,3
171,253,False,3
139,239,False,1
243,165,False,1
189,165,False,4
191,161,False,12
185,189,False,2
193,253,False,2
145,255,False,1
195,253,False,7
253,163,False,6
245,165,False,1
189,133,False,1
251,133,False,1
161,239,False,1
255,229,False,1
187,189,False,2
173,239,False,3
223,203,False,1
167,183,False,2
165,255,False,13
155,239,False,2
175,173,False,7
181,255,False,3
255,177,False,3
191,151,False,1
227,243,False,2
239,157,False,2
237,187,False,1
165,245,False,1
175,167,False,1
187,173,False,3
245,205,False,1
189,169,False,7
145,191,False,1
179,189,False,1
239,139,False,2
253,139,False,1
141,187,False,1
143,173,False,2
175,143,False,2
247,169,False,3
237,231,False,3
191,133,False,14
195,247,False,8
133,239,False,8
181,165,False,1
165,173,False,2
129,253,False,14
183,131,False,1
221,141,False,1
189,189,False,3
201,255,False,2
171,191,False,2
255,157,False,3
191,253,False,2
195,255,False,8
189,191,False,2
167,189,False,5
223,165,False,4
253,143,False,1
191,181,False,4
223,167,False,2
157,255,False,1
189,229,False,1
175,191,False,3
183,179,False,2
239,151,False,1
191,163,False,2
173,231,False,2
235,147,False,1
247,165,False,3
197,253,False,3
187,135,False,1
225,255,False,2
237,175,False,3
173,181,False,1
221,161,False,1
133,237,False,3
161,191,False,3
251,177,False,2
253,129,False,1
161,229,False,1
253,133,False,6
239,137,False,1
199,245,False,3
193,239,False,4
163,247,False,10
255,175,False,7
157,183,False,1
239,165,False,7
191,237,False,3
175,175,False,3
255,143,False,4
239,167,False,2
177,253,False,2
251,181,False,2
211,253,False,1
141,255,False,7
189,199,False,1
243,189,False,1
165,221,False,1
159,165,False,1
189,143,False,1
183,185,False,1
175,189,False,4
135,255,False,48
237,173,False,4
191,175,False,7
173,233,False,1
199,253,False,8
195,245,False,2
223,161,False,2
247,137,False,1
189,161,False,1
185,165,False,1
169,173,False,2
249,171,False,1
131,253,False,20
145,239,False,2
129,251,False,1
217,191,False,1
175,247,False,4
255,179,False,1
175,181,False,1
171,245,False,1
229,191,False,1
255,149,False,1
189,171,False,3
207,185,False,1
227,247,False,3
183,169,False,2
235,191,False,1
205,239,False,3
173,183,False,2
223,169,False,1
197,247,False,2
247,141,False,1
167,239,False,2
139,231,False,1
229,233,False,1
253,141,False,4
247,129,False,2
143,191,False,2
159,237,False,5
173,189,False,3
229,243,False,1
229,239,False,2
165,243,False,1
131,215,False,1
135,253,False,21
199,221,False,5
189,135,False,1
241,167,False,1
191,129,False,2
191,189,False,8
175,255,False,2
173,253,False,2
255,135,False,5
247,251,False,1
169,255,False,4
239,187,False,1
231,183,False,1
159,189,False,2
255,151,False,1
239,133,False,1
227,179,False,1
247,163,False,1
165,239,False,1
157,173,False,3
227,167,False,1
251,183,False,1
191,145,False,2
157,239,False,1
165,247,False,2
229,245,False,1
225,237,False,1
135,223,False,4
131,223,False,2
131,239,False,1
223,221,False,1
191,191,False,3
199,255,False,10
223,151,False,1
253,191,False,1
143,205,False,1
191,155,False,1
173,235,False,1
173,173,False,2
179,183,False,1
181,175,False,1
239,175,False,2
207,207,False,1
237,139,False,1
149,239,False,1
255,225,False,2
191,205,False,1
247,135,False,1
239,141,False,1
231,173,False,2
175,135,False,1
247,177,False,2
165,187,False,1
237,181,False,1
221,173,False,1
237,167,False,1
135,237,False,2
133,251,False,2
221,175,False,1
143,189,False,3
255,189,False,2
253,189,False,1
171,175,False,1
187,191,False,2
223,149,False,2
137,191,False,1
205,255,False,3
221,165,False,2
181,191,False,1
175,141,False,1
191,149,False,2
175,245,False,1
245,151,False,1
179,181,False,1
223,141,False,3
215,253,False,1
247,173,False,1
255,233,False,2
231,253,False,2
255,185,False,2
153,253,False,1
247,197,False,1
181,187,False,1
167,253,False,7
179,253,False,1
175,133,False,2
249,161,False,1
239,143,False,2
223,133,False,1
181,171,False,1
143,233,False,1
167,255,False,9
163,181,False,1
181,169,False,1
239,163,False,1
197,251,False,1
193,247,False,4
191,187,False,1
223,237,False,2
247,255,False,1
255,153,False,1
143,187,False,1
223,239,False,2
245,181,False,1
169,247,False,2
191,183,False,1
237,189,False,1
171,181,False,1
207,245,False,1
147,255,False,1
223,233,False,2
213,253,False,1
235,151,False,1
223,205,False,2
223,137,False,1
151,213,False,1
255,193,False,1
237,239,False,1
195,249,False,1
141,235,False,1
171,237,False,1
143,245,False,1
157,165,False,1
171,189,False,1
165,189,False,1
133,247,False,2
151,229,False,1
251,161,False,1
247,193,False,1
155,255,False,1
249,233,False,1
177,247,False,1
223,143,False,2
203,189,False,1
251,231,False,1
239,169,False,1
199,223,False,3
167,237,False,1
243,187,False,1
227,255,False,1
165,231,False,1
189,167,False,2
167,215,False,1
191,177,False,1
219,177,False,1
223,225,False,1
211,181,False,1
173,167,False,1
141,239,False,3
191,131,False,2
151,165,False,1
189,227,False,1
137,251,False,1
187,165,False,2
131,221,False,1
251,253,False,1
225,251,False,1
255,237,False,1
167,247,False,2
235,189,False,1
159,253,False,1
173,187,False,1
157,175,False,2
247,237,False,1
237,171,False,1
135,251,False,5
189,201,False,1
181,173,False,1
187,181,False,1
129,239,False,1
175,229,False,2
135,247,False,1
243,199,False,1
177,183,False,1
173,237,False,1
135,241,False,1
255,183,False,1
223,157,False,1
239,149,False,1
179,245,False,1
167,223,False,2
211,255,False,1
131,241,False,1
159,143,False,1
137,247,False,1
159,133,False,1
221,239,False,1
179,229,False,1
139,191,False,1
