n59989,cDW_2000Q_6+knownBit,circuit8,gap2,graph6
Time,
a,b,valid,frequency
227,247,False,4
227,255,False,9
255,163,False,26
195,255,False,9
247,147,False,3
203,229,False,1
227,167,False,2
253,161,False,3
227,235,False,5
203,255,False,14
199,247,False,5
247,151,False,2
227,245,False,1
243,211,False,2
211,185,False,1
229,167,False,1
255,129,False,12
231,255,False,8
235,251,False,12
239,235,False,10
235,247,False,19
239,245,False,4
235,243,False,14
243,183,False,3
239,167,False,12
223,171,False,3
247,173,False,8
201,255,False,7
239,213,False,2
233,253,False,1
249,187,False,3
181,221,False,1
169,191,False,1
211,237,False,3
231,143,False,1
243,179,False,4
235,255,False,18
219,255,False,4
251,183,False,6
199,255,False,6
215,239,False,4
237,253,False,4
227,251,False,7
243,159,False,1
251,211,False,2
215,219,False,1
203,247,False,9
255,165,False,18
231,221,False,1
207,189,False,1
233,223,False,1
223,205,False,1
231,155,False,1
255,137,False,7
189,157,False,1
173,237,False,1
197,251,False,1
239,165,False,5
197,239,False,2
225,189,False,1
247,145,False,1
133,191,False,1
195,231,False,2
247,137,False,3
227,163,False,1
247,239,False,4
239,247,False,10
239,191,False,4
239,243,False,8
231,251,False,12
247,183,False,5
251,167,False,8
183,243,False,1
239,173,False,5
219,243,False,2
247,155,False,1
255,135,False,7
239,227,False,5
231,231,False,6
231,243,False,3
255,169,False,28
203,253,False,3
237,159,False,2
199,207,False,1
235,227,False,3
251,149,False,2
229,183,False,1
231,167,False,3
203,231,False,3
239,147,False,3
201,239,False,2
203,249,False,1
247,163,False,7
243,177,False,2
167,155,False,1
203,211,False,1
247,131,False,1
173,227,False,1
219,197,False,1
229,155,False,2
229,233,False,1
183,131,False,1
247,191,False,3
231,247,False,5
239,189,False,6
235,239,False,8
255,227,False,7
231,239,False,4
251,235,False,5
235,191,False,5
219,223,False,1
247,171,False,9
179,251,False,2
203,239,False,6
235,245,False,4
247,143,False,1
243,175,False,2
219,231,False,2
255,209,False,4
225,255,False,3
251,233,False,10
255,149,False,11
239,179,False,4
235,159,False,1
247,241,False,6
203,245,False,2
229,253,False,1
199,235,False,2
189,237,False,1
251,169,False,2
255,145,False,8
225,191,False,1
235,241,False,5
205,189,False,1
251,197,False,1
215,213,False,1
247,177,False,6
235,173,False,1
239,163,False,6
181,237,False,1
251,147,False,2
199,237,False,2
247,165,False,6
193,255,False,3
229,171,False,1
231,163,False,1
195,245,False,1
181,171,False,1
245,201,False,2
233,167,False,1
225,167,False,1
239,129,False,1
255,247,False,1
251,255,False,6
223,239,False,4
255,167,False,16
247,215,False,1
239,183,False,11
219,247,False,2
237,247,False,1
231,253,False,1
207,253,False,1
247,187,False,2
219,251,False,4
187,223,False,1
251,175,False,1
235,235,False,10
255,233,False,12
223,241,False,2
199,239,False,3
247,167,False,10
227,191,False,5
251,155,False,2
217,191,False,1
239,241,False,1
215,235,False,3
255,147,False,7
251,151,False,2
247,203,False,5
143,191,False,1
231,159,False,1
255,153,False,7
237,231,False,2
197,255,False,10
251,225,False,2
235,167,False,4
171,235,False,1
229,219,False,1
221,155,False,1
