n59989,cDW_2000Q,circuit8,gap0.1,graph7
Time,489166
a,b,valid,frequency
247,113,False,1
177,237,False,1
148,249,False,1
151,251,False,5
148,255,False,9
255,69,False,4
251,149,False,1
87,249,False,2
253,165,False,1
247,169,False,4
127,169,False,1
146,239,False,1
221,185,False,4
245,157,False,1
149,251,False,27
69,251,False,9
255,129,False,16
179,69,False,1
151,255,False,3
150,255,False,9
247,197,False,1
149,185,False,2
247,101,False,5
149,237,False,2
145,121,False,1
85,249,False,7
149,121,False,2
223,129,False,1
210,255,False,6
249,249,False,1
177,253,False,1
181,251,False,6
145,253,False,4
113,219,False,1
229,253,False,3
21,245,False,1
255,65,False,13
21,249,False,5
179,233,False,1
209,121,False,2
197,187,False,2
209,237,False,1
215,253,False,5
213,241,False,1
231,221,False,1
243,111,False,1
151,239,False,4
213,243,False,2
181,123,False,1
215,197,False,1
215,89,False,2
181,253,False,3
81,235,False,1
147,251,False,1
213,187,False,3
84,223,False,2
215,203,False,1
81,253,False,3
247,65,False,8
85,217,False,1
132,255,False,12
214,145,False,1
87,251,False,3
85,253,False,8
113,245,False,2
127,61,False,1
84,255,False,28
87,255,False,4
149,235,False,2
247,99,False,4
197,127,False,9
151,111,False,4
255,161,False,8
247,177,False,5
213,251,False,10
133,255,False,12
149,123,False,2
181,125,False,4
253,177,False,1
245,121,False,2
85,251,False,17
115,204,False,1
213,125,False,3
151,235,False,1
133,253,False,5
213,143,False,1
209,251,False,2
213,107,False,2
223,193,False,1
129,255,False,5
251,129,False,2
235,133,False,1
133,249,False,4
251,181,False,1
117,189,False,1
53,253,False,3
116,255,False,2
213,249,False,12
149,253,False,12
147,239,False,1
255,67,False,4
209,255,False,9
71,255,False,3
255,145,False,8
165,127,False,2
131,251,False,1
148,253,False,3
208,255,False,3
213,209,False,1
213,233,False,3
149,249,False,9
21,241,False,1
145,239,False,3
159,137,False,1
179,71,False,1
69,255,False,33
248,213,False,1
149,241,False,2
181,235,False,1
253,129,False,2
80,253,False,1
144,255,False,8
17,255,False,8
65,255,False,8
213,253,False,8
85,255,False,26
247,165,False,2
253,181,False,1
212,223,False,1
149,255,False,20
101,191,False,3
251,169,False,1
247,145,False,3
180,253,False,2
113,223,False,1
85,185,False,1
255,133,False,3
183,73,False,2
247,81,False,3
255,137,False,3
151,247,False,1
255,131,False,6
199,253,False,1
255,81,False,3
251,81,False,1
153,239,False,1
99,121,False,1
191,65,False,1
147,237,False,2
135,191,False,1
229,73,False,1
209,111,False,2
231,65,False,2
177,221,False,1
210,125,False,1
196,249,False,2
221,89,False,1
253,33,False,1
133,251,False,3
133,243,False,2
251,64,False,1
149,107,False,2
199,97,False,1
197,251,False,8
181,255,False,4
247,237,False,1
87,235,False,2
245,223,False,1
85,223,False,3
198,255,False,3
125,173,False,1
215,211,False,1
212,255,False,8
223,215,False,1
29,249,False,1
116,127,False,1
215,229,False,1
245,245,False,3
127,139,False,1
81,255,False,9
114,247,False,1
151,123,False,1
69,253,False,7
151,253,False,4
183,231,False,1
53,251,False,2
181,243,False,1
239,69,False,1
251,165,False,1
85,235,False,1
101,253,False,4
208,223,False,1
209,253,False,2
53,255,False,2
155,189,False,1
243,109,False,1
151,219,False,1
245,169,False,1
247,129,False,5
68,255,False,22
149,125,False,5
117,187,False,1
247,85,False,1
213,181,False,1
81,251,False,1
247,193,False,2
151,233,False,3
197,243,False,1
69,249,False,2
210,127,False,2
247,133,False,2
225,125,False,1
196,127,False,4
215,131,False,1
181,73,False,1
247,97,False,8
64,255,False,5
118,255,False,2
118,119,False,1
247,181,False,2
191,73,False,2
255,45,False,1
167,126,False,1
215,123,False,3
255,151,False,2
165,121,False,2
85,247,False,1
119,241,False,1
22,255,False,3
197,255,False,13
213,223,False,2
117,235,False,1
215,219,False,3
215,249,False,4
165,189,False,1
219,133,False,1
207,89,False,1
247,195,False,1
18,255,False,3
251,21,False,1
191,129,False,2
149,89,False,1
145,255,False,12
191,83,False,1
209,239,False,1
5,251,False,2
208,127,False,3
197,123,False,1
133,175,False,1
213,189,False,4
165,251,False,2
21,89,False,1
21,251,False,9
215,109,False,1
213,173,False,1
181,85,False,1
117,217,False,1
253,97,False,1
183,113,False,1
177,205,False,1
148,119,False,1
211,76,False,1
208,253,False,2
247,161,False,2
149,217,False,1
251,5,False,2
255,97,False,5
251,1,False,1
214,127,False,1
255,169,False,2
215,103,False,2
183,117,False,2
212,245,False,1
215,235,False,2
85,233,False,1
253,187,False,1
115,125,False,1
85,187,False,4
149,219,False,1
213,120,False,1
213,91,False,1
52,255,False,2
53,207,False,1
199,227,False,1
245,189,False,4
23,251,False,3
247,117,False,2
245,201,False,1
231,179,False,2
247,93,False,3
215,121,False,3
255,147,False,1
181,107,False,1
148,251,False,3
21,121,False,2
83,237,False,1
149,111,False,1
197,249,False,7
227,75,False,1
215,169,False,1
223,69,False,2
20,255,False,12
213,121,False,1
197,247,False,2
19,191,False,1
84,127,False,4
83,125,False,2
55,233,False,1
247,131,False,3
229,249,False,1
213,219,False,5
151,249,False,1
197,253,False,4
243,149,False,1
65,253,False,2
229,43,False,1
255,1,False,8
68,191,False,1
196,191,False,1
1,255,False,4
251,65,False,2
179,229,False,1
0,255,False,4
4,255,False,14
213,255,False,10
87,223,False,1
223,89,False,1
253,217,False,2
209,123,False,1
180,255,False,1
87,91,False,1
213,123,False,4
142,255,False,1
221,179,False,1
255,141,False,1
215,247,False,2
85,219,False,1
150,127,False,1
85,155,False,1
221,109,False,1
223,177,False,1
198,239,False,1
239,185,False,1
177,245,False,1
147,253,False,1
247,138,False,1
245,115,False,1
87,123,False,3
213,237,False,2
231,69,False,2
53,157,False,1
231,117,False,1
159,203,False,1
215,99,False,1
148,237,False,1
151,250,False,1
53,175,False,1
148,239,False,2
151,203,False,1
245,177,False,3
253,145,False,1
247,83,False,1
255,17,False,4
255,33,False,1
183,213,False,1
215,67,False,1
147,111,False,1
196,255,False,14
247,88,False,1
103,235,False,1
133,241,False,1
243,73,False,1
81,111,False,1
215,101,False,1
215,65,False,2
113,253,False,3
17,251,False,2
253,13,False,1
143,121,False,1
215,153,False,1
183,65,False,1
100,255,False,3
5,191,False,1
121,65,False,1
76,247,False,1
215,187,False,1
86,255,False,9
149,191,False,5
23,191,False,1
87,238,False,1
215,233,False,1
117,253,False,1
85,123,False,2
165,125,False,1
239,77,False,1
149,239,False,4
183,229,False,1
247,67,False,5
247,69,False,8
222,211,False,1
247,199,False,1
93,233,False,1
77,253,False,1
247,201,False,1
247,213,False,1
214,95,False,2
99,89,False,1
102,239,False,1
103,222,False,1
183,81,False,1
19,253,False,2
239,181,False,1
183,101,False,2
23,89,False,1
101,187,False,2
243,115,False,1
215,241,False,3
255,21,False,1
241,191,False,2
80,255,False,5
134,123,False,1
212,251,False,2
133,123,False,1
67,255,False,4
133,191,False,1
165,237,False,1
68,189,False,1
85,191,False,3
223,139,False,2
97,175,False,1
251,133,False,1
251,37,False,1
239,73,False,1
176,255,False,1
209,223,False,1
255,132,False,1
21,191,False,2
5,255,False,6
235,97,False,1
145,251,False,1
128,255,False,5
253,1,False,1
103,223,False,1
181,119,False,1
189,125,False,1
117,123,False,1
117,251,False,2
50,255,False,1
245,233,False,1
183,107,False,1
221,191,False,1
209,188,False,1
253,243,False,1
149,252,False,1
229,251,False,5
221,241,False,1
113,255,False,1
82,255,False,3
21,253,False,9
215,117,False,1
215,177,False,2
147,127,False,1
247,179,False,1
207,87,False,1
215,189,False,1
95,187,False,1
165,95,False,1
22,253,False,3
101,125,False,2
213,252,False,1
247,77,False,1
253,188,False,1
211,143,False,1
183,97,False,1
83,95,False,1
181,101,False,1
85,243,False,1
213,247,False,2
101,251,False,1
85,221,False,1
219,201,False,1
85,229,False,1
213,177,False,1
127,145,False,1
151,207,False,3
69,191,False,4
121,251,False,1
207,153,False,1
130,111,False,1
214,87,False,1
181,249,False,2
165,111,False,1
85,201,False,1
223,67,False,1
36,253,False,1
247,196,False,1
81,155,False,1
102,253,False,2
213,89,False,2
145,123,False,1
253,137,False,1
49,191,False,1
127,66,False,1
191,195,False,1
239,165,False,1
147,243,False,1
5,127,False,2
135,253,False,2
147,255,False,5
243,69,False,2
167,253,False,2
211,69,False,1
20,63,False,1
117,255,False,4
87,219,False,1
255,163,False,1
21,255,False,19
247,75,False,2
205,245,False,1
221,217,False,1
255,79,False,1
53,191,False,1
183,123,False,2
117,191,False,3
117,221,False,1
103,255,False,2
87,222,False,1
247,115,False,1
87,253,False,6
146,251,False,1
251,132,False,1
211,85,False,1
151,245,False,1
119,245,False,2
227,119,False,1
23,235,False,1
177,247,False,1
233,245,False,1
255,73,False,3
255,177,False,3
228,249,False,1
183,233,False,1
241,125,False,1
116,199,False,1
191,121,False,2
181,63,False,1
209,221,False,1
37,255,False,4
49,237,False,1
119,193,False,1
127,69,False,1
219,193,False,1
209,127,False,2
149,247,False,1
97,253,False,1
245,179,False,1
235,100,False,1
199,91,False,1
132,251,False,1
144,239,False,1
209,93,False,1
199,101,False,1
71,189,False,1
205,253,False,1
239,65,False,1
147,77,False,1
193,255,False,1
101,255,False,2
89,255,False,1
121,207,False,1
253,133,False,1
211,127,False,2
247,73,False,2
215,255,False,2
226,127,False,1
178,125,False,1
211,255,False,2
101,223,False,1
53,189,False,2
134,255,False,6
215,51,False,1
180,127,False,3
211,253,False,1
151,211,False,1
212,63,False,1
50,253,False,1
235,118,False,1
111,177,False,1
199,237,False,1
87,243,False,1
20,251,False,1
81,249,False,1
244,237,False,1
53,249,False,2
151,101,False,1
127,131,False,1
199,245,False,1
149,109,False,1
231,241,False,2
243,105,False,1
247,91,False,2
247,121,False,2
66,255,False,1
23,237,False,1
245,185,False,1
85,159,False,1
19,235,False,1
21,187,False,1
221,171,False,2
199,107,False,1
255,193,False,1
212,215,False,1
199,55,False,1
215,185,False,1
39,121,False,1
175,161,False,1
23,255,False,6
243,65,False,1
151,115,False,1
223,81,False,1
3,253,False,1
240,243,False,1
167,97,False,1
255,4,False,1
239,1,False,1
213,127,False,3
83,255,False,2
86,127,False,3
214,251,False,1
150,111,False,1
71,247,False,1
212,253,False,1
6,255,False,2
213,75,False,1
239,183,False,1
215,107,False,1
245,165,False,1
151,103,False,1
247,76,False,1
85,127,False,4
54,127,False,1
86,251,False,1
87,107,False,1
199,235,False,1
150,125,False,2
113,251,False,1
197,191,False,3
215,125,False,2
213,217,False,2
229,125,False,3
93,249,False,1
159,233,False,1
199,199,False,1
181,221,False,1
135,207,False,1
163,93,False,1
215,225,False,3
211,91,False,1
164,255,False,4
253,157,False,1
49,253,False,2
148,127,False,3
213,99,False,1
255,136,False,1
223,197,False,1
225,255,False,2
135,43,False,1
70,255,False,7
251,131,False,1
159,97,False,1
179,197,False,1
151,229,False,1
196,251,False,1
133,111,False,1
164,125,False,1
213,57,False,2
255,160,False,1
85,237,False,1
55,123,False,1
22,127,False,2
222,247,False,1
247,125,False,1
87,247,False,2
255,83,False,1
71,239,False,1
229,123,False,1
213,191,False,1
5,235,False,1
183,105,False,1
71,91,False,1
215,227,False,1
132,123,False,1
183,69,False,1
93,107,False,1
68,127,False,2
71,61,False,1
149,189,False,2
237,221,False,1
199,251,False,2
235,81,False,1
213,115,False,1
255,29,False,1
194,127,False,2
245,21,False,1
150,251,False,1
127,209,False,1
164,127,False,1
144,127,False,1
222,195,False,1
207,103,False,1
219,145,False,1
36,119,False,1
193,123,False,1
211,201,False,1
221,145,False,1
1,239,False,1
151,225,False,1
196,253,False,1
195,185,False,1
65,245,False,1
183,75,False,1
117,239,False,1
167,127,False,2
165,255,False,2
215,143,False,1
245,173,False,1
247,249,False,2
214,79,False,2
183,179,False,2
231,245,False,1
86,247,False,2
246,237,False,1
255,100,False,1
115,63,False,1
243,87,False,1
213,239,False,1
164,253,False,1
230,123,False,1
147,191,False,1
245,117,False,1
247,105,False,1
181,173,False,1
255,39,False,1
237,181,False,1
251,139,False,1
229,235,False,1
97,127,False,1
51,255,False,1
119,79,False,1
194,239,False,1
119,167,False,1
149,223,False,1
102,255,False,3
251,161,False,2
117,127,False,1
197,189,False,1
223,203,False,1
103,244,False,1
229,245,False,1
164,191,False,1
87,245,False,2
193,125,False,1
69,127,False,1
197,237,False,1
212,127,False,2
119,249,False,1
68,253,False,2
177,105,False,1
66,247,False,1
5,253,False,2
255,3,False,1
84,191,False,1
194,255,False,2
33,255,False,1
119,255,False,1
71,95,False,1
198,127,False,3
178,255,False,1
51,253,False,1
214,125,False,2
247,185,False,1
191,213,False,1
255,127,False,1
247,227,False,1
243,245,False,1
151,109,False,1
81,223,False,2
255,85,False,1
179,239,False,1
148,111,False,1
213,245,False,1
80,251,False,1
214,123,False,1
7,185,False,1
231,98,False,1
134,127,False,1
83,251,False,1
25,251,False,1
223,77,False,1
243,77,False,1
211,251,False,1
145,127,False,1
146,255,False,2
228,123,False,1
148,123,False,1
197,125,False,1
245,53,False,1
253,9,False,1
245,241,False,1
2,255,False,1
65,125,False,1
193,253,False,1
247,9,False,1
229,181,False,1
