n59989,cDW_2000Q,circuit8,gap1,graph8
Time,489175
a,b,valid,frequency
251,128,False,6
255,128,False,28
255,148,False,8
133,215,False,1
147,183,False,1
255,192,False,18
123,147,False,1
199,195,False,1
255,181,False,4
15,231,False,1
135,247,False,2
251,148,False,2
7,191,False,7
137,143,False,1
79,243,False,1
255,177,False,1
175,215,False,2
39,127,False,1
255,144,False,16
67,239,False,1
251,160,False,3
102,255,False,1
207,243,False,2
105,183,False,1
215,219,False,2
251,209,False,3
23,199,False,1
251,177,False,1
183,186,False,1
3,243,False,1
67,247,False,2
255,223,False,1
255,163,False,4
87,247,False,2
223,208,False,2
255,210,False,11
251,147,False,3
239,163,False,2
71,239,False,2
251,80,False,3
251,84,False,1
253,146,False,1
66,191,False,2
27,181,False,1
255,194,False,26
115,149,False,1
222,243,False,2
191,183,False,3
223,243,False,2
247,229,False,1
251,178,False,4
255,176,False,13
255,83,False,3
23,215,False,1
103,143,False,1
207,195,False,3
71,255,False,6
255,146,False,5
146,255,False,1
235,225,False,1
239,192,False,2
254,144,False,1
27,187,False,1
255,193,False,7
2,187,False,1
255,160,False,17
6,191,False,5
239,130,False,5
139,199,False,1
239,128,False,1
87,239,False,3
255,103,False,1
231,63,False,1
215,167,False,1
190,183,False,1
23,255,False,11
22,255,False,3
255,67,False,11
250,113,False,1
175,243,False,2
159,83,False,2
253,162,False,1
255,132,False,9
7,175,False,3
255,68,False,4
255,64,False,10
7,127,False,4
191,145,False,2
7,237,False,1
67,183,False,1
7,243,False,2
255,162,False,17
255,129,False,3
255,130,False,17
253,128,False,1
95,235,False,2
189,247,False,1
215,231,False,2
251,90,False,1
255,208,False,16
95,175,False,1
255,113,False,1
71,223,False,2
255,196,False,10
51,189,False,1
99,247,False,2
91,191,False,1
255,112,False,2
255,96,False,2
23,219,False,1
255,69,False,2
19,231,False,1
223,209,False,3
238,145,False,1
7,255,False,28
251,144,False,3
215,195,False,2
34,191,False,2
151,243,False,1
187,131,False,1
255,0,False,3
190,251,False,2
47,255,False,2
255,178,False,7
119,107,False,1
158,247,False,1
255,225,False,8
127,181,False,1
79,247,False,4
251,158,False,1
15,251,False,4
243,215,False,1
191,242,False,6
255,197,False,2
135,243,False,1
247,177,False,1
7,159,False,2
255,212,False,10
253,212,False,2
223,226,False,4
15,239,False,2
37,253,False,1
223,195,False,3
223,194,False,5
44,223,False,1
75,247,False,2
23,139,False,1
99,167,False,1
199,227,False,1
221,193,False,1
64,31,False,1
255,164,False,9
47,219,False,2
71,159,False,1
255,84,False,6
147,251,False,1
162,181,False,1
6,255,False,9
223,64,False,1
6,251,False,5
8,251,False,1
33,255,False,1
251,119,False,2
111,247,False,2
255,213,False,3
183,183,False,1
239,178,False,3
189,118,False,1
191,115,False,1
183,251,False,1
150,213,False,1
55,187,False,1
127,163,False,1
191,241,False,2
167,255,False,2
167,251,False,3
210,191,False,1
223,211,False,3
97,223,False,1
167,191,False,2
175,51,False,1
163,243,False,2
255,80,False,10
51,223,False,1
95,139,False,1
223,210,False,3
18,191,False,1
255,209,False,2
239,135,False,1
125,81,False,1
113,213,False,1
143,171,False,1
223,67,False,1
7,247,False,16
223,193,False,1
131,255,False,2
23,187,False,1
255,65,False,2
255,66,False,15
49,179,False,1
255,131,False,10
235,166,False,2
253,208,False,1
127,34,False,1
133,247,False,1
239,210,False,3
10,219,False,1
33,191,False,1
23,183,False,2
205,197,False,1
251,131,False,3
5,247,False,2
131,211,False,1
251,192,False,2
10,191,False,1
179,145,False,1
251,0,False,1
255,214,False,3
255,230,False,3
91,255,False,2
191,213,False,1
251,227,False,2
187,179,False,1
255,244,False,4
255,149,False,5
47,239,False,1
158,255,False,1
215,211,False,1
221,210,False,1
187,247,False,3
127,203,False,1
19,255,False,5
239,179,False,1
78,255,False,2
255,89,False,1
99,239,False,1
191,177,False,1
71,253,False,1
254,145,False,2
55,179,False,1
151,211,False,1
107,231,False,3
7,215,False,1
22,247,False,1
191,210,False,3
255,48,False,1
255,99,False,4
14,247,False,2
235,182,False,1
247,193,False,2
255,81,False,4
155,221,False,1
126,181,False,1
215,177,False,1
135,215,False,3
251,82,False,1
219,197,False,1
239,208,False,1
143,211,False,1
195,255,False,1
207,163,False,2
191,82,False,1
35,175,False,2
143,243,False,2
139,243,False,1
79,119,False,1
22,187,False,1
247,97,False,1
163,227,False,2
99,183,False,1
255,165,False,2
135,185,False,1
251,96,False,1
3,247,False,3
239,0,False,1
175,253,False,1
255,219,False,1
255,233,False,1
175,123,False,1
95,231,False,2
95,246,False,1
255,29,False,1
174,251,False,1
239,183,False,1
38,255,False,4
247,167,False,1
91,187,False,1
247,181,False,1
171,243,False,2
43,247,False,1
187,215,False,2
255,195,False,12
235,181,False,1
23,175,False,1
223,107,False,1
23,119,False,1
175,211,False,4
127,146,False,1
134,251,False,1
191,102,False,1
31,187,False,1
5,255,False,5
251,53,False,1
247,49,False,1
135,251,False,2
23,243,False,1
253,132,False,1
7,239,False,3
139,255,False,2
165,247,False,1
231,209,False,1
243,142,False,1
155,163,False,2
251,224,False,2
3,255,False,3
251,130,False,3
255,187,False,2
223,237,False,1
127,244,False,1
103,255,False,1
159,255,False,2
87,223,False,2
223,251,False,1
143,251,False,1
111,221,False,1
255,246,False,4
255,215,False,1
207,227,False,2
119,207,False,2
239,199,False,1
87,189,False,1
255,114,False,1
23,123,False,2
123,231,False,1
119,165,False,1
85,255,False,2
199,171,False,1
85,191,False,1
223,133,False,3
47,215,False,1
155,195,False,1
255,211,False,4
30,119,False,1
143,247,False,8
255,224,False,6
207,226,False,1
227,55,False,1
251,196,False,2
21,254,False,1
243,183,False,1
17,255,False,2
31,243,False,2
251,208,False,2
29,127,False,1
43,215,False,1
121,148,False,1
23,191,False,5
143,213,False,1
7,251,False,1
101,155,False,1
251,164,False,4
191,144,False,2
255,34,False,2
247,160,False,1
247,100,False,1
21,251,False,1
251,180,False,3
53,167,False,1
58,167,False,1
155,230,False,1
239,160,False,2
219,67,False,1
251,132,False,2
17,163,False,1
193,151,False,1
131,231,False,1
254,243,False,1
127,119,False,1
255,243,False,4
71,247,False,3
251,245,False,1
183,247,False,3
119,159,False,1
255,115,False,4
115,245,False,1
30,249,False,1
255,179,False,3
251,213,False,1
139,251,False,1
54,253,False,1
247,182,False,1
31,251,False,2
119,179,False,1
47,199,False,1
