n59989,clocal+knownBit,circuit8,gap0.01,graph7
Time,
a,b,valid,frequency
247,243,False,2
255,171,False,1
237,253,False,5
229,253,False,2
253,237,False,2
255,239,False,3
243,255,False,2
227,255,False,4
255,187,False,2
255,235,False,1
179,255,False,7
235,255,False,3
207,251,False,3
251,175,False,3
207,249,False,4
239,247,False,5
243,239,False,4
253,233,False,2
255,167,False,1
225,253,False,1
253,225,False,1
165,241,False,1
239,251,True,2
219,255,False,4
247,239,False,9
231,251,False,5
239,253,False,2
255,233,False,1
243,231,False,3
243,249,False,1
251,239,True,2
223,187,False,4
235,239,False,1
251,237,False,1
255,211,False,2
251,207,False,2
249,189,False,3
237,245,False,2
255,251,False,2
251,223,False,1
247,241,False,1
231,241,False,2
247,227,False,3
241,253,False,3
247,179,False,2
199,227,False,1
229,243,False,1
253,249,False,1
221,249,False,2
233,191,False,1
225,247,False,2
253,185,False,2
237,217,False,2
223,255,False,4
175,255,False,7
187,239,False,4
243,243,False,3
169,251,False,1
207,187,False,1
239,255,False,4
171,237,False,2
255,237,False,1
239,215,False,4
223,239,False,3
191,251,False,2
247,247,False,1
183,247,False,3
203,255,False,5
227,251,False,2
207,253,False,3
253,239,False,3
187,247,False,2
255,175,False,4
255,219,False,4
251,247,False,5
191,175,False,3
175,249,False,2
207,235,False,2
243,247,False,3
237,219,False,3
211,247,False,1
223,207,False,2
239,187,False,4
251,231,False,1
239,235,False,1
203,175,False,2
251,243,False,3
195,215,False,1
187,255,False,5
171,249,False,2
247,231,False,1
215,213,False,1
243,183,False,1
227,191,False,3
211,255,False,3
151,255,False,5
163,239,False,3
139,223,False,3
211,207,False,2
255,215,False,4
171,255,False,9
223,251,False,3
233,255,False,2
231,235,False,3
255,163,False,2
253,221,False,1
199,223,False,2
223,197,False,1
163,255,False,2
243,253,False,1
245,193,False,1
251,233,False,2
183,227,False,1
251,173,False,1
227,247,False,3
221,229,False,1
243,237,False,3
207,203,False,1
233,227,False,1
211,245,False,1
229,217,False,1
247,139,False,2
221,253,False,4
245,181,False,2
249,253,False,1
255,201,False,2
185,229,False,1
229,229,False,1
233,253,False,2
249,213,False,1
233,249,False,2
205,253,False,6
169,253,False,5
253,209,False,1
255,139,False,4
239,249,False,1
225,255,False,3
237,249,False,1
227,157,False,1
253,251,False,1
229,245,False,2
241,189,False,1
233,229,False,1
169,237,False,1
251,135,False,1
249,191,False,2
225,185,False,1
233,239,False,1
241,247,False,1
247,233,False,3
197,233,False,1
165,251,False,3
249,133,False,2
211,237,False,1
237,241,False,4
253,243,False,1
205,233,False,1
173,217,False,1
221,233,False,2
205,217,False,1
189,237,False,1
181,219,False,3
217,207,False,3
233,189,False,2
237,169,False,2
205,169,False,1
129,245,False,1
251,133,False,1
213,193,False,1
243,245,False,1
231,253,False,6
183,215,False,4
219,235,False,2
215,255,False,5
255,253,False,4
223,157,False,1
179,223,False,3
239,191,False,4
247,253,False,3
203,179,False,1
175,253,False,2
251,227,False,2
155,223,False,2
251,253,False,6
183,235,False,3
195,251,False,2
251,255,False,4
239,181,False,2
207,219,False,1
183,243,False,2
237,237,False,1
239,239,False,5
239,223,False,2
223,191,False,3
251,251,False,4
159,251,False,2
207,247,False,5
231,255,False,1
199,255,False,5
143,251,False,2
247,213,False,4
223,235,False,3
233,251,False,2
231,187,False,2
253,255,False,1
215,247,False,4
203,229,False,1
221,239,False,3
239,221,False,3
239,243,False,2
187,235,False,2
191,179,False,1
223,215,False,3
163,253,False,1
223,231,False,1
235,215,False,4
217,235,False,2
249,219,False,1
235,251,False,7
229,255,False,2
247,203,False,2
157,255,False,3
211,189,False,2
165,239,False,1
239,155,False,2
227,221,False,1
183,233,False,1
187,249,False,1
223,247,False,3
235,231,False,3
219,211,False,1
251,191,False,1
235,203,False,2
211,215,False,1
247,197,False,2
235,191,False,3
239,231,False,3
167,255,False,2
211,251,False,3
171,251,False,3
243,179,False,3
235,181,False,2
245,239,False,1
221,207,False,3
211,241,False,1
217,251,False,3
229,223,False,2
197,247,False,3
197,253,False,3
231,217,False,1
247,187,False,1
251,235,False,3
147,243,False,1
243,175,False,2
243,223,False,2
175,187,False,2
233,245,False,2
147,227,False,1
187,215,False,2
243,187,False,3
245,167,False,1
155,239,False,2
245,199,False,1
243,201,False,2
219,159,False,2
249,237,False,1
233,247,False,3
147,239,False,2
217,189,False,2
173,207,False,1
191,217,False,1
233,233,False,1
203,253,False,5
185,237,False,1
155,231,False,1
247,171,False,2
245,251,False,4
201,237,False,2
215,191,False,2
195,203,False,1
241,223,False,1
207,215,False,2
215,227,False,1
197,249,False,1
213,239,False,2
247,169,False,1
237,185,False,2
241,239,False,1
231,237,False,3
249,171,False,1
245,217,False,1
183,219,False,2
231,159,False,3
233,155,False,1
167,203,False,1
179,253,False,3
237,243,False,1
253,253,False,3
239,199,False,2
255,195,False,1
211,199,False,1
245,219,False,1
139,227,False,1
249,255,False,1
255,131,False,1
211,197,False,1
207,233,False,1
245,229,False,1
241,245,False,1
239,177,False,2
185,217,False,1
247,195,False,1
169,245,False,1
177,237,False,2
201,197,False,1
225,189,False,1
205,251,False,2
253,173,False,2
253,157,False,1
253,181,False,2
213,217,False,1
233,169,False,1
229,219,False,1
189,177,False,1
233,225,False,1
241,145,False,1
213,145,False,1
189,161,False,1
235,253,False,3
219,239,False,1
183,255,False,4
211,205,False,1
231,245,False,3
199,253,False,5
207,255,False,4
191,237,False,2
191,255,False,2
199,247,False,1
235,247,False,2
219,241,False,2
255,207,False,1
155,247,False,3
247,255,False,3
191,187,False,2
175,229,False,1
215,183,False,4
199,239,False,2
245,211,False,2
219,231,False,2
183,249,False,1
243,207,False,2
175,207,False,1
171,183,False,1
255,231,False,1
139,255,False,4
255,173,False,2
251,183,False,1
215,203,False,2
159,215,False,1
255,155,False,1
255,143,False,1
227,249,False,1
177,221,False,1
175,223,False,1
179,239,False,1
187,223,False,2
211,191,False,2
219,171,False,2
167,251,False,5
215,231,False,2
237,255,False,4
237,247,False,2
143,247,False,2
165,255,False,2
163,247,False,1
253,191,False,2
171,247,False,3
223,175,False,1
223,219,False,1
235,223,False,3
215,215,False,2
255,221,False,1
173,247,False,5
251,185,False,1
167,247,False,1
249,247,False,2
247,183,False,2
253,167,False,1
219,253,False,3
219,213,False,2
209,251,False,3
151,245,False,1
191,243,False,3
227,219,False,3
219,207,False,1
245,221,False,4
159,247,False,1
255,245,False,1
151,219,False,2
213,245,False,2
251,217,False,1
211,195,False,1
229,199,False,1
231,231,False,3
159,211,False,2
239,203,False,1
247,189,False,3
133,249,False,1
189,255,False,1
211,155,False,1
237,183,False,2
173,223,False,1
255,223,False,1
253,165,False,2
255,229,False,2
239,227,False,2
223,179,False,2
191,219,False,1
251,249,False,3
207,205,False,1
235,171,False,1
219,251,False,2
219,191,False,2
199,225,False,1
247,155,False,2
183,251,False,2
187,243,False,2
215,175,False,1
227,223,False,2
237,239,False,1
221,241,False,1
221,175,False,1
235,155,False,1
255,249,False,2
139,247,False,1
203,241,False,1
213,207,False,1
223,233,False,1
147,215,False,2
233,243,False,1
247,143,False,1
245,231,False,2
165,247,False,1
221,255,False,1
215,219,False,3
191,247,False,2
235,175,False,2
187,251,False,4
159,223,False,2
203,221,False,3
203,247,False,3
187,189,False,2
167,235,False,1
247,229,False,2
253,217,False,1
167,223,False,1
155,251,False,1
155,175,False,1
171,219,False,1
251,201,False,1
155,219,False,1
221,183,False,1
195,247,False,1
223,243,False,2
163,251,False,1
235,177,False,1
163,219,False,1
213,237,False,4
