n59989,clocal+knownBit,circuit8,gap2,graph8
Time,
a,b,valid,frequency
251,239,True,5
255,235,False,3
251,223,False,4
239,253,False,3
247,247,False,7
247,243,False,4
245,247,False,2
243,247,False,9
183,239,False,3
203,255,False,10
237,245,False,1
249,243,False,2
241,245,False,2
203,215,False,5
229,225,False,1
177,229,False,2
237,255,False,9
239,247,False,8
247,251,False,5
239,251,True,4
235,255,False,11
231,255,False,15
243,255,False,13
251,235,False,7
251,231,False,4
221,253,False,3
233,255,False,7
251,207,False,2
235,223,False,7
187,239,False,4
251,245,False,3
239,187,False,6
235,247,False,10
207,223,False,6
227,255,False,4
221,249,False,3
219,207,False,3
245,237,False,4
245,245,False,5
243,175,False,1
191,227,False,1
251,143,False,1
211,247,False,6
241,247,False,3
215,243,False,2
219,219,False,1
217,253,False,9
233,223,False,1
185,235,False,2
185,237,False,3
245,213,False,2
237,217,False,1
205,243,False,2
253,201,False,1
245,225,False,2
183,195,False,1
181,241,False,1
163,211,False,2
213,209,False,1
255,191,False,2
255,223,False,3
251,255,False,10
239,255,False,6
255,239,False,2
219,255,False,14
223,251,False,4
253,239,False,5
251,247,False,6
251,251,False,5
255,219,False,3
255,231,False,2
247,239,False,5
191,247,False,2
187,255,False,8
223,223,False,1
247,219,False,2
251,249,False,4
253,237,False,6
239,249,False,2
251,215,False,3
243,239,False,1
247,245,False,2
253,249,False,3
239,235,False,2
247,235,False,6
253,221,False,1
231,251,False,7
249,253,False,4
249,239,False,2
211,255,False,13
219,251,False,10
191,235,False,4
251,187,False,4
223,235,False,2
239,183,False,1
239,219,False,4
223,187,False,3
235,239,False,7
179,255,False,4
207,251,False,4
159,223,False,3
167,255,False,4
227,251,False,5
245,235,False,1
249,249,False,3
253,241,False,1
233,253,False,6
231,245,False,3
231,243,False,3
221,243,False,1
187,231,False,1
245,215,False,3
253,205,False,2
241,251,False,4
241,253,False,4
227,253,False,2
227,191,False,3
245,249,False,7
243,243,False,5
249,235,False,4
247,203,False,1
227,247,False,3
183,243,False,2
207,219,False,2
187,235,False,3
255,163,False,3
211,251,False,7
245,241,False,2
233,221,False,2
233,237,False,2
243,173,False,2
175,155,False,1
227,245,False,1
249,233,False,1
235,227,False,1
243,213,False,2
211,237,False,2
241,249,False,4
173,243,False,2
227,235,False,1
231,227,False,1
207,211,False,2
243,229,False,3
183,241,False,1
203,235,False,2
199,219,False,2
181,249,False,1
229,249,False,4
229,189,False,1
225,243,False,2
167,211,False,2
213,241,False,2
243,209,False,1
245,209,False,3
195,215,False,1
213,233,False,5
233,205,False,3
227,155,False,1
179,241,False,1
211,241,False,1
231,195,False,1
163,231,False,1
197,221,False,1
253,137,False,1
227,201,False,1
225,241,False,1
225,229,False,1
209,213,False,1
161,245,False,1
205,193,False,1
225,195,False,1
149,225,False,1
247,255,False,5
221,255,False,8
255,183,False,1
249,255,False,4
255,243,False,1
253,247,False,2
247,253,False,3
237,247,False,4
235,251,False,7
253,235,False,2
