n59989,clocal,circuit8,gap0.1,graph6
Time,
a,b,valid,frequency
239,251,True,2
235,255,False,3
255,171,False,2
251,239,True,2
239,247,False,2
237,253,False,3
243,247,False,2
223,251,False,3
251,175,False,2
253,233,False,1
239,249,False,1
237,249,False,2
211,247,False,3
235,185,False,2
237,185,False,1
207,211,False,1
171,207,False,1
253,239,False,2
237,255,False,3
223,253,False,2
255,211,False,2
251,215,False,1
247,243,False,1
235,239,False,2
251,231,False,1
253,249,False,1
205,255,False,3
247,235,False,2
243,251,False,2
233,253,False,3
245,245,False,1
235,247,False,2
233,251,False,3
237,237,False,4
175,247,False,1
249,235,False,1
215,207,False,3
245,203,False,1
253,173,False,1
189,185,False,1
211,215,False,1
235,249,False,1
237,233,False,1
189,229,False,1
227,187,False,1
253,228,False,1
213,241,False,2
243,151,False,1
203,223,False,2
247,225,False,1
255,255,False,3
255,123,False,3
253,251,False,1
255,159,False,1
251,223,False,2
247,251,False,3
255,215,False,1
253,253,False,2
243,255,False,4
255,237,False,2
191,247,False,2
239,191,False,2
243,239,False,2
249,247,False,1
159,255,False,1
239,235,False,2
247,175,False,2
239,187,False,3
191,235,False,1
237,251,False,4
215,223,False,5
219,231,False,2
235,215,False,1
253,143,False,1
227,255,False,4
179,255,False,4
207,223,False,3
227,251,False,1
199,255,False,4
203,255,False,2
221,237,False,1
249,189,False,2
215,251,False,3
231,227,False,1
239,123,False,2
183,243,False,2
243,215,False,2
231,247,False,5
237,245,False,3
235,245,False,2
255,169,False,2
159,251,False,2
175,253,False,1
231,187,False,3
229,247,False,1
247,179,False,1
169,255,False,1
187,231,False,2
251,241,False,2
207,203,False,1
221,229,False,2
227,247,False,1
231,181,False,3
247,233,False,1
217,237,False,1
223,195,False,2
175,203,False,1
207,249,False,1
245,155,False,1
245,179,False,2
241,231,False,1
169,245,False,1
253,141,False,1
253,209,False,2
233,233,False,1
205,249,False,1
153,245,False,1
163,255,False,4
177,247,False,2
199,223,False,3
213,185,False,1
227,173,False,1
203,199,False,1
229,241,False,1
147,239,False,3
215,241,False,1
213,233,False,3
231,241,False,1
243,161,False,1
213,209,False,1
255,253,False,1
247,191,False,4
231,255,False,1
221,255,False,2
191,239,False,4
223,191,False,1
187,255,False,3
247,239,False,3
219,251,False,1
231,239,False,3
231,251,False,3
221,191,False,3
223,247,False,4
223,207,False,1
215,239,False,5
191,175,False,1
247,221,False,2
229,255,False,2
247,247,False,1
251,233,False,2
215,247,False,2
187,239,False,2
253,207,False,3
187,223,False,2
217,255,False,2
221,247,False,3
221,251,False,3
233,255,False,1
217,251,False,4
189,253,False,1
211,255,False,2
247,237,False,2
213,253,False,3
219,255,False,5
245,221,False,3
235,175,False,1
247,159,False,2
239,221,False,3
223,171,False,1
239,179,False,2
189,175,False,1
251,245,False,1
253,241,False,1
255,179,False,2
217,249,False,1
251,237,False,1
227,239,False,1
245,233,False,1
235,111,False,1
241,223,False,1
219,215,False,3
239,185,False,2
183,231,False,2
239,213,False,1
229,253,False,1
207,219,False,1
247,227,False,1
236,255,False,1
215,253,False,5
201,255,False,2
167,255,False,4
231,253,False,3
191,233,False,1
153,255,False,2
239,167,False,1
215,181,False,2
195,255,False,1
241,253,False,1
227,249,False,3
247,167,False,1
235,251,False,3
243,249,False,1
179,239,False,3
241,239,False,1
239,181,False,1
245,211,False,1
