n59989,clocal,circuit8,gap2,graph8
Time,
a,b,valid,frequency
243,247,False,5
251,239,True,5
253,229,False,1
255,219,False,1
239,251,True,4
235,255,False,16
247,243,False,5
251,231,False,1
243,239,False,2
239,187,False,1
251,207,False,4
219,239,False,7
255,171,False,3
252,237,False,1
237,249,False,11
241,253,False,4
228,253,False,3
204,215,False,3
253,223,False,2
239,247,False,2
251,251,False,5
253,221,False,3
239,250,False,1
247,235,False,9
249,253,False,7
235,251,False,6
183,239,False,7
239,249,False,5
183,243,False,2
251,236,False,2
245,245,False,5
252,235,False,1
249,207,False,2
253,241,False,1
251,227,False,2
229,253,False,2
215,243,False,6
243,215,False,3
187,227,False,2
245,241,False,3
215,203,False,3
245,179,False,1
245,225,False,1
237,225,False,2
245,177,False,1
241,181,False,2
213,193,False,2
209,209,False,2
255,251,False,3
255,239,False,3
255,223,False,3
251,255,False,9
239,255,False,3
223,255,False,6
255,123,False,1
123,255,False,1
219,255,False,10
255,243,False,3
255,187,False,3
255,231,False,2
243,255,False,9
223,251,False,4
247,247,False,2
251,247,False,7
247,239,False,7
237,255,False,8
239,253,False,2
191,239,False,4
159,255,False,1
231,255,False,9
239,215,False,3
219,247,False,4
243,251,False,3
253,235,False,2
247,219,False,2
253,207,False,1
249,251,False,1
249,239,False,4
159,247,False,2
255,236,False,1
207,251,False,6
187,223,False,2
207,191,False,1
255,220,False,2
199,255,False,5
235,239,False,5
227,255,False,6
233,253,False,4
249,249,False,3
251,241,False,1
243,252,False,1
237,245,False,3
231,243,False,3
249,243,False,3
175,243,False,2
183,219,False,1
247,244,False,1
239,217,False,2
227,247,False,4
213,251,False,2
245,243,False,1
255,202,False,1
253,173,False,1
217,253,False,4
221,249,False,1
221,237,False,2
253,205,False,3
211,247,False,4
201,255,False,3
237,233,False,3
219,220,False,1
221,233,False,2
243,171,False,2
244,249,False,1
171,237,False,3
251,240,False,1
204,251,False,1
237,185,False,1
171,243,False,1
213,245,False,2
233,249,False,1
171,207,False,3
223,204,False,1
239,225,False,1
253,163,False,1
247,135,False,1
139,251,False,2
235,229,False,2
201,253,False,4
199,219,False,2
169,253,False,2
209,247,False,1
225,253,False,3
195,219,False,2
209,245,False,4
211,241,False,1
205,233,False,3
213,199,False,1
181,241,False,2
211,203,False,2
213,241,False,1
233,233,False,1
215,147,False,1
229,225,False,2
193,245,False,2
145,237,False,1
229,201,False,1
165,217,False,1
197,228,False,1
169,161,False,1
255,253,False,3
247,255,False,10
255,247,False,7
255,189,False,2
254,253,False,1
223,247,False,2
253,253,False,1
255,237,False,1
255,159,False,2
255,215,False,4
255,207,False,3
215,255,False,11
253,247,False,1
221,239,False,2
239,235,False,2
239,252,False,4
223,123,False,1
253,238,False,2
235,253,False,2
127,183,False,1
245,247,False,3
252,223,False,1
255,203,False,2
251,243,False,4
239,221,False,2
223,231,False,3
237,253,False,4
245,253,False,3
235,247,False,10
247,175,False,1
239,175,False,3
245,239,False,2
119,247,False,2
187,239,False,3
231,223,False,2
235,191,False,2
231,191,False,5
255,205,False,1
239,219,False,2
223,187,False,1
191,215,False,1
175,253,False,2
231,239,False,3
253,175,False,3
207,223,False,1
175,251,False,3
167,255,False,4
191,231,False,1
247,231,False,3
173,255,False,3
203,255,False,4
247,229,False,4
239,173,False,2
235,249,False,5
235,243,False,3
183,187,False,3
203,239,False,4
249,221,False,1
239,203,False,1
115,223,False,1
227,191,False,2
237,219,False,1
243,243,False,4
111,250,False,1
183,235,False,1
235,183,False,2
189,189,False,2
239,233,False,2
244,253,False,1
213,253,False,6
241,247,False,1
215,175,False,4
235,231,False,2
243,231,False,1
255,141,False,1
255,165,False,2
255,139,False,1
223,241,False,1
205,253,False,6
171,191,False,3
185,239,False,2
209,255,False,1
223,199,False,1
172,255,False,1
237,244,False,1
207,155,False,2
241,245,False,3
233,219,False,1
242,159,False,1
189,185,False,1
245,205,False,3
183,227,False,1
233,245,False,3
217,215,False,2
229,189,False,1
165,253,False,3
245,185,False,1
215,179,False,2
221,199,False,1
167,237,False,1
179,243,False,2
241,189,False,1
199,215,False,2
233,231,False,1
229,221,False,3
211,207,False,3
253,169,False,1
195,247,False,1
175,227,False,1
221,241,False,2
249,205,False,1
227,231,False,2
203,207,False,2
247,225,False,1
209,253,False,1
141,253,False,2
225,237,False,1
181,233,False,1
203,214,False,1
171,171,False,1
229,241,False,1
211,167,False,1
185,244,False,1
233,244,False,1
233,241,False,1
199,227,False,2
247,176,False,2
219,197,False,1
147,159,False,1
212,249,False,1
147,235,False,1
225,243,False,1
147,243,False,1
141,237,False,1
203,205,False,1
229,181,False,1
241,157,False,1
245,169,False,1
172,245,False,1
213,217,False,3
185,205,False,1
233,173,False,1
157,213,False,1
253,196,False,1
225,245,False,1
197,237,False,3
209,249,False,2
201,238,False,1
161,239,False,2
229,213,False,1
251,194,False,1
212,241,False,1
157,201,False,1
133,249,False,1
209,173,False,2
193,221,False,1
241,81,False,1
204,193,False,1
255,255,False,1
255,191,False,1
191,247,False,1
187,255,False,8
191,253,False,2
239,191,False,2
207,255,False,3
247,253,False,3
255,250,False,1
255,183,False,2
255,175,False,1
175,255,False,3
249,255,False,2
235,254,False,1
211,255,False,6
253,245,False,1
253,189,False,1
223,235,False,1
207,253,False,3
251,252,False,1
254,235,False,1
251,187,False,3
251,235,False,4
187,251,False,2
231,253,False,1
243,253,False,5
245,254,False,1
