n59989,cAdvantage_system1.1,circuit8,gap0.01,graph8
Time,
a,b,valid,frequency
181,239,False,1
199,247,False,3
215,253,False,8
219,205,False,1
255,147,False,2
221,201,False,1
197,239,False,4
213,237,False,2
255,163,False,1
209,221,False,1
213,243,False,2
207,207,False,1
241,239,False,4
239,221,False,5
247,239,False,13
215,203,False,2
221,211,False,1
255,139,False,6
215,235,False,7
243,173,False,3
195,255,False,2
235,199,False,1
198,247,False,1
239,237,False,10
231,239,False,4
251,195,False,1
199,235,False,6
215,239,False,7
247,223,False,5
215,171,False,2
215,229,False,7
127,135,False,2
253,191,False,3
245,237,False,4
223,207,False,8
223,139,False,1
255,207,False,12
223,131,False,3
209,255,False,3
245,205,False,4
255,165,False,10
247,206,False,1
227,251,False,1
253,173,False,3
233,237,False,1
125,197,False,1
125,169,False,1
219,213,False,1
213,255,False,11
229,175,False,1
214,255,False,5
219,233,False,1
203,109,False,1
239,189,False,2
205,221,False,1
205,189,False,1
231,235,False,3
245,233,False,1
165,245,False,1
197,187,False,2
245,175,False,2
239,135,False,2
235,167,False,1
207,105,False,1
255,175,False,18
246,189,False,1
213,231,False,3
205,255,False,2
197,247,False,1
117,239,False,3
249,207,False,1
101,239,False,1
156,255,False,1
237,237,False,4
247,167,False,3
209,239,False,1
239,231,False,4
239,187,False,1
229,229,False,2
255,127,False,2
215,207,False,2
223,205,False,11
235,231,False,1
239,197,False,6
247,143,False,4
199,239,False,10
223,237,False,10
183,207,False,1
255,133,False,5
229,239,False,4
203,255,False,1
243,163,False,1
247,175,False,11
251,175,False,3
105,237,False,2
223,199,False,4
199,99,False,1
251,197,False,3
181,229,False,1
253,203,False,2
213,223,False,2
223,167,False,4
255,225,False,3
119,175,False,3
255,203,False,7
215,243,False,1
219,207,False,1
207,199,False,2
223,203,False,1
213,203,False,1
215,255,False,7
127,165,False,1
213,201,False,1
247,229,False,7
235,175,False,2
221,223,False,2
215,233,False,2
255,169,False,4
49,239,False,1
247,197,False,5
111,167,False,1
221,253,False,3
247,227,False,3
247,135,False,1
239,199,False,5
83,247,False,1
214,247,False,1
181,251,False,1
247,231,False,6
79,207,False,1
241,205,False,1
255,173,False,17
247,205,False,6
197,255,False,5
215,193,False,1
247,171,False,3
92,235,False,1
246,199,False,1
132,119,False,1
71,255,False,3
215,247,False,3
247,237,False,12
85,239,False,5
189,207,False,1
91,239,False,3
247,235,False,6
239,235,False,2
85,255,False,5
231,165,False,2
219,231,False,1
245,251,False,1
243,223,False,2
215,234,False,1
247,219,False,2
247,173,False,10
239,141,False,3
255,143,False,8
207,235,False,4
253,197,False,2
251,205,False,3
247,172,False,1
203,187,False,1
118,213,False,1
239,205,False,3
205,227,False,1
235,207,False,2
239,101,False,2
127,169,False,3
198,253,False,1
246,175,False,1
87,237,False,4
211,237,False,1
247,187,False,1
103,237,False,1
127,77,False,1
83,255,False,3
51,239,False,1
243,237,False,1
251,201,False,1
147,223,False,1
255,205,False,14
119,237,False,6
119,255,False,7
251,255,False,1
255,221,False,5
215,206,False,1
231,227,False,1
219,235,False,1
119,185,False,1
223,127,False,2
231,253,False,3
255,235,False,6
246,237,False,2
223,235,False,5
247,207,False,4
217,238,False,2
219,219,False,2
255,138,False,1
219,143,False,1
223,135,False,1
243,233,False,2
127,239,False,2
243,255,False,1
213,205,False,1
207,239,False,5
255,217,False,2
245,231,False,4
126,223,False,1
223,169,False,1
211,255,False,3
79,157,False,1
203,191,False,1
247,233,False,6
253,205,False,2
245,189,False,1
221,231,False,3
123,247,False,1
199,233,False,2
251,109,False,2
255,234,False,2
215,237,False,11
241,237,False,2
215,227,False,2
249,171,False,1
238,159,False,1
229,231,False,1
237,253,False,2
223,206,False,1
253,14,False,1
239,193,False,1
87,254,False,1
255,171,False,5
139,221,False,1
119,201,False,1
207,227,False,1
247,236,False,1
255,137,False,7
109,233,False,1
219,175,False,1
231,229,False,2
87,175,False,1
237,199,False,1
217,235,False,1
255,87,False,2
255,213,False,5
245,247,False,4
253,143,False,2
77,239,False,1
255,231,False,6
231,233,False,1
219,238,False,1
213,253,False,3
247,217,False,1
253,255,False,1
245,183,False,1
247,191,False,2
255,135,False,4
251,239,True,4
255,253,False,2
205,191,False,2
247,203,False,1
247,253,False,7
213,189,False,2
247,111,False,5
255,198,False,1
219,223,False,3
155,207,False,1
235,219,False,1
119,167,False,1
255,103,False,4
223,155,False,2
245,253,False,2
75,253,False,2
211,243,False,1
87,127,False,2
125,231,False,2
111,237,False,1
239,175,False,3
119,239,False,5
223,193,False,3
167,231,False,1
106,237,False,1
226,239,False,1
87,203,False,1
215,213,False,2
237,165,False,1
247,221,False,4
218,223,False,1
245,239,False,11
251,203,False,3
101,255,False,3
147,94,False,1
221,239,False,5
226,255,False,1
255,141,False,21
223,201,False,2
245,101,False,1
229,237,False,1
253,133,False,2
247,141,False,2
239,191,False,1
215,175,False,2
91,191,False,1
83,239,False,5
125,195,False,1
235,238,False,2
215,245,False,2
127,197,False,2
221,233,False,1
75,239,False,3
239,165,False,4
239,47,False,2
203,239,False,3
223,219,False,2
115,207,False,1
243,203,False,1
219,215,False,1
214,251,False,1
231,173,False,2
