n59989,cAdvantage_system1.1,circuit8,gap1,graph6
Time,
a,b,valid,frequency
179,237,False,3
170,251,False,2
251,205,False,1
254,249,False,1
171,251,False,10
239,249,False,4
243,221,False,2
167,219,False,10
205,221,False,1
185,173,False,1
171,235,False,11
227,219,False,4
175,219,False,4
183,221,False,4
227,127,False,1
235,175,False,1
183,237,False,2
231,233,False,9
171,63,False,1
251,73,False,2
175,213,False,1
247,201,False,3
163,203,False,2
167,251,False,18
207,251,False,2
227,233,False,5
167,253,False,7
171,221,False,2
191,203,False,1
247,107,False,2
159,185,False,2
227,251,False,11
163,235,False,15
179,191,False,2
163,239,False,12
195,203,False,2
191,233,False,2
219,153,False,1
175,121,False,4
245,248,False,1
179,111,False,3
227,75,False,2
219,93,False,1
167,121,False,8
163,251,False,29
163,249,False,13
181,205,False,1
179,107,False,1
35,223,False,1
163,243,False,1
167,249,False,17
163,121,False,8
243,217,False,6
183,253,False,7
251,251,False,2
215,219,False,2
235,251,False,5
187,251,False,2
243,251,False,5
231,251,False,16
235,250,False,1
179,255,False,5
243,235,False,4
235,187,False,3
247,225,False,2
211,235,False,3
235,121,False,3
255,184,False,1
163,255,False,10
227,249,False,10
183,249,False,8
163,125,False,3
167,233,False,6
171,239,False,4
179,249,False,8
227,187,False,6
195,251,False,5
179,105,False,5
111,137,False,1
191,89,False,3
171,249,False,7
147,241,False,1
211,201,False,2
247,251,False,1
247,219,False,2
183,121,False,11
179,239,False,2
239,185,False,4
183,235,False,3
247,105,False,7
167,235,False,8
175,233,False,6
215,123,False,1
231,187,False,1
175,249,False,9
251,217,False,5
239,217,False,7
166,187,False,1
163,123,False,5
243,233,False,3
227,253,False,3
171,187,False,4
255,89,False,2
231,235,False,14
187,217,False,12
179,235,False,4
187,249,False,4
183,203,False,4
231,219,False,8
255,153,False,4
167,187,False,3
235,185,False,3
143,252,False,1
207,185,False,2
171,185,False,3
171,191,False,2
235,201,False,4
171,237,False,3
179,233,False,7
99,171,False,1
163,107,False,2
183,250,False,1
174,249,False,2
175,125,False,2
231,123,False,6
207,252,False,1
183,245,False,1
167,185,False,7
247,89,False,6
234,235,False,1
227,221,False,2
135,251,False,1
231,121,False,2
183,233,False,6
235,207,False,2
187,185,False,1
150,253,False,1
227,175,False,1
179,127,False,3
153,237,False,1
167,243,False,2
231,185,False,4
167,57,False,1
191,77,False,3
187,107,False,1
167,189,False,2
235,235,False,3
187,201,False,2
227,203,False,3
179,173,False,2
167,254,False,2
239,187,False,2
191,251,False,2
183,219,False,6
215,249,False,3
183,125,False,4
163,127,False,2
179,251,False,9
175,251,False,3
175,253,False,3
227,235,False,10
215,253,False,2
183,123,False,6
183,251,False,5
123,203,False,1
247,121,False,6
171,219,False,7
163,253,False,8
255,73,False,4
199,189,False,1
171,217,False,2
175,185,False,3
147,253,False,1
203,191,False,1
47,249,False,1
191,185,False,2
211,207,False,2
215,237,False,4
171,207,False,2
139,237,False,3
183,109,False,2
243,139,False,1
167,123,False,3
171,189,False,2
227,247,False,1
169,221,False,2
195,187,False,3
231,250,False,2
183,97,False,1
243,99,False,1
179,43,False,1
179,89,False,3
163,155,False,2
163,205,False,1
166,235,False,2
163,171,False,4
195,107,False,2
179,217,False,1
145,251,False,1
163,73,False,1
235,249,False,6
107,255,False,1
223,159,False,1
