n59989,cAdvantage_system1.1+OneBit,circuit8,gap0.1,graph6
Time,
a,b,valid,frequency
231,171,False,4
215,233,False,2
199,239,False,10
247,181,False,1
173,253,False,1
165,247,False,5
221,189,False,1
171,243,False,1
215,231,False,1
199,253,False,7
141,247,False,1
193,185,False,1
133,209,False,1
165,225,False,1
167,231,False,3
247,201,False,1
229,205,False,1
237,225,False,2
67,183,False,1
111,253,False,1
215,253,False,3
231,205,False,1
115,191,False,1
219,207,False,1
239,211,False,1
231,203,False,2
103,203,False,2
239,73,False,3
103,243,False,3
203,195,False,1
111,165,False,1
131,251,False,2
67,235,False,1
139,231,False,1
213,255,False,3
205,255,False,1
167,253,False,3
215,219,False,2
171,175,False,1
223,165,False,3
247,117,False,2
167,229,False,5
199,175,False,2
207,177,False,2
195,253,False,5
197,199,False,1
163,195,False,1
239,219,False,1
159,203,False,1
199,251,False,15
103,223,False,1
93,233,False,1
165,255,False,5
197,247,False,6
223,243,False,1
135,239,False,4
215,171,False,3
237,157,False,1
87,253,False,1
193,255,False,6
239,169,False,5
197,183,False,1
169,223,False,1
255,193,False,3
135,245,False,5
147,241,False,1
191,37,False,1
245,145,False,1
193,249,False,2
65,239,False,1
197,213,False,1
119,199,False,2
215,179,False,1
247,167,False,1
227,111,False,2
219,91,False,2
135,247,False,9
69,253,False,4
255,171,False,3
135,255,False,11
199,187,False,3
107,179,False,1
167,177,False,1
229,245,False,2
255,169,False,3
251,235,False,1
227,171,False,1
221,143,False,1
87,229,False,2
125,201,False,1
131,191,False,1
167,197,False,1
225,249,False,1
227,241,False,3
195,137,False,1
247,159,False,1
167,245,False,3
199,191,False,1
207,179,False,1
93,235,False,2
111,219,False,1
71,239,False,4
231,115,False,3
197,221,False,2
133,247,False,4
111,227,False,3
119,167,False,1
77,239,False,1
231,195,False,1
103,187,False,2
197,219,False,1
127,197,False,1
193,237,False,1
239,195,False,1
199,207,False,1
255,137,False,4
151,229,False,2
103,235,False,4
193,253,False,1
167,227,False,2
199,229,False,4
103,167,False,1
65,237,False,1
147,239,False,1
227,225,False,1
239,161,False,2
207,141,False,1
203,73,False,1
111,99,False,1
247,41,False,1
55,239,False,1
223,253,False,1
199,255,False,9
227,107,False,2
235,255,False,1
211,247,False,1
143,253,False,3
201,223,False,1
231,201,False,2
189,201,False,1
107,229,False,1
45,253,False,1
117,205,False,1
87,187,False,2
207,235,False,1
227,243,False,2
239,225,False,4
175,163,False,1
199,227,False,4
131,255,False,3
167,213,False,1
137,253,False,2
171,187,False,1
185,175,False,1
235,171,False,2
139,237,False,1
163,245,False,2
199,183,False,2
73,245,False,1
227,199,False,1
213,237,False,3
213,169,False,1
159,195,False,1
167,205,False,2
197,253,False,2
107,241,False,1
67,253,False,3
145,253,False,1
83,203,False,2
159,37,False,1
237,251,False,1
