n59989,cAdvantage_system1.1+OneBit,circuit8,gap1,graph9
Time,
a,b,valid,frequency
191,239,False,6
181,247,False,10
191,207,False,2
187,231,False,2
119,247,False,16
251,123,False,1
191,199,False,13
183,207,False,9
167,183,False,1
179,239,False,4
165,247,False,1
49,215,False,1
117,247,False,11
109,253,False,1
59,247,False,2
117,215,False,4
215,223,False,1
191,197,False,5
183,237,False,8
61,253,False,3
183,245,False,20
127,139,False,1
61,231,False,4
55,183,False,8
63,149,False,3
183,199,False,12
179,229,False,2
115,175,False,1
189,223,False,1
109,247,False,1
127,155,False,2
215,255,False,1
183,247,False,29
179,255,False,2
189,245,False,2
117,231,False,4
255,199,False,4
181,223,False,4
183,215,False,22
245,215,False,4
103,245,False,1
55,247,False,29
167,255,False,3
173,237,False,1
237,237,False,1
189,205,False,2
53,191,False,1
165,253,False,2
183,243,False,6
215,221,False,1
223,147,False,1
53,195,False,1
255,215,False,5
247,247,False,5
221,211,False,1
159,255,False,1
91,207,False,1
191,215,False,9
183,149,False,2
115,223,False,1
255,211,False,2
189,253,False,1
183,213,False,10
119,223,False,5
253,229,False,2
213,245,False,1
55,223,False,9
119,243,False,1
63,183,False,2
117,221,False,3
183,231,False,15
55,245,False,9
53,221,False,2
45,221,False,1
123,213,False,1
179,231,False,4
181,255,False,7
253,237,False,3
125,253,False,3
55,215,False,16
253,243,False,1
247,215,False,9
255,85,False,8
253,213,False,4
245,221,False,1
157,253,False,1
125,245,False,2
127,151,False,7
245,117,False,1
191,205,False,5
183,119,False,4
191,213,False,3
119,215,False,15
253,197,False,1
167,127,False,1
255,149,False,4
189,237,False,3
189,229,False,6
51,239,False,3
191,141,False,4
253,69,False,1
183,89,False,1
191,229,False,9
125,197,False,4
167,247,False,2
179,191,False,1
53,245,False,6
247,117,False,6
255,137,False,2
159,145,False,1
191,165,False,6
221,213,False,2
83,215,False,1
127,183,False,7
245,223,False,4
247,127,False,1
187,239,False,2
223,215,False,2
191,167,False,6
247,205,False,4
255,79,False,3
181,215,False,3
63,253,False,2
117,255,False,7
119,231,False,5
183,255,False,6
63,215,False,6
117,119,False,1
191,103,False,5
245,173,False,1
175,251,False,2
95,207,False,1
91,255,False,1
181,245,False,4
119,207,False,2
183,239,False,5
191,231,False,9
119,211,False,5
63,205,False,1
247,71,False,5
87,215,False,4
63,147,False,2
215,213,False,4
119,213,False,7
231,223,False,3
215,215,False,5
189,213,False,2
47,183,False,2
245,87,False,1
55,231,False,7
247,209,False,1
95,217,False,1
245,245,False,3
47,205,False,1
53,253,False,4
183,171,False,1
149,181,False,1
243,199,False,1
147,207,False,1
63,195,False,1
181,235,False,3
51,245,False,5
117,183,False,1
51,215,False,1
245,255,False,4
253,223,False,1
247,231,False,4
247,207,False,3
181,239,False,4
55,255,False,11
127,215,False,5
125,237,False,2
239,237,False,1
181,127,False,4
251,237,False,1
61,103,False,1
247,87,False,6
255,195,False,2
177,255,False,2
247,253,False,2
165,255,False,3
53,247,False,9
175,213,False,2
151,151,False,1
95,229,False,1
119,87,False,2
183,167,False,1
53,255,False,10
191,77,False,3
247,213,False,14
247,151,False,2
183,101,False,2
63,199,False,2
173,213,False,1
191,225,False,2
101,253,False,1
63,201,False,1
213,247,False,1
101,223,False,2
247,141,False,1
191,203,False,2
85,245,False,2
175,165,False,2
53,117,False,1
191,193,False,1
29,213,False,1
247,111,False,1
255,171,False,2
127,207,False,6
247,183,False,1
175,243,False,1
247,243,False,1
63,231,False,4
175,247,False,2
223,115,False,1
247,255,False,2
255,229,False,2
207,207,False,1
255,203,False,1
63,167,False,5
51,255,False,3
119,239,False,2
215,239,False,1
191,117,False,2
181,125,False,1
215,151,False,1
181,237,False,3
191,143,False,2
55,239,False,15
247,199,False,4
61,223,False,3
59,239,False,2
245,207,False,2
187,143,False,1
183,221,False,3
189,215,False,2
55,199,False,2
179,235,False,1
181,213,False,4
181,207,False,2
183,117,False,3
253,141,False,1
167,191,False,1
181,253,False,6
113,215,False,1
31,183,False,1
151,229,False,1
115,215,False,1
181,119,False,1
183,109,False,2
215,201,False,1
87,205,False,2
243,151,False,1
243,229,False,1
123,181,False,1
127,133,False,2
191,251,False,1
125,221,False,5
95,231,False,2
45,191,False,1
189,247,False,3
247,103,False,3
61,221,False,4
191,83,False,1
179,247,False,4
255,75,False,2
127,193,False,2
239,221,False,1
55,119,False,3
55,175,False,1
79,223,False,1
31,221,False,1
165,251,False,1
127,73,False,1
119,199,False,5
191,183,False,1
255,205,False,4
87,239,False,2
151,167,False,1
181,229,False,2
183,233,False,2
255,147,False,3
181,205,False,3
191,79,False,2
119,75,False,1
191,71,False,3
57,247,False,1
87,211,False,1
63,213,False,6
103,215,False,1
109,215,False,1
255,69,False,5
119,249,False,1
183,203,False,4
163,255,False,1
53,215,False,5
63,171,False,2
191,101,False,5
115,247,False,2
247,195,False,1
63,141,False,4
117,213,False,3
183,209,False,1
119,229,False,1
151,207,False,1
23,245,False,1
63,87,False,1
247,165,False,1
159,149,False,1
85,223,False,1
159,139,False,1
43,159,False,1
63,85,False,1
227,243,False,1
95,149,False,2
85,167,False,1
127,219,False,1
253,159,False,2
127,213,False,11
255,239,False,1
191,219,False,3
235,255,False,1
125,191,False,1
221,207,False,1
191,159,False,1
95,223,False,1
127,205,False,5
93,223,False,1
117,253,False,3
215,207,False,1
247,95,False,2
253,205,False,3
117,189,False,1
189,207,False,2
125,213,False,3
63,109,False,3
53,183,False,4
215,237,False,1
119,221,False,8
171,191,False,1
59,159,False,2
87,217,False,1
127,149,False,5
117,199,False,1
245,239,False,1
125,227,False,2
151,223,False,3
191,115,False,1
87,247,False,3
183,219,False,1
53,231,False,1
53,239,False,1
247,85,False,4
55,253,False,4
95,159,False,1
183,251,False,1
115,253,False,1
63,181,False,3
251,79,False,1
125,181,False,1
183,229,False,9
77,219,False,1
127,101,False,1
45,255,False,1
247,149,False,1
55,87,False,1
127,145,False,1
83,223,False,3
183,205,False,1
247,69,False,5
125,149,False,1
189,199,False,1
167,245,False,2
49,237,False,1
87,213,False,2
167,229,False,1
53,237,False,2
107,195,False,1
53,119,False,2
63,255,False,3
255,237,False,5
223,223,False,1
237,207,False,2
191,247,False,7
63,245,False,4
239,239,False,1
123,95,False,1
247,159,False,3
175,215,False,1
183,223,False,4
117,243,False,1
253,77,False,2
189,111,False,1
167,223,False,1
255,131,False,3
111,229,False,1
93,215,False,1
63,177,False,1
117,239,False,4
119,227,False,1
229,239,False,1
127,197,False,5
127,199,False,6
61,183,False,1
59,223,False,2
239,211,False,1
191,245,False,9
55,213,False,3
185,135,False,1
175,175,False,1
247,197,False,5
63,235,False,1
187,253,False,1
175,241,False,1
191,109,False,2
55,243,False,3
87,95,False,2
243,211,False,1
245,77,False,1
245,199,False,2
223,141,False,1
39,247,False,1
63,221,False,6
127,71,False,2
227,245,False,1
215,135,False,1
239,133,False,1
55,167,False,1
191,133,False,4
179,199,False,1
183,71,False,2
23,231,False,2
119,135,False,1
255,161,False,1
127,195,False,1
249,141,False,1
55,181,False,3
183,197,False,3
183,181,False,2
177,173,False,1
185,197,False,1
189,255,False,3
247,245,False,3
189,221,False,2
63,239,False,5
95,119,False,1
23,223,False,2
255,77,False,5
59,253,False,1
213,127,False,1
117,245,False,2
125,241,False,1
175,245,False,1
63,251,False,1
63,223,False,1
255,181,False,1
247,105,False,1
223,203,False,1
119,115,False,1
61,247,False,6
255,95,False,1
117,223,False,4
253,71,False,1
53,223,False,4
181,231,False,5
251,207,False,2
55,95,False,1
183,253,False,2
109,255,False,1
47,253,False,1
167,253,False,1
223,135,False,1
87,223,False,2
103,239,False,1
127,203,False,2
55,237,False,1
187,87,False,1
245,241,False,1
229,219,False,1
209,239,False,1
151,231,False,1
183,165,False,1
189,231,False,1
53,189,False,1
183,175,False,3
167,221,False,1
191,147,False,1
117,211,False,1
133,255,False,1
21,245,False,1
39,199,False,1
181,221,False,1
95,213,False,5
183,53,False,1
243,203,False,1
243,213,False,2
181,197,False,1
51,231,False,1
255,103,False,1
191,119,False,4
191,243,False,1
247,221,False,2
245,213,False,2
187,223,False,1
127,87,False,4
63,207,False,1
159,183,False,1
125,215,False,2
191,211,False,2
191,149,False,5
173,253,False,1
189,239,False,1
183,227,False,1
253,107,False,1
63,111,False,1
61,245,False,4
119,205,False,1
49,255,False,1
117,117,False,1
123,205,False,1
91,189,False,1
183,103,False,1
223,133,False,1
169,231,False,1
63,197,False,4
63,151,False,1
251,71,False,1
251,201,False,1
253,85,False,1
119,71,False,1
183,151,False,1
183,217,False,1
191,87,False,3
239,205,False,2
181,111,False,2
55,151,False,2
159,181,False,1
53,213,False,2
173,231,False,1
39,245,False,2
167,251,False,2
223,131,False,2
63,157,False,2
245,99,False,1
223,199,False,2
61,143,False,1
127,67,False,1
167,215,False,1
21,207,False,1
95,141,False,2
53,243,False,1
215,205,False,1
87,219,False,1
117,141,False,1
197,237,False,1
179,215,False,1
127,93,False,1
255,235,False,1
127,235,False,1
239,215,False,1
223,119,False,2
255,139,False,2
127,239,False,2
125,95,False,1
119,93,False,2
191,237,False,2
191,241,False,1
185,247,False,1
119,245,False,4
55,127,False,2
103,223,False,1
247,239,False,1
127,245,False,1
159,229,False,2
127,141,False,1
127,179,False,1
59,255,False,1
31,247,False,1
253,75,False,1
245,231,False,1
119,175,False,1
243,175,False,2
127,167,False,3
85,239,False,1
47,213,False,2
189,181,False,1
125,157,False,1
127,143,False,1
237,205,False,1
175,185,False,1
63,165,False,5
61,239,False,1
