n59989,cAdvantage_system1.1+knownBit,circuit8,gap0.01,graph6
Time,
a,b,valid,frequency
173,247,False,16
221,209,False,1
253,177,False,11
205,199,False,1
205,221,False,5
251,183,False,2
167,245,False,1
255,213,False,6
245,227,False,1
233,247,False,7
235,249,False,1
235,255,False,2
255,209,False,5
221,185,False,1
223,241,False,1
237,237,False,9
237,157,False,6
237,219,False,12
185,247,False,5
237,245,False,13
237,217,False,8
185,185,False,1
181,211,False,1
173,215,False,12
253,209,False,7
237,253,False,14
173,235,False,4
173,239,False,7
233,243,False,6
173,245,False,6
223,149,False,1
173,189,False,8
237,189,False,8
189,177,False,6
237,155,False,6
133,243,False,1
239,155,False,1
171,219,False,3
253,161,False,1
173,205,False,4
165,243,False,3
175,149,False,4
157,245,False,3
247,149,False,2
237,179,False,6
239,237,False,2
239,181,False,3
167,231,False,1
251,217,False,1
173,249,False,5
233,203,False,1
239,189,False,3
247,241,False,1
239,209,False,5
233,249,False,3
189,181,False,7
171,255,False,6
169,245,False,2
173,255,False,14
221,251,False,1
239,253,False,1
197,243,False,1
171,241,False,1
229,227,False,1
169,219,False,2
253,201,False,1
237,243,False,12
249,237,False,1
193,219,False,2
217,229,False,1
177,231,False,1
233,245,False,3
237,203,False,3
173,213,False,6
253,167,False,2
249,129,False,1
237,177,False,9
181,221,False,1
151,243,False,1
175,251,False,1
171,179,False,1
255,221,False,2
169,159,False,2
139,229,False,1
235,253,False,2
191,227,False,1
175,185,False,1
253,149,False,2
235,245,False,3
231,177,False,1
139,255,False,1
237,185,False,7
169,247,False,9
249,245,False,1
237,201,False,6
237,215,False,11
165,215,False,7
199,243,False,2
233,195,False,2
231,217,False,1
237,213,False,16
175,163,False,1
219,243,False,1
173,251,False,10
245,215,False,2
245,241,False,3
229,211,False,4
237,207,False,5
173,221,False,12
233,255,False,12
213,223,False,1
205,249,False,2
237,147,False,8
173,211,False,6
237,229,False,5
173,153,False,2
165,245,False,1
235,143,False,1
239,159,False,3
207,177,False,1
187,159,False,1
191,183,False,1
189,183,False,10
237,183,False,8
173,243,False,4
245,151,False,1
231,179,False,1
221,181,False,2
201,179,False,1
251,209,False,2
245,211,False,1
253,213,False,4
229,229,False,1
235,189,False,1
235,235,False,3
231,197,False,2
253,241,False,6
243,243,False,1
253,253,False,2
237,233,False,4
253,179,False,7
231,209,False,4
237,169,False,1
165,211,False,2
165,229,False,1
169,241,False,1
249,243,False,3
247,229,False,2
245,185,False,1
233,233,False,1
237,165,False,3
189,133,False,2
171,197,False,1
185,215,False,1
189,243,False,4
249,179,False,1
245,161,False,1
255,181,False,6
249,177,False,2
239,177,False,5
233,181,False,1
161,251,False,2
201,245,False,2
173,179,False,10
205,251,False,2
141,247,False,1
237,153,False,4
235,173,False,1
239,183,False,3
243,215,False,2
247,141,False,1
159,181,False,1
141,221,False,2
235,215,False,3
247,211,False,1
231,221,False,1
185,191,False,2
237,211,False,7
163,255,False,1
255,145,False,4
237,241,False,12
249,191,False,1
229,165,False,1
165,253,False,3
237,209,False,4
185,239,False,2
207,159,False,1
149,211,False,1
201,249,False,2
253,243,False,3
189,255,False,3
173,159,False,5
221,255,False,2
251,155,False,1
165,223,False,6
255,137,False,3
141,217,False,1
239,133,False,1
213,199,False,1
205,211,False,3
173,155,False,5
189,253,False,3
173,219,False,3
169,253,False,3
233,253,False,4
173,253,False,11
233,183,False,2
233,209,False,2
253,185,False,4
157,221,False,1
161,163,False,1
253,181,False,10
235,183,False,3
237,221,False,13
237,137,False,4
245,209,False,3
173,173,False,3
201,247,False,1
175,175,False,2
237,181,False,18
225,247,False,2
189,147,False,3
229,213,False,7
253,153,False,2
175,211,False,2
205,181,False,1
255,147,False,4
233,211,False,4
229,231,False,1
169,229,False,1
237,247,False,9
225,221,False,1
253,145,False,5
253,211,False,2
165,199,False,1
253,183,False,6
195,253,False,1
169,251,False,4
189,215,False,2
189,245,False,3
169,255,False,12
233,221,False,1
203,185,False,1
253,247,False,1
187,183,False,2
169,215,False,7
239,215,False,3
237,149,False,6
233,239,False,5
185,245,False,4
249,219,False,3
175,179,False,3
249,165,False,1
171,239,False,2
229,241,False,3
161,233,False,1
163,219,False,1
175,191,False,1
185,159,False,1
165,213,False,1
225,147,False,1
229,215,False,2
191,217,False,4
169,239,False,8
227,145,False,1
141,207,False,2
237,223,False,7
185,243,False,1
253,197,False,3
237,175,False,2
225,183,False,1
189,149,False,5
187,181,False,2
229,219,False,2
181,199,False,3
141,215,False,1
245,169,False,1
237,151,False,12
205,185,False,1
159,145,False,2
205,243,False,1
249,241,False,2
237,227,False,3
175,243,False,2
233,191,False,5
181,247,False,2
181,129,False,1
245,179,False,1
191,153,False,1
221,241,False,3
173,223,False,14
249,155,False,1
189,225,False,1
201,223,False,2
137,239,False,1
223,249,False,1
233,223,False,2
171,247,False,3
235,219,False,2
201,255,False,5
171,207,False,1
253,215,False,3
153,243,False,1
229,243,False,3
175,181,False,2
193,255,False,1
235,167,False,1
193,195,False,1
233,215,False,6
189,221,False,2
183,165,False,1
187,211,False,2
207,255,False,1
225,227,False,1
201,251,False,2
189,247,False,6
189,179,False,6
233,179,False,4
157,183,False,2
235,147,False,1
175,145,False,2
187,167,False,1
239,199,False,2
169,213,False,1
167,223,False,2
231,133,False,1
253,195,False,1
229,247,False,4
165,181,False,1
191,215,False,1
221,223,False,2
229,183,False,2
245,249,False,1
237,251,False,5
171,213,False,1
233,227,False,4
145,209,False,1
229,245,False,1
237,191,False,6
233,173,False,1
221,169,False,1
185,183,False,1
237,145,False,8
239,179,False,2
189,151,False,1
247,145,False,1
205,209,False,1
229,163,False,1
189,137,False,1
189,227,False,2
239,161,False,3
175,187,False,2
173,231,False,4
237,141,False,2
237,249,False,4
245,197,False,1
157,229,False,1
237,131,False,2
221,183,False,1
157,189,False,1
251,247,False,1
173,167,False,1
167,213,False,1
185,207,False,1
215,181,False,1
155,171,False,1
175,213,False,4
235,239,False,1
237,239,False,5
183,219,False,1
177,247,False,1
175,253,False,2
187,195,False,1
239,245,False,3
237,187,False,7
237,255,False,5
181,157,False,1
175,215,False,4
163,247,False,2
231,193,False,1
173,175,False,4
239,193,False,1
161,219,False,1
175,171,False,2
191,213,False,2
243,227,False,1
165,247,False,4
181,177,False,2
165,171,False,1
169,231,False,3
175,221,False,3
189,237,False,3
205,191,False,3
171,215,False,3
223,223,False,1
173,177,False,5
235,155,False,1
133,185,False,1
159,157,False,1
165,255,False,2
235,191,False,2
233,187,False,2
175,209,False,2
255,149,False,4
183,243,False,1
191,225,False,3
169,185,False,1
183,147,False,1
255,131,False,1
245,199,False,1
237,199,False,2
229,199,False,2
173,181,False,8
237,197,False,3
169,169,False,1
221,215,False,1
169,191,False,5
169,183,False,1
173,157,False,2
249,185,False,1
181,209,False,1
165,249,False,2
173,195,False,2
253,165,False,3
237,159,False,7
253,147,False,4
207,157,False,1
153,255,False,1
173,183,False,10
187,243,False,1
231,231,False,2
159,209,False,1
249,231,False,2
141,245,False,2
191,177,False,3
205,247,False,4
239,165,False,2
231,215,False,4
165,227,False,3
233,159,False,4
231,229,False,1
173,199,False,3
235,223,False,2
187,175,False,1
153,163,False,1
169,221,False,2
173,207,False,6
249,181,False,2
171,231,False,1
241,231,False,1
245,243,False,1
201,239,False,1
253,199,False,1
219,167,False,1
143,211,False,1
165,239,False,2
171,189,False,1
199,235,False,1
159,165,False,1
189,159,False,2
253,203,False,1
175,217,False,2
199,217,False,1
187,161,False,1
173,217,False,1
255,241,False,1
169,243,False,2
249,183,False,2
207,221,False,2
233,167,False,2
189,249,False,1
187,213,False,2
189,189,False,1
233,147,False,1
185,229,False,2
141,219,False,1
229,207,False,2
191,167,False,1
239,147,False,2
239,151,False,1
215,243,False,1
181,225,False,2
245,201,False,1
175,177,False,2
189,209,False,2
239,231,False,3
245,225,False,1
165,231,False,1
201,253,False,2
173,241,False,1
179,219,False,1
169,175,False,2
229,193,False,1
251,145,False,1
173,233,False,2
237,231,False,3
173,237,False,3
133,245,False,1
167,195,False,1
205,203,False,1
227,253,False,1
233,237,False,3
225,255,False,1
191,245,False,2
249,247,False,4
223,181,False,1
173,191,False,10
171,253,False,2
205,215,False,2
217,255,False,1
233,219,False,2
229,249,False,1
137,207,False,1
173,185,False,3
253,151,False,3
181,155,False,1
235,213,False,1
255,197,False,1
235,157,False,1
235,159,False,1
255,177,False,2
189,223,False,3
229,195,False,1
227,209,False,1
169,207,False,1
179,215,False,1
225,141,False,1
185,231,False,2
183,231,False,1
197,185,False,1
203,191,False,1
229,217,False,1
185,187,False,3
241,245,False,1
131,255,False,1
247,147,False,1
187,187,False,1
187,189,False,1
239,221,False,2
239,197,False,3
205,223,False,3
189,185,False,1
205,245,False,2
171,161,False,1
181,219,False,1
185,179,False,2
247,129,False,2
183,229,False,1
141,185,False,1
185,253,False,1
205,225,False,1
141,179,False,1
255,245,False,1
239,227,False,1
223,209,False,1
137,215,False,1
157,153,False,1
141,195,False,2
189,241,False,1
195,211,False,1
217,245,False,1
221,211,False,1
239,153,False,2
221,243,False,1
249,167,False,2
255,153,False,3
189,211,False,2
249,225,False,1
205,157,False,1
245,213,False,3
197,221,False,1
247,213,False,1
167,219,False,1
239,223,False,1
239,243,False,2
233,207,False,1
189,199,False,2
249,151,False,2
251,237,False,1
233,151,False,2
167,253,False,1
159,249,False,1
167,247,False,2
173,163,False,3
239,195,False,3
141,197,False,1
189,235,False,1
175,245,False,1
253,163,False,1
229,255,False,1
189,197,False,2
241,215,False,2
233,235,False,2
143,159,False,1
255,151,False,6
191,133,False,2
137,243,False,1
153,205,False,1
237,235,False,2
221,155,False,2
153,183,False,1
253,187,False,5
193,215,False,1
181,189,False,1
141,231,False,2
231,247,False,2
245,193,False,1
153,251,False,1
255,157,False,2
235,247,False,3
173,227,False,2
173,149,False,4
191,195,False,2
189,135,False,1
141,175,False,1
175,241,False,1
175,147,False,1
173,229,False,2
189,129,False,1
253,129,False,3
229,147,False,1
205,239,False,1
191,173,False,2
253,173,False,2
171,229,False,1
229,167,False,2
203,255,False,2
189,145,False,1
157,159,False,1
239,213,False,1
221,203,False,1
231,213,False,2
239,217,False,2
167,215,False,1
253,189,False,2
175,157,False,1
235,231,False,1
181,151,False,1
253,159,False,2
169,227,False,1
205,179,False,1
175,155,False,1
241,251,False,1
253,169,False,1
171,185,False,1
233,145,False,1
223,219,False,1
167,251,False,1
181,181,False,2
205,145,False,1
167,255,False,1
177,223,False,1
165,219,False,1
173,209,False,2
175,247,False,1
233,189,False,2
189,187,False,1
189,217,False,2
207,217,False,1
251,241,False,3
143,153,False,1
141,209,False,1
239,175,False,1
159,151,False,1
141,253,False,1
249,175,False,1
189,167,False,2
237,193,False,2
223,177,False,1
227,207,False,1
233,213,False,1
255,173,False,1
161,207,False,1
157,247,False,1
189,161,False,1
169,237,False,1
221,177,False,1
169,225,False,1
253,229,False,3
253,131,False,1
229,221,False,1
235,169,False,1
165,209,False,1
181,183,False,1
205,135,False,1
135,233,False,1
183,135,False,1
171,235,False,1
151,247,False,1
231,219,False,1
227,235,False,1
167,221,False,1
239,249,False,1
235,243,False,1
175,169,False,1
227,255,False,1
179,239,False,1
175,167,False,1
235,233,False,1
161,171,False,1
219,231,False,1
191,159,False,2
169,223,False,4
219,235,False,1
155,241,False,1
239,187,False,1
253,227,False,1
243,245,False,1
169,235,False,1
141,239,False,1
169,187,False,1
157,241,False,1
133,247,False,1
165,135,False,1
183,149,False,1
239,247,False,1
255,165,False,2
237,163,False,1
197,223,False,1
163,253,False,1
225,219,False,1
191,187,False,1
193,247,False,1
185,227,False,1
187,209,False,1
175,231,False,1
253,157,False,2
247,193,False,1
237,167,False,2
251,185,False,2
237,133,False,1
159,237,False,1
249,189,False,1
155,179,False,1
253,245,False,2
191,181,False,3
221,245,False,2
173,161,False,2
233,251,False,3
205,171,False,1
189,231,False,1
175,153,False,1
159,215,False,1
151,213,False,1
249,201,False,1
155,253,False,1
231,251,False,1
161,231,False,1
235,217,False,1
249,131,False,1
153,239,False,1
253,249,False,1
255,237,False,1
189,175,False,1
225,231,False,1
163,207,False,1
173,187,False,3
231,149,False,1
229,135,False,1
233,175,False,1
201,217,False,1
251,181,False,1
239,143,False,1
183,225,False,1
205,255,False,1
247,227,False,1
169,249,False,2
143,223,False,1
133,251,False,1
207,137,False,1
141,223,False,1
249,227,False,1
173,135,False,1
141,183,False,1
229,189,False,1
189,219,False,1
183,195,False,1
191,165,False,2
225,199,False,1
251,227,False,2
165,207,False,1
185,181,False,1
141,255,False,1
167,179,False,1
199,247,False,1
191,147,False,1
247,175,False,1
179,255,False,1
223,193,False,1
175,165,False,1
235,175,False,1
167,243,False,1
231,165,False,1
237,135,False,3
239,157,False,2
181,245,False,1
183,245,False,1
235,205,False,1
229,253,False,1
183,133,False,1
233,155,False,1
191,141,False,1
155,177,False,2
245,129,False,1
239,131,False,1
253,225,False,1
205,207,False,1
239,225,False,1
253,221,False,1
189,165,False,1
141,191,False,2
161,211,False,1
235,153,False,1
191,163,False,2
197,255,False,1
251,243,False,1
207,245,False,1
171,245,False,1
251,161,False,1
255,189,False,1
189,213,False,1
207,207,False,1
255,133,False,2
239,191,False,1
245,155,False,1
159,245,False,1
191,209,False,1
253,251,False,1
235,211,False,1
205,151,False,2
239,145,False,2
245,245,False,1
239,233,False,1
255,247,False,1
187,247,False,1
183,173,False,1
221,173,False,1
201,157,False,1
173,197,False,1
165,191,False,1
165,241,False,1
253,137,False,1
181,187,False,1
255,215,False,1
191,151,False,1
231,243,False,1
163,143,False,1
247,151,False,1
143,213,False,1
221,149,False,2
255,229,False,1
239,229,False,1
161,247,False,1
253,207,False,1
175,183,False,1
141,211,False,1
201,159,False,1
169,189,False,1
137,191,False,1
191,155,False,1
233,217,False,1
243,197,False,1
171,223,False,2
255,141,False,1
233,157,False,2
209,251,False,1
171,163,False,1
191,135,False,1
251,193,False,1
245,237,False,1
203,211,False,1
151,167,False,1
205,187,False,1
229,239,False,2
227,251,False,1
253,191,False,1
189,191,False,1
207,241,False,1
187,245,False,1
133,143,False,1
207,219,False,1
235,201,False,1
175,229,False,1
189,173,False,1
189,169,False,1
223,231,False,1
249,145,False,1
223,153,False,1
189,163,False,2
245,163,False,1
247,247,False,1
253,239,False,1
225,253,False,1
205,201,False,1
253,135,False,1
251,205,False,1
175,223,False,1
207,215,False,1
221,139,False,1
227,219,False,1
171,205,False,1
173,201,False,1
143,219,False,1
207,243,False,1
249,135,False,1
199,211,False,1
205,235,False,1
171,187,False,1
229,209,False,1
233,199,False,1
191,229,False,1
223,133,False,1
249,239,False,1
167,203,False,1
191,253,False,1
181,213,False,1
207,253,False,1
255,183,False,1
191,247,False,1
191,191,False,1
