n59989,cDW_2000Q_6+knownBit,circuit8,gap0.1,graph8
Time,
a,b,valid,frequency
245,213,False,13
177,253,False,7
213,213,False,3
177,255,False,20
225,255,False,30
177,223,False,12
253,215,False,8
229,247,False,9
249,243,False,1
213,247,False,7
253,197,False,9
145,255,False,16
177,243,False,1
177,245,False,5
247,183,False,1
245,215,False,22
241,255,False,10
249,253,False,3
245,183,False,2
179,215,False,2
233,181,False,2
213,231,False,1
181,213,False,16
209,219,False,2
145,247,False,7
185,255,False,13
245,245,False,9
255,189,False,1
255,149,False,53
181,255,False,8
247,187,False,1
217,253,False,2
229,245,False,4
181,221,False,5
201,255,False,17
211,253,False,1
241,215,False,6
185,245,False,5
197,247,False,15
245,199,False,11
255,145,False,4
185,221,False,1
249,205,False,3
161,253,False,21
129,255,False,69
209,183,False,1
253,149,False,15
183,215,False,4
209,255,False,12
149,245,False,1
181,223,False,3
241,247,False,5
223,157,False,1
253,135,False,7
253,229,False,2
169,255,False,11
187,215,False,1
213,245,False,3
255,153,False,2
149,247,False,3
161,223,False,20
169,197,False,1
201,253,False,3
133,215,False,2
133,213,False,1
229,215,False,9
215,215,False,3
235,235,False,1
247,207,False,1
181,245,False,6
197,255,False,24
153,255,False,10
253,159,False,8
237,213,False,3
249,255,False,4
217,255,False,8
181,247,False,15
245,181,False,1
255,143,False,1
245,229,False,3
237,199,False,1
181,215,False,25
205,247,False,4
177,221,False,6
193,255,False,63
189,159,False,3
181,197,False,1
213,195,False,1
165,247,False,15
137,247,False,3
165,217,False,2
245,151,False,2
253,131,False,1
161,251,False,4
165,213,False,9
247,215,False,9
221,215,False,4
237,183,False,4
243,207,False,1
185,253,False,3
177,247,False,12
249,183,False,4
181,199,False,4
237,221,False,1
161,255,False,59
249,245,False,2
233,245,False,2
229,223,False,6
165,253,False,7
247,149,False,10
253,165,False,4
165,255,False,21
225,253,False,20
229,253,False,3
147,207,False,1
177,215,False,4
229,229,False,1
229,213,False,5
197,245,False,4
253,133,False,5
241,197,False,4
141,247,False,2
255,161,False,1
237,217,False,1
129,253,False,14
241,213,False,11
251,181,False,2
245,191,False,1
239,151,False,1
245,223,False,5
243,151,False,1
221,255,False,4
249,239,False,4
237,247,False,6
213,215,False,4
249,215,False,4
233,229,False,1
255,165,False,5
225,223,False,19
229,255,False,16
165,215,False,5
183,149,False,2
237,215,False,7
137,255,False,12
181,253,False,1
205,253,False,3
209,231,False,1
167,245,False,1
211,223,False,1
221,133,False,1
181,209,False,1
229,217,False,2
193,245,False,2
229,195,False,1
245,133,False,3
255,167,False,2
245,253,False,1
173,191,False,1
191,181,False,2
191,247,False,1
237,255,False,3
215,151,False,1
213,255,False,3
227,245,False,1
189,231,False,2
173,247,False,6
217,247,False,2
243,215,False,2
151,215,False,1
189,215,False,8
205,231,False,2
255,147,False,10
181,211,False,2
221,151,False,2
133,247,False,11
241,245,False,6
247,213,False,9
145,253,False,3
197,215,False,5
149,253,False,2
153,237,False,1
165,245,False,4
245,211,False,1
133,255,False,11
177,249,False,1
129,247,False,2
229,221,False,8
193,253,False,11
193,237,False,1
253,195,False,2
169,209,False,1
221,149,False,1
193,243,False,1
193,223,False,9
149,213,False,1
161,249,False,1
129,235,False,1
161,221,False,5
185,223,False,2
247,247,False,1
255,159,False,2
189,247,False,5
231,223,False,1
189,239,False,2
171,253,False,1
245,221,False,3
253,223,False,5
169,247,False,3
253,213,False,8
189,191,False,1
253,175,False,2
243,221,False,3
179,211,False,1
223,215,False,1
231,213,False,2
255,181,False,5
241,207,False,2
149,255,False,4
169,245,False,1
253,151,False,22
233,159,False,1
235,159,False,1
161,245,False,3
225,247,False,3
255,135,False,10
135,247,False,1
191,145,False,1
249,229,False,1
249,197,False,1
243,209,False,1
205,239,False,2
149,215,False,4
173,189,False,2
213,151,False,2
193,247,False,4
241,211,False,1
225,221,False,4
137,251,False,1
153,215,False,1
133,241,False,1
129,251,False,4
193,251,False,5
249,221,False,2
255,215,False,3
255,151,False,32
237,253,False,1
253,183,False,3
169,253,False,3
255,175,False,1
245,195,False,2
189,199,False,3
247,179,False,1
243,213,False,1
239,215,False,2
221,157,False,1
255,133,False,14
237,245,False,1
189,219,False,1
253,199,False,2
189,245,False,3
245,247,False,6
247,181,False,1
247,135,False,3
249,199,False,1
173,245,False,1
191,151,False,3
241,237,False,1
217,215,False,1
161,213,False,2
151,245,False,2
233,253,False,2
209,245,False,2
247,211,False,2
233,255,False,4
237,197,False,1
213,253,False,2
247,165,False,1
221,211,False,1
201,251,False,3
239,149,False,5
189,213,False,5
249,135,False,1
205,251,False,3
149,231,False,1
133,245,False,2
229,149,False,1
133,253,False,4
253,191,False,6
255,213,False,8
245,255,False,6
173,223,False,3
251,231,False,1
199,245,False,1
253,247,False,4
247,197,False,1
197,223,False,4
185,215,False,2
245,143,False,1
241,221,False,1
251,133,False,1
249,207,False,2
173,215,False,1
153,245,False,1
229,211,False,1
237,229,False,1
201,239,False,2
185,213,False,1
253,147,False,3
223,151,False,1
225,219,False,3
177,213,False,2
233,223,False,2
187,149,False,1
197,207,False,1
209,221,False,1
197,253,False,3
169,223,False,3
183,213,False,6
157,215,False,1
209,253,False,5
161,219,False,1
253,145,False,2
209,247,False,2
237,239,False,2
249,231,False,4
253,181,False,5
237,181,False,1
253,141,False,1
253,163,False,2
185,247,False,5
249,247,False,1
153,253,False,1
141,237,False,1
247,151,False,5
209,223,False,2
189,223,False,2
247,145,False,1
139,239,False,1
225,245,False,1
237,191,False,2
173,213,False,1
193,239,False,4
133,221,False,1
239,147,False,1
253,227,False,1
165,223,False,11
239,135,False,1
255,129,False,2
175,209,False,1
137,245,False,1
199,181,False,1
255,247,False,1
183,183,False,1
245,231,False,2
191,229,False,1
191,157,False,1
253,211,False,3
245,161,False,1
173,253,False,3
217,223,False,1
249,237,False,2
165,251,False,1
229,237,False,2
253,155,False,1
