n59989,cDW_2000Q_6+knownBit,circuit8,gap1,graph8
Time,
a,b,valid,frequency
165,215,False,1
167,191,False,19
247,159,False,17
191,155,False,6
183,183,False,19
139,191,False,1
149,215,False,3
247,143,False,3
189,203,False,1
183,151,False,28
147,199,False,2
193,239,False,1
191,183,False,18
239,187,False,1
183,167,False,2
183,187,False,5
157,215,False,2
253,153,False,1
183,179,False,4
165,255,False,14
231,151,False,6
255,135,False,70
255,199,False,9
247,151,False,23
187,243,False,1
237,191,False,2
255,149,False,7
149,247,False,4
247,135,False,7
171,207,False,1
167,159,False,6
151,151,False,7
135,183,False,3
203,143,False,1
183,159,False,14
239,183,False,3
167,223,False,6
243,215,False,1
183,247,False,9
231,191,False,5
243,249,False,1
187,247,False,7
191,151,False,85
187,167,False,1
239,147,False,5
183,149,False,1
255,145,False,1
255,131,False,39
239,151,False,11
183,219,False,1
159,243,False,1
169,255,False,4
175,251,False,1
171,215,False,3
173,183,False,1
247,147,False,7
185,223,False,3
231,183,False,1
241,159,False,3
191,199,False,10
215,183,False,2
157,251,False,3
181,219,False,3
151,243,False,2
143,187,False,1
165,223,False,5
167,183,False,5
157,179,False,2
183,135,False,6
199,151,False,2
143,159,False,1
151,239,False,2
163,215,False,1
193,255,False,4
183,191,False,10
245,191,False,2
183,243,False,1
253,187,False,1
149,255,False,2
253,151,False,6
255,151,False,77
247,199,False,4
151,183,False,7
179,247,False,4
247,167,False,2
151,223,False,2
181,187,False,1
187,215,False,9
255,147,False,39
223,167,False,2
255,163,False,3
231,159,False,5
191,135,False,19
185,215,False,4
239,143,False,5
227,223,False,2
247,195,False,2
223,135,False,16
189,215,False,8
175,155,False,4
165,253,False,1
163,191,False,2
187,145,False,1
177,219,False,2
235,135,False,3
255,215,False,10
191,247,False,6
191,215,False,16
253,181,False,1
167,255,False,10
243,207,False,1
181,247,False,5
189,251,False,2
255,155,False,23
247,215,False,3
159,247,False,2
251,135,False,6
191,147,False,16
235,215,False,2
191,231,False,1
181,255,False,6
159,199,False,2
183,215,False,17
251,167,False,2
165,159,False,4
191,187,False,3
179,235,False,1
199,191,False,5
249,143,False,1
215,159,False,6
247,155,False,5
181,191,False,4
253,139,False,3
175,151,False,9
187,135,False,2
223,163,False,2
223,143,False,4
163,251,False,1
189,147,False,3
133,255,False,6
151,159,False,3
159,227,False,1
249,135,False,1
191,131,False,10
189,151,False,3
147,215,False,1
131,239,False,1
217,217,False,1
251,223,False,2
247,247,False,3
231,223,False,6
215,251,False,1
231,239,False,1
255,213,False,2
175,191,False,4
159,215,False,4
255,211,False,8
173,219,False,2
255,143,False,14
153,223,False,2
177,255,False,2
171,247,False,1
183,155,False,5
255,179,False,4
175,215,False,6
237,155,False,4
175,199,False,2
191,195,False,1
255,139,False,14
197,223,False,1
185,207,False,1
239,199,False,5
181,159,False,4
185,243,False,1
191,211,False,5
197,255,False,2
155,215,False,3
243,199,False,1
241,223,False,1
227,183,False,1
159,151,False,10
201,223,False,1
215,151,False,5
163,255,False,4
155,219,False,1
149,187,False,1
223,131,False,5
219,135,False,3
239,191,False,2
191,223,False,6
151,255,False,6
207,255,False,1
183,223,False,6
215,191,False,3
239,159,False,12
191,167,False,10
189,159,False,4
215,215,False,4
175,247,False,4
175,187,False,1
223,151,False,7
173,223,False,3
187,219,False,2
187,139,False,1
221,183,False,1
237,215,False,1
189,155,False,5
149,231,False,1
175,183,False,5
247,211,False,1
247,183,False,7
159,179,False,1
255,141,False,3
251,151,False,6
189,221,False,1
235,183,False,1
165,243,False,1
229,191,False,3
159,167,False,3
133,251,False,3
253,149,False,1
251,199,False,3
135,251,False,2
213,251,False,2
155,151,False,2
179,191,False,1
169,215,False,2
195,143,False,1
167,149,False,1
223,137,False,1
179,215,False,6
161,255,False,7
135,191,False,3
179,151,False,2
209,155,False,1
161,251,False,2
189,255,False,2
191,179,False,4
223,247,False,1
247,223,False,4
251,215,False,2
223,179,False,1
223,199,False,3
247,219,False,3
255,183,False,4
173,255,False,1
231,215,False,3
253,147,False,8
189,183,False,2
247,163,False,1
185,219,False,2
221,139,False,1
199,171,False,1
255,195,False,2
155,231,False,1
151,191,False,3
181,215,False,2
159,183,False,4
183,143,False,2
149,223,False,2
175,147,False,5
173,191,False,1
171,223,False,1
183,251,False,3
165,251,False,6
253,155,False,4
247,149,False,1
239,135,False,4
133,247,False,3
143,183,False,3
239,155,False,6
181,189,False,2
175,135,False,2
159,135,False,4
133,219,False,1
207,135,False,3
171,159,False,1
159,191,False,3
255,159,False,16
191,191,False,5
191,255,False,1
243,223,False,4
253,215,False,3
183,255,False,4
223,183,False,2
159,231,False,3
247,243,False,2
189,191,False,1
171,255,False,3
255,157,False,2
221,155,False,2
173,247,False,2
175,159,False,7
245,219,False,3
227,247,False,1
135,223,False,2
191,159,False,12
149,251,False,3
171,211,False,1
143,223,False,1
215,139,False,2
229,187,False,2
187,203,False,1
207,151,False,3
223,155,False,3
243,159,False,3
147,207,False,1
175,167,False,2
199,223,False,1
207,175,False,1
143,247,False,1
191,139,False,5
149,183,False,1
177,223,False,3
245,151,False,1
203,159,False,1
221,143,False,2
253,143,False,2
167,247,False,5
141,251,False,1
173,215,False,2
213,159,False,1
247,139,False,3
255,137,False,3
151,197,False,1
255,191,False,1
219,207,False,4
255,167,False,8
189,223,False,4
191,203,False,1
239,179,False,1
243,219,False,1
223,147,False,6
183,207,False,1
241,251,False,1
183,147,False,2
231,207,False,1
159,175,False,1
239,223,False,3
183,189,False,1
219,171,False,1
187,199,False,3
251,203,False,2
255,165,False,1
223,215,False,1
215,143,False,2
187,207,False,4
191,143,False,4
159,163,False,1
251,147,False,1
247,165,False,1
251,131,False,2
223,139,False,4
169,251,False,1
135,255,False,7
215,243,False,1
237,151,False,1
137,251,False,2
133,191,False,1
225,255,False,1
147,191,False,2
165,183,False,2
165,187,False,2
233,219,False,1
167,151,False,3
171,149,False,1
233,151,False,2
147,183,False,1
255,187,False,2
187,255,False,1
175,255,False,2
253,243,False,1
255,171,False,5
223,187,False,3
245,221,False,1
221,151,False,1
223,175,False,2
239,215,False,1
215,175,False,1
221,223,False,2
157,189,False,2
187,151,False,1
151,247,False,4
183,231,False,1
213,247,False,2
173,139,False,1
171,175,False,1
213,243,False,1
171,191,False,1
179,255,False,1
165,247,False,3
153,255,False,1
251,143,False,4
213,255,False,2
191,149,False,2
159,143,False,2
131,223,False,1
155,159,False,2
155,237,False,1
227,207,False,1
223,203,False,4
221,149,False,1
219,151,False,1
191,163,False,2
159,165,False,1
225,223,False,1
245,143,False,1
211,151,False,1
237,203,False,1
159,149,False,2
161,223,False,3
223,133,False,2
151,215,False,2
129,255,False,2
237,131,False,2
251,207,False,1
247,191,False,3
249,239,False,1
175,223,False,2
247,171,False,1
159,207,False,2
243,239,False,2
205,247,False,1
143,239,False,1
255,201,False,1
229,215,False,1
183,221,False,1
177,215,False,1
223,159,False,5
213,187,False,2
211,219,False,1
245,181,False,1
221,147,False,2
183,211,False,1
215,203,False,1
179,223,False,2
187,211,False,2
189,199,False,1
147,255,False,1
247,193,False,1
143,151,False,1
185,159,False,1
215,167,False,2
131,183,False,2
133,223,False,2
139,223,False,3
183,175,False,1
159,187,False,1
255,133,False,4
235,151,False,1
191,177,False,1
149,151,False,1
207,131,False,3
207,155,False,1
159,147,False,3
245,239,False,1
159,223,False,1
237,255,False,2
245,215,False,2
253,159,False,3
157,223,False,3
181,223,False,2
249,199,False,1
219,223,False,1
239,167,False,2
151,231,False,1
159,203,False,1
167,179,False,2
229,223,False,1
227,239,False,1
187,183,False,1
181,251,False,2
237,159,False,2
173,211,False,1
185,155,False,1
205,215,False,1
253,135,False,1
151,187,False,1
179,231,False,1
215,199,False,2
191,171,False,1
157,155,False,2
235,187,False,1
173,251,False,1
219,205,False,1
147,247,False,1
207,143,False,1
129,183,False,1
149,159,False,1
175,139,False,2
173,243,False,1
245,159,False,1
239,139,False,1
249,215,False,1
189,219,False,2
251,155,False,1
191,157,False,1
177,247,False,2
185,247,False,1
141,187,False,1
187,159,False,3
159,195,False,1
165,191,False,1
173,179,False,1
215,163,False,2
253,217,False,1
147,239,False,1
135,179,False,1
167,155,False,1
191,133,False,3
133,231,False,1
175,145,False,1
131,147,False,1
253,219,False,1
221,179,False,1
207,203,False,1
221,211,False,3
253,211,False,3
215,207,False,1
143,207,False,1
245,147,False,1
221,175,False,1
181,155,False,2
237,157,False,1
157,211,False,1
249,159,False,1
159,155,False,1
159,235,False,1
211,199,False,1
237,139,False,1
129,247,False,2
169,191,False,1
135,147,False,1
215,211,False,1
245,255,False,1
255,207,False,3
189,179,False,1
247,207,False,2
253,207,False,1
235,159,False,1
227,219,False,1
245,187,False,1
167,231,False,1
141,255,False,2
249,207,False,1
173,189,False,1
169,219,False,1
187,143,False,2
231,243,False,1
219,199,False,2
245,167,False,1
219,203,False,1
181,211,False,1
167,245,False,1
159,139,False,1
237,219,False,2
157,247,False,1
171,239,False,1
221,159,False,1
217,207,False,1
219,189,False,1
163,223,False,1
213,147,False,1
253,131,False,1
201,215,False,1
145,223,False,1
217,135,False,1
221,197,False,1
167,215,False,1
239,207,False,1
191,243,False,1
223,207,False,1
165,219,False,1
149,243,False,1
205,223,False,1
237,209,False,1
245,175,False,1
163,243,False,1
149,191,False,1
157,159,False,1
159,131,False,1
169,183,False,1
221,219,False,1
175,231,False,1
253,247,False,1
181,239,False,1
191,165,False,1
251,183,False,1
167,239,False,1
251,157,False,1
141,159,False,1
223,157,False,1
203,207,False,1
191,181,False,1
251,195,False,1
255,223,False,1
253,191,False,1
159,239,False,1
205,211,False,1
169,239,False,1
245,235,False,1
235,223,False,2
183,197,False,1
213,215,False,1
219,195,False,1
223,169,False,1
131,247,False,1
239,175,False,1
143,235,False,1
213,155,False,1
223,251,False,1
255,235,False,1
159,159,False,1
231,247,False,1
199,255,False,1
215,223,False,2
251,159,False,1
191,219,False,1
239,157,False,1
247,227,False,1
135,243,False,1
155,143,False,1
207,191,False,1
253,235,False,1
171,151,False,1
253,223,False,1
249,243,False,1
239,255,False,1
