n59989,cDW_2000Q,circuit8,gap0.01,graph8
Time,489156
a,b,valid,frequency
187,191,False,3
207,235,False,2
107,251,False,6
239,171,False,7
143,171,False,3
27,191,False,5
223,176,False,1
191,136,False,1
11,255,False,7
47,235,False,5
65,251,False,1
115,154,False,1
119,161,False,1
107,175,False,2
143,235,False,2
95,187,False,13
239,175,False,1
173,235,False,1
27,255,False,21
191,239,False,5
13,239,False,3
71,239,False,1
73,251,False,2
111,250,False,1
19,191,False,5
143,191,False,3
79,123,False,1
223,185,False,1
15,191,False,3
159,191,False,3
75,184,False,1
93,255,False,3
91,175,False,2
107,155,False,1
171,255,False,2
87,239,False,4
239,169,False,1
215,143,False,1
79,166,False,1
155,243,False,1
77,251,False,2
61,187,False,1
127,173,False,6
163,179,False,1
255,168,False,4
255,137,False,2
140,239,False,1
83,255,False,10
79,191,False,2
47,239,False,2
95,231,False,4
207,249,False,1
79,253,False,1
11,251,False,4
219,187,False,4
155,175,False,1
155,255,False,5
107,255,False,3
255,200,False,1
67,255,False,4
31,155,False,1
30,239,False,1
157,171,False,1
147,175,False,2
95,189,False,4
11,191,False,6
31,191,False,8
127,168,False,2
103,187,False,1
79,251,False,3
127,186,False,3
1,239,False,1
31,175,False,5
75,191,False,5
135,207,False,1
203,183,False,1
93,202,False,1
87,191,False,6
93,253,False,1
39,233,False,2
207,187,False,2
47,234,False,2
255,186,False,4
255,43,False,3
123,251,False,10
127,171,False,17
91,255,False,21
82,189,False,1
215,255,False,1
39,253,False,1
3,191,False,2
73,255,False,4
207,111,False,1
91,187,False,8
179,255,False,2
87,253,False,2
23,239,False,10
135,175,False,1
223,163,False,1
127,170,False,4
175,171,False,2
13,251,False,1
95,174,False,2
119,167,False,1
143,239,False,2
143,231,False,1
159,169,False,1
46,191,False,1
127,175,False,11
61,235,False,3
223,169,False,2
47,185,False,1
141,251,False,1
135,169,False,1
71,191,False,1
79,169,False,2
43,187,False,2
15,167,False,1
87,228,False,1
99,219,False,1
27,155,False,1
95,233,False,3
111,187,False,4
139,239,False,1
31,171,False,4
91,251,False,9
75,187,False,2
43,249,False,1
127,235,False,6
43,219,False,1
95,175,False,6
15,239,False,4
195,251,False,1
59,249,False,1
221,229,False,1
75,255,False,7
95,235,False,11
247,235,False,1
107,187,False,3
59,191,False,5
191,231,False,1
47,184,False,1
119,201,False,1
133,251,False,1
79,239,False,9
31,251,False,7
115,191,False,3
67,155,False,1
95,163,False,1
79,175,False,2
127,188,False,2
174,187,False,1
253,249,False,1
67,191,False,2
43,251,False,4
75,190,False,2
103,251,False,1
19,238,False,2
73,191,False,1
79,254,False,1
9,239,False,2
207,43,False,1
95,191,False,10
139,255,False,2
43,235,False,1
47,191,False,2
31,183,False,2
255,157,False,1
63,239,False,7
31,187,False,3
95,185,False,2
223,175,False,4
127,56,False,1
141,171,False,1
237,234,False,1
223,253,False,1
255,169,False,7
91,107,False,1
103,245,False,1
59,185,False,1
111,235,False,7
15,255,False,13
62,255,False,1
29,247,False,1
15,238,False,1
155,219,False,1
44,251,False,1
63,150,False,1
125,191,False,2
55,187,False,2
123,203,False,1
57,218,False,1
91,191,False,17
255,185,False,4
123,154,False,1
223,190,False,2
27,239,False,2
79,223,False,2
119,253,False,3
159,251,False,2
119,187,False,3
25,251,False,3
95,255,False,13
255,175,False,2
238,249,False,1
107,250,False,1
251,155,False,1
27,179,False,1
43,255,False,5
239,105,False,1
175,251,False,1
111,169,False,1
255,156,False,1
175,186,False,1
127,184,False,1
109,175,False,1
75,251,False,2
119,188,False,1
223,173,False,3
127,221,False,1
127,251,False,15
231,59,False,1
11,247,False,1
219,251,False,4
43,191,False,2
155,191,False,7
175,248,False,1
10,255,False,2
15,235,False,4
71,254,False,1
103,233,False,1
126,251,False,1
75,215,False,1
92,247,False,1
255,40,False,1
6,255,False,2
151,231,False,1
66,239,False,1
111,186,False,1
51,247,False,2
33,250,False,1
83,175,False,1
191,175,False,3
31,182,False,1
11,250,False,1
91,163,False,2
63,174,False,1
145,239,False,1
3,255,False,5
127,169,False,6
191,169,False,1
223,187,False,3
51,189,False,1
123,175,False,1
253,43,False,1
95,171,False,8
79,186,False,2
63,187,False,10
95,139,False,1
219,249,False,1
111,184,False,1
41,155,False,1
65,191,False,1
191,45,False,1
93,175,False,2
7,247,False,1
123,187,False,6
79,255,False,5
127,147,False,1
27,231,False,1
127,233,False,4
109,251,False,2
215,174,False,1
93,219,False,1
237,251,False,1
9,179,False,1
109,235,False,2
123,223,False,1
55,175,False,2
39,227,False,1
223,231,False,1
255,173,False,4
14,255,False,1
151,187,False,2
247,177,False,1
231,152,False,1
127,162,False,2
63,171,False,9
103,169,False,1
123,171,False,2
11,223,False,1
59,190,False,1
81,191,False,1
155,251,False,4
239,113,False,1
239,235,False,3
159,237,False,1
111,185,False,2
111,251,False,6
159,238,False,1
191,137,False,1
171,250,False,1
159,255,False,3
59,254,False,2
255,170,False,5
191,105,False,2
159,195,False,1
63,155,False,1
139,191,False,1
119,155,False,1
105,255,False,2
63,185,False,2
127,154,False,1
89,251,False,2
191,187,False,4
191,235,False,5
247,187,False,2
143,185,False,2
31,255,False,13
43,223,False,2
19,255,False,8
157,187,False,1
127,152,False,1
119,191,False,5
93,170,False,2
159,233,False,1
223,179,False,1
134,231,False,1
203,171,False,2
183,181,False,1
10,191,False,1
78,251,False,1
63,188,False,1
93,233,False,1
147,191,False,2
121,170,False,1
5,254,False,1
23,171,False,1
23,163,False,1
191,172,False,1
15,175,False,1
109,139,False,1
87,249,False,1
91,186,False,1
83,191,False,4
63,255,False,6
127,205,False,1
83,253,False,1
119,175,False,3
167,171,False,1
99,254,False,1
7,255,False,2
19,254,False,2
13,190,False,1
95,238,False,2
135,239,False,2
31,186,False,1
107,186,False,1
251,187,False,3
35,191,False,1
141,235,False,1
85,246,False,2
239,125,False,1
155,239,False,1
63,254,False,2
175,255,False,3
55,191,False,4
199,171,False,1
27,235,False,1
127,239,False,7
191,139,False,1
111,237,False,1
127,191,False,6
23,175,False,3
45,235,False,1
81,250,False,1
87,237,False,2
83,251,False,2
187,239,False,1
125,253,False,2
207,170,False,1
57,251,False,2
71,183,False,1
175,205,False,1
187,235,False,1
39,235,False,1
223,191,False,5
71,255,False,5
71,243,False,1
109,250,False,1
31,247,False,4
81,247,False,1
127,141,False,2
28,255,False,2
47,165,False,1
227,163,False,1
122,155,False,1
189,143,False,1
123,155,False,2
159,175,False,2
127,189,False,4
223,171,False,3
191,171,False,5
239,184,False,1
255,123,False,1
63,235,False,10
119,221,False,1
111,171,False,2
19,175,False,2
223,183,False,2
51,255,False,2
91,235,False,2
219,191,False,5
239,143,False,1
25,254,False,2
127,253,False,3
125,238,False,1
83,190,False,1
9,255,False,2
111,170,False,2
111,253,False,1
47,143,False,1
63,172,False,1
95,207,False,1
223,91,False,1
15,233,False,1
239,251,True,3
95,249,False,1
75,159,False,1
191,173,False,1
35,251,False,1
63,251,False,8
111,219,False,1
190,255,False,2
159,167,False,1
175,231,False,1
173,171,False,1
247,189,False,2
123,91,False,1
125,232,False,1
215,189,False,1
95,169,False,1
59,155,False,1
81,255,False,2
83,250,False,1
43,173,False,1
89,255,False,4
184,250,False,1
183,203,False,1
95,223,False,1
251,185,False,1
119,185,False,1
191,109,False,1
21,255,False,3
65,255,False,1
107,191,False,2
127,252,False,1
119,186,False,1
10,247,False,1
59,251,False,8
223,235,False,3
111,178,False,1
153,255,False,1
39,247,False,1
223,174,False,1
75,247,False,1
239,187,False,4
83,239,False,4
127,190,False,2
239,255,False,1
51,190,False,1
79,170,False,1
31,219,False,1
31,227,False,2
154,255,False,1
95,253,False,2
139,251,False,1
19,247,False,4
39,231,False,1
223,230,False,1
31,239,False,15
123,191,False,6
51,188,False,1
21,175,False,1
126,191,False,3
7,167,False,1
127,34,False,1
95,183,False,2
13,255,False,1
235,187,False,2
237,235,False,2
46,255,False,1
103,191,False,3
91,123,False,1
57,250,False,1
63,175,False,8
155,235,False,1
61,237,False,1
157,239,False,2
11,239,False,2
203,191,False,2
127,71,False,1
111,203,False,1
83,247,False,2
127,187,False,15
23,235,False,2
243,171,False,1
79,183,False,2
174,123,False,1
63,158,False,1
72,255,False,1
61,254,False,2
223,247,False,1
151,191,False,1
31,167,False,3
