n59989,cDW_2000Q,circuit8,gap1,graph6
Time,489180
a,b,valid,frequency
247,197,False,1
253,199,False,1
249,130,False,1
255,137,False,8
251,132,False,1
251,147,False,6
169,251,False,1
253,221,False,1
255,153,False,5
249,157,False,1
224,251,False,1
253,171,False,2
251,130,False,1
255,159,False,3
235,219,False,2
215,215,False,1
251,178,False,2
255,164,False,1
255,19,False,2
255,6,False,2
95,223,False,3
240,175,False,2
127,135,False,2
223,217,False,1
63,147,False,1
48,243,False,2
251,163,False,1
255,144,False,13
224,191,False,1
217,177,False,1
64,247,False,2
237,95,False,1
91,247,False,1
243,237,False,2
251,131,False,4
251,175,False,1
222,211,False,1
123,205,False,1
227,171,False,1
255,67,False,2
98,191,False,2
155,245,False,1
134,127,False,1
255,150,False,8
203,209,False,1
71,217,False,1
79,176,False,1
123,144,False,1
250,223,False,1
125,215,False,1
191,227,False,1
235,203,False,1
234,191,False,1
251,195,False,2
222,151,False,1
115,239,False,5
242,123,False,1
255,138,False,4
251,70,False,1
243,158,False,1
226,249,False,1
149,247,False,1
223,20,False,1
209,167,False,1
223,147,False,2
97,189,False,1
225,191,False,1
223,148,False,6
216,215,False,2
239,153,False,2
33,243,False,1
249,131,False,2
255,151,False,5
239,207,False,1
119,247,False,1
223,151,False,2
199,191,False,1
219,183,False,1
111,107,False,1
123,153,False,1
175,111,False,1
121,219,False,2
251,134,False,1
204,251,False,2
169,207,False,1
141,249,False,1
106,127,False,1
255,156,False,8
251,19,False,1
50,243,False,1
123,210,False,3
249,147,False,1
211,245,False,2
250,143,False,1
187,163,False,1
235,153,False,1
255,148,False,18
235,135,False,2
3,243,False,1
91,150,False,2
65,255,False,2
144,251,False,1
251,148,False,4
190,255,False,3
255,219,False,2
237,223,False,1
251,203,False,1
127,159,False,1
243,191,False,1
253,155,False,1
251,171,False,1
217,247,False,2
123,155,False,2
223,149,False,1
253,143,False,1
255,147,False,10
255,155,False,8
255,171,False,3
241,253,False,1
99,255,False,6
105,237,False,1
255,197,False,3
67,251,False,2
255,201,False,3
240,251,False,3
207,153,False,1
160,255,False,3
51,243,False,5
95,198,False,1
246,233,False,1
223,209,False,1
43,251,False,1
255,73,False,1
239,148,False,4
162,255,False,4
255,200,False,5
97,237,False,1
56,171,False,1
255,140,False,2
127,144,False,1
121,151,False,1
217,148,False,1
48,251,False,3
99,191,False,2
147,243,False,1
176,247,False,1
219,209,False,1
255,64,False,1
75,175,False,1
145,251,False,1
255,128,False,3
45,223,False,1
110,255,False,1
205,255,False,1
63,195,False,1
121,247,False,1
212,255,False,1
191,147,False,2
251,158,False,2
223,211,False,1
219,95,False,1
104,127,False,1
111,251,False,2
238,253,False,1
151,244,False,1
224,255,False,3
218,183,False,1
139,251,False,1
211,191,False,1
127,149,False,1
238,195,False,1
178,255,False,1
250,171,False,3
254,135,False,2
255,146,False,5
215,214,False,1
249,156,False,1
177,255,False,2
248,147,False,1
251,208,False,2
251,74,False,1
207,213,False,1
36,255,False,4
177,247,False,1
81,247,False,2
99,115,False,1
249,179,False,2
209,251,False,1
19,247,False,2
68,255,False,1
226,253,False,1
174,105,False,1
111,150,False,1
127,161,False,1
98,239,False,2
128,243,False,1
253,148,False,3
40,255,False,2
35,251,False,6
