n59989,cDW_2000Q+OneBit,circuit8,gap0.01,graph8
Time,
a,b,valid,frequency
253,233,False,1
233,221,False,1
249,251,False,1
255,217,False,4
237,203,False,1
207,155,False,3
137,221,False,1
169,221,False,1
147,101,False,1
231,235,False,3
209,115,False,1
239,195,False,3
255,171,False,3
221,255,False,1
203,251,False,4
211,213,False,1
255,69,False,4
223,129,False,1
191,109,False,1
197,247,False,1
209,215,False,1
255,233,False,3
65,191,False,12
155,231,False,1
75,255,False,6
201,247,False,5
245,199,False,1
255,65,False,11
65,255,False,21
137,251,False,6
221,149,False,1
175,147,False,1
223,139,False,1
101,251,False,1
245,91,False,1
229,217,False,2
11,121,False,1
235,189,False,1
193,219,False,1
83,191,False,6
191,139,False,1
137,247,False,4
171,221,False,2
201,249,False,1
255,163,False,3
255,175,False,1
233,255,False,6
237,157,False,1
209,251,False,4
129,127,False,1
243,225,False,1
89,255,False,12
175,237,False,2
189,185,False,1
185,243,False,1
249,151,False,1
239,65,False,2
247,217,False,1
153,223,False,2
227,85,False,1
239,83,False,1
89,191,False,13
129,255,False,8
239,161,False,2
161,239,False,3
199,253,False,1
255,169,False,14
237,251,False,1
251,151,False,1
225,223,False,2
217,255,False,5
97,255,False,2
249,243,False,2
231,153,False,1
173,161,False,1
45,251,False,1
255,83,False,1
209,167,False,1
237,137,False,1
243,203,False,1
181,171,False,1
229,195,False,1
217,151,False,1
237,235,False,4
185,219,False,1
229,233,False,1
251,235,False,1
203,247,False,1
239,137,False,11
73,255,False,35
235,149,False,1
167,217,False,1
137,223,False,2
235,255,False,2
217,251,False,1
193,255,False,11
241,247,False,1
197,223,False,1
115,69,False,1
255,223,False,1
239,75,False,4
255,113,False,3
173,207,False,2
239,139,False,9
91,239,False,3
239,69,False,1
229,75,False,1
235,41,False,1
169,235,False,1
253,199,False,2
175,201,False,3
47,201,False,1
239,217,False,3
251,149,False,1
121,237,False,1
239,233,False,1
221,245,False,1
225,187,False,1
201,207,False,1
47,73,False,1
203,191,False,5
227,189,False,1
249,253,False,1
99,227,False,1
207,243,False,1
201,187,False,5
235,191,False,1
199,155,False,1
251,67,False,1
155,221,False,1
239,129,False,6
201,215,False,2
255,187,False,1
239,171,False,4
223,239,False,1
229,219,False,2
239,143,False,3
255,193,False,5
217,165,False,1
251,99,False,2
191,105,False,2
89,189,False,3
123,47,False,1
153,251,False,4
165,251,False,1
201,191,False,3
219,181,False,2
161,255,False,5
217,119,False,1
33,251,False,2
201,119,False,1
133,255,False,2
201,127,False,3
201,255,False,17
237,173,False,1
153,255,False,10
191,107,False,2
145,255,False,3
163,239,False,1
207,181,False,1
175,85,False,1
81,255,False,11
239,203,False,6
169,213,False,1
249,103,False,1
73,251,False,7
231,159,False,3
223,191,False,2
239,169,False,3
249,117,False,3
137,255,False,11
199,223,False,2
199,93,False,1
237,79,False,1
225,95,False,2
249,255,False,2
191,65,False,1
255,75,False,5
139,253,False,1
65,247,False,2
25,189,False,1
225,255,False,5
9,125,False,1
193,251,False,4
191,197,False,1
81,191,False,9
69,239,False,1
81,183,False,1
161,207,False,1
193,191,False,3
137,175,False,1
165,255,False,1
237,153,False,1
237,91,False,1
89,143,False,1
249,101,False,1
231,93,False,1
249,81,False,1
207,251,False,3
115,111,False,1
175,233,False,3
153,127,False,6
203,255,False,3
239,155,False,2
255,137,False,5
251,65,False,1
95,179,False,1
203,253,False,1
255,173,False,2
167,203,False,1
207,187,False,1
255,161,False,6
167,205,False,1
177,191,False,1
233,235,False,1
73,191,False,23
239,219,False,1
227,219,False,1
219,119,False,1
85,187,False,1
183,185,False,1
1,191,False,8
239,153,False,2
247,67,False,1
251,199,False,1
191,37,False,1
9,255,False,23
201,223,False,6
73,189,False,1
175,203,False,1
217,247,False,3
129,191,False,2
217,215,False,2
243,65,False,1
177,249,False,1
255,139,False,4
239,93,False,2
219,157,False,1
233,187,False,1
175,235,False,1
233,251,False,3
223,229,False,2
129,239,False,2
229,193,False,1
225,207,False,3
89,111,False,1
255,225,False,2
141,255,False,1
217,57,False,1
237,193,False,1
255,97,False,6
91,191,False,3
211,123,False,1
239,97,False,5
79,125,False,1
203,127,False,2
231,203,False,3
215,167,False,2
235,243,False,2
185,127,False,2
239,201,False,2
167,189,False,1
219,227,False,1
245,201,False,1
137,187,False,1
133,187,False,1
215,9,False,1
139,255,False,3
229,235,False,2
139,191,False,2
197,251,False,1
223,123,False,1
223,141,False,2
113,63,False,1
233,219,False,1
239,159,False,1
91,201,False,1
95,175,False,1
201,239,False,2
219,127,False,2
153,191,False,3
203,119,False,2
141,191,False,1
239,41,False,1
223,133,False,1
223,97,False,1
225,191,False,2
189,75,False,1
223,113,False,1
169,187,False,2
235,215,False,1
137,127,False,5
153,63,False,1
171,131,False,1
161,247,False,1
197,187,False,3
251,97,False,1
193,187,False,1
95,143,False,1
175,83,False,1
129,251,False,1
219,215,False,1
213,99,False,1
229,171,False,1
203,179,False,1
237,123,False,2
251,101,False,3
65,251,False,6
253,89,False,1
253,147,False,1
175,107,False,1
239,193,False,4
255,221,False,1
135,173,False,1
187,87,False,1
235,233,False,2
107,255,False,1
237,161,False,1
239,107,False,4
199,179,False,1
195,223,False,2
239,173,False,4
163,235,False,1
89,223,False,2
199,235,False,2
105,253,False,1
233,239,False,1
193,159,False,1
203,111,False,1
187,111,False,1
235,219,False,1
239,179,False,1
255,229,False,1
47,95,False,1
253,165,False,1
113,239,False,1
219,237,False,1
199,255,False,2
193,155,False,1
255,81,False,3
137,191,False,4
227,75,False,1
255,105,False,6
191,119,False,1
235,251,False,2
185,215,False,1
201,99,False,1
195,255,False,5
231,201,False,1
209,191,False,5
255,73,False,11
91,175,False,2
25,127,False,3
229,241,False,1
9,191,False,4
165,253,False,1
209,183,False,1
17,215,False,1
153,119,False,1
121,127,False,2
161,223,False,2
247,79,False,1
231,75,False,2
1,255,False,13
239,105,False,6
187,133,False,1
237,181,False,1
201,91,False,1
233,247,False,1
191,73,False,1
209,253,False,1
241,103,False,1
209,125,False,1
77,187,False,2
241,231,False,1
239,163,False,2
73,123,False,2
157,253,False,1
169,239,False,2
189,101,False,1
147,55,False,1
219,221,False,1
115,251,False,1
185,199,False,1
175,229,False,2
83,175,False,1
17,255,False,2
255,145,False,1
75,191,False,5
223,165,False,1
211,47,False,1
233,147,False,1
83,255,False,2
233,227,False,1
105,235,False,1
211,153,False,1
147,223,False,1
129,219,False,1
167,227,False,1
253,65,False,1
217,125,False,2
237,155,False,2
255,121,False,1
73,223,False,2
137,239,False,1
65,239,False,2
153,125,False,1
217,147,False,1
239,89,False,4
199,187,False,1
229,251,False,3
221,253,False,1
73,55,False,1
27,69,False,1
193,223,False,4
239,73,False,9
145,127,False,2
239,187,False,4
251,69,False,2
239,123,False,3
89,125,False,1
235,61,False,1
105,207,False,1
105,255,False,3
105,239,False,6
101,143,False,1
191,19,False,1
145,251,False,1
227,143,False,1
73,127,False,6
1,31,False,1
101,239,False,1
233,99,False,1
157,127,False,1
235,117,False,1
227,255,False,4
239,255,False,1
171,215,False,1
139,251,False,3
151,251,False,2
171,255,False,4
217,187,False,2
241,217,False,1
35,235,False,1
89,127,False,3
131,235,False,1
47,143,False,1
65,189,False,1
143,255,False,1
