n59989,cDW_2000Q+OneBit,circuit8,gap1,graph9
Time,
a,b,valid,frequency
255,115,False,23
247,231,False,1
229,183,False,2
253,113,False,9
253,125,False,5
255,241,False,14
235,117,False,2
237,241,False,4
255,229,False,3
251,247,False,2
191,115,False,4
239,179,False,5
235,101,False,1
255,33,False,8
255,243,False,4
237,231,False,1
237,119,False,10
191,181,False,2
253,99,False,3
255,165,False,10
255,51,False,5
223,101,False,15
255,49,False,14
237,51,False,1
211,197,False,1
253,101,False,5
205,253,False,1
239,101,False,11
215,247,False,1
173,183,False,1
237,167,False,1
101,125,False,1
253,177,False,6
251,241,False,1
255,113,False,50
183,177,False,1
203,235,False,1
197,117,False,2
239,35,False,1
253,253,False,2
255,87,False,21
245,249,False,2
255,83,False,9
237,103,False,3
127,53,False,1
245,125,False,1
175,117,False,1
223,87,False,8
253,213,False,1
255,99,False,6
221,209,False,1
253,229,False,3
111,165,False,1
255,101,False,26
169,251,False,1
189,121,False,1
237,183,False,5
255,97,False,21
247,105,False,3
207,105,False,1
237,161,False,2
161,247,False,1
15,215,False,2
255,125,False,9
95,247,False,2
239,247,False,4
247,181,False,3
253,117,False,26
253,87,False,5
173,247,False,3
251,113,False,2
159,213,False,1
107,231,False,1
237,229,False,3
253,241,False,1
239,201,False,1
253,225,False,2
237,177,False,1
25,125,False,1
255,245,False,9
255,117,False,61
223,119,False,22
239,245,False,10
191,245,False,4
189,243,False,1
239,181,False,4
249,249,False,1
237,185,False,1
189,115,False,2
223,39,False,2
239,165,False,4
235,241,False,1
173,127,False,1
247,113,False,3
125,113,False,1
233,233,False,1
237,233,False,1
239,147,False,3
255,85,False,31
239,113,False,8
255,209,False,6
191,241,False,3
255,67,False,3
111,225,False,1
239,97,False,7
207,109,False,6
237,113,False,4
207,101,False,6
173,115,False,1
245,193,False,1
189,241,False,1
203,237,False,1
239,119,False,16
223,231,False,3
223,115,False,5
239,117,False,22
221,245,False,2
91,111,False,1
253,77,False,1
253,97,False,2
237,213,False,1
239,99,False,6
237,165,False,1
255,69,False,10
235,213,False,1
109,247,False,2
215,85,False,1
239,39,False,1
189,113,False,1
167,117,False,1
223,85,False,8
239,53,False,2
255,177,False,7
127,97,False,3
103,189,False,1
221,101,False,3
223,69,False,4
237,101,False,2
79,237,False,2
239,37,False,3
247,49,False,2
191,243,False,3
239,103,False,5
175,245,False,1
223,117,False,16
127,183,False,1
253,173,False,1
255,45,False,2
237,117,False,4
255,197,False,3
175,119,False,2
239,227,False,2
95,119,False,11
109,245,False,2
77,247,False,1
239,229,False,2
237,115,False,3
221,179,False,1
253,85,False,2
223,83,False,3
223,203,False,1
237,105,False,2
247,81,False,2
239,177,False,1
173,251,False,2
235,169,False,1
255,81,False,26
203,109,False,2
207,103,False,6
189,85,False,1
109,149,False,1
127,101,False,2
255,207,False,1
255,103,False,8
127,119,False,10
255,151,False,2
253,247,False,4
223,199,False,2
253,127,False,5
159,247,False,1
255,215,False,3
221,123,False,1
255,61,False,3
255,227,False,2
191,119,False,4
221,229,False,1
221,119,False,6
223,237,False,2
239,127,False,3
239,167,False,2
239,105,False,1
215,245,False,3
237,173,False,1
253,233,False,3
207,231,False,2
239,51,False,1
255,131,False,1
237,53,False,1
191,85,False,2
231,103,False,1
77,239,False,2
205,119,False,2
173,101,False,1
237,81,False,1
237,193,False,1
255,119,False,25
223,127,False,7
223,253,False,2
253,115,False,7
95,171,False,2
239,215,False,2
255,181,False,5
247,117,False,9
231,117,False,1
253,231,False,1
253,149,False,1
111,111,False,1
77,191,False,2
191,121,False,2
207,247,False,7
143,119,False,5
125,151,False,1
207,117,False,4
237,245,False,1
223,125,False,2
251,101,False,1
255,53,False,12
245,95,False,1
253,163,False,1
255,149,False,8
31,151,False,1
247,69,False,1
207,99,False,1
207,135,False,1
251,81,False,1
253,33,False,3
175,101,False,2
253,81,False,3
111,167,False,1
213,117,False,2
237,33,False,1
223,97,False,2
207,113,False,1
223,113,False,1
213,87,False,1
255,5,False,2
67,87,False,1
253,189,False,2
191,125,False,4
253,119,False,12
207,119,False,14
223,111,False,4
253,123,False,3
197,255,False,1
231,119,False,2
245,245,False,1
221,125,False,4
93,125,False,1
125,119,False,3
199,119,False,3
223,103,False,5
255,225,False,7
111,117,False,5
207,237,False,2
239,241,False,3
255,71,False,3
143,255,False,2
239,69,False,1
151,247,False,1
111,119,False,6
53,123,False,1
253,187,False,1
239,163,False,3
111,181,False,2
175,115,False,2
