n59989,cDW_2000Q_6+knownBit,circuit8,gap0.01,graph7
Time,
a,b,valid,frequency
193,241,False,1
243,247,False,2
215,227,False,2
183,237,False,1
145,249,False,1
185,249,False,4
239,163,False,2
235,255,False,7
147,255,False,3
243,251,False,3
155,249,False,3
225,255,False,4
235,243,False,18
229,161,False,1
255,197,False,3
211,251,False,5
227,167,False,1
255,251,False,1
229,233,False,1
165,249,False,3
145,213,False,1
171,245,False,5
229,217,False,1
171,185,False,2
161,237,False,1
235,249,False,11
227,237,False,2
251,241,False,10
225,249,False,4
237,221,False,2
175,209,False,1
185,241,False,4
191,225,False,4
239,193,False,2
243,185,False,2
241,243,False,1
239,241,False,3
161,251,False,4
179,175,False,1
167,235,False,6
255,237,False,1
191,191,False,1
239,235,False,7
163,241,False,2
229,249,False,1
223,173,False,1
181,233,False,3
231,185,False,2
179,225,False,3
169,253,False,2
217,239,False,1
231,227,False,2
231,201,False,2
231,171,False,2
175,217,False,3
231,237,False,2
231,221,False,1
235,251,False,8
239,213,False,1
239,243,False,5
171,235,False,3
179,183,False,3
201,243,False,1
167,251,False,9
169,249,False,5
231,233,False,7
243,187,False,7
131,243,False,1
227,247,False,6
189,155,False,1
167,169,False,1
155,217,False,2
173,225,False,1
245,229,False,1
245,175,False,2
179,179,False,2
169,213,False,1
237,241,False,1
135,253,False,1
231,239,False,7
169,229,False,1
249,177,False,2
253,225,False,1
175,171,False,3
171,251,False,14
251,191,False,2
161,255,False,1
231,235,False,8
243,235,False,4
225,251,False,3
227,179,False,2
183,235,False,8
239,165,False,2
231,251,False,12
235,227,False,3
225,239,False,2
161,249,False,5
235,247,False,10
179,191,False,3
247,173,False,4
195,239,False,1
169,255,False,5
221,205,False,1
203,225,False,2
185,181,False,1
227,205,False,1
233,251,False,3
243,255,False,4
243,237,False,1
235,213,False,1
191,139,False,1
203,243,False,5
239,231,False,4
187,163,False,1
227,183,False,2
249,183,False,1
169,189,False,1
153,241,False,1
255,145,False,5
239,145,False,1
227,177,False,1
169,187,False,2
241,191,False,2
191,233,False,2
229,175,False,3
167,239,False,5
151,219,False,2
171,255,False,10
203,241,False,5
247,167,False,3
227,251,False,15
179,241,False,1
179,251,False,17
247,235,False,7
235,245,False,18
211,235,False,1
219,247,False,4
167,179,False,1
167,219,False,4
163,231,False,1
247,175,False,8
163,251,False,15
207,205,False,1
223,161,False,1
193,251,False,1
251,215,False,2
225,187,False,1
183,175,False,3
255,209,False,3
219,249,False,4
239,197,False,1
139,225,False,1
177,253,False,3
181,251,False,3
171,249,False,21
233,243,False,3
167,225,False,1
243,175,False,3
239,221,False,2
239,225,False,9
179,253,False,2
179,243,False,5
229,235,False,3
187,177,False,4
239,237,False,2
177,221,False,1
231,163,False,4
169,227,False,1
147,241,False,3
239,167,False,2
241,177,False,1
235,231,False,2
243,179,False,2
243,177,False,1
179,249,False,8
239,211,False,2
223,233,False,1
205,249,False,1
147,247,False,1
239,249,False,7
173,169,False,1
249,241,False,1
183,171,False,3
249,247,False,2
175,249,False,8
227,235,False,3
237,253,False,3
231,173,False,3
203,245,False,3
247,129,False,1
249,209,False,1
213,247,False,1
219,251,False,2
183,251,False,4
227,243,False,5
251,217,False,2
187,249,False,8
163,249,False,11
187,251,False,7
251,251,False,2
239,245,False,2
231,225,False,1
239,189,False,2
175,219,False,4
251,201,False,1
247,251,False,2
201,249,False,3
207,225,False,2
249,189,False,1
163,255,False,6
187,241,False,8
171,189,False,1
243,241,False,2
183,245,False,1
231,203,False,3
227,219,False,2
215,217,False,1
235,179,False,5
179,185,False,3
251,231,False,2
241,185,False,2
247,143,False,2
241,255,False,6
185,233,False,1
195,251,False,4
255,233,False,1
233,253,False,4
173,251,False,3
179,255,False,5
171,243,False,8
191,165,False,1
217,229,False,1
237,239,False,1
225,169,False,1
239,233,False,4
137,231,False,1
251,189,False,3
227,171,False,1
251,179,False,4
173,233,False,1
189,245,False,3
161,185,False,1
245,173,False,3
229,141,False,1
211,249,False,3
239,205,False,2
175,247,False,2
177,251,False,3
175,251,False,7
227,249,False,6
235,241,False,11
255,171,False,2
169,243,False,2
235,229,False,4
231,229,False,2
141,245,False,1
253,213,False,1
239,251,True,2
255,179,False,3
239,203,False,2
191,229,False,1
211,183,False,1
191,241,False,2
197,235,False,2
251,171,False,1
243,163,False,1
231,139,False,4
227,163,False,1
153,245,False,2
251,177,False,9
247,209,False,1
187,227,False,1
179,199,False,1
223,213,False,4
239,247,False,6
163,225,False,1
219,199,False,1
133,249,False,1
139,249,False,3
191,171,False,3
191,147,False,1
243,171,False,2
191,177,False,2
251,245,False,9
229,153,False,1
229,225,False,1
185,213,False,1
185,215,False,1
211,233,False,1
153,253,False,2
239,179,False,3
247,171,False,8
175,161,False,1
187,245,False,10
153,221,False,1
249,255,False,1
239,227,False,3
225,179,False,3
169,241,False,3
233,241,False,3
233,235,False,1
229,237,False,1
191,153,False,2
173,249,False,3
247,205,False,2
231,161,False,2
199,251,False,1
235,233,False,2
187,217,False,2
147,249,False,7
235,211,False,2
219,177,False,2
239,215,False,5
203,247,False,2
203,249,False,6
167,199,False,1
223,245,False,3
185,245,False,3
139,177,False,1
219,215,False,1
235,183,False,2
253,159,False,1
217,247,False,3
239,219,False,1
247,187,False,4
227,239,False,3
233,189,False,1
191,133,False,1
251,183,False,3
139,255,False,2
227,227,False,4
219,245,False,10
247,237,False,2
251,223,False,1
165,235,False,3
167,227,False,2
171,241,False,13
179,163,False,1
211,191,False,1
235,189,False,2
231,169,False,1
223,229,False,1
177,247,False,2
255,165,False,3
173,195,False,2
189,185,False,1
237,235,False,1
253,181,False,3
255,137,False,3
191,173,False,3
175,241,False,9
211,253,False,4
245,205,False,2
183,201,False,1
227,255,False,8
179,235,False,3
195,255,False,1
187,243,False,6
251,187,False,1
239,153,False,4
255,187,False,2
247,243,False,2
175,233,False,4
171,247,False,10
183,233,False,3
241,237,False,2
143,249,False,6
171,187,False,1
163,171,False,1
171,225,False,1
247,197,False,1
247,249,False,4
175,245,False,5
179,181,False,2
187,181,False,3
251,149,False,4
231,231,False,1
243,211,False,1
179,233,False,2
169,245,False,3
247,139,False,2
247,165,False,3
175,195,False,1
211,247,False,2
167,175,False,1
245,143,False,1
225,243,False,1
203,185,False,1
207,251,False,1
251,165,False,1
143,239,False,1
251,197,False,1
255,213,False,4
255,129,False,2
207,245,False,2
239,161,False,2
205,245,False,1
237,217,False,1
229,183,False,1
255,149,False,4
255,177,False,3
179,223,False,2
253,249,False,2
235,145,False,1
161,239,False,1
239,177,False,3
205,199,False,1
255,185,False,6
173,243,False,1
247,217,False,2
255,133,False,3
177,241,False,1
181,243,False,1
151,251,False,2
211,237,False,2
167,167,False,1
255,229,False,8
231,165,False,1
225,203,False,1
167,233,False,1
245,233,False,1
233,255,False,4
173,253,False,1
181,249,False,1
255,189,False,2
195,179,False,1
179,187,False,4
171,253,False,6
219,241,False,7
255,241,False,2
221,213,False,1
195,235,False,1
175,235,False,3
243,169,False,1
247,219,False,1
239,185,False,2
227,187,False,5
243,239,False,2
235,253,False,2
175,253,False,2
243,157,False,2
255,203,False,1
253,165,False,1
183,203,False,2
163,239,False,1
249,251,False,1
165,255,False,2
131,251,False,1
211,241,False,2
235,159,False,1
183,185,False,5
147,253,False,1
247,149,False,1
237,251,False,1
239,255,False,4
237,229,False,1
175,177,False,1
251,213,False,3
203,195,False,1
187,255,False,6
255,169,False,4
207,241,False,4
163,235,False,1
237,255,False,2
173,201,False,1
187,223,False,2
247,191,False,1
249,179,False,1
187,179,False,3
183,179,False,1
181,237,False,1
211,187,False,1
205,241,False,1
179,219,False,1
251,131,False,1
247,189,False,2
189,179,False,1
169,251,False,4
255,181,False,5
249,245,False,6
163,243,False,1
249,253,False,3
195,191,False,1
237,165,False,1
187,253,False,7
253,173,False,1
249,221,False,1
153,243,False,1
179,147,False,1
231,243,False,1
223,165,False,4
163,187,False,3
245,189,False,1
175,133,False,1
203,231,False,1
219,253,False,3
249,205,False,1
165,169,False,1
239,171,False,1
173,241,False,2
251,145,False,2
171,217,False,3
247,177,False,2
255,205,False,3
139,241,False,4
239,149,False,2
189,149,False,1
251,253,False,2
171,211,False,1
191,227,False,1
207,231,False,2
253,197,False,1
255,147,False,3
171,227,False,1
247,133,False,2
191,181,False,4
251,181,False,3
227,191,False,2
139,245,False,1
195,243,False,1
243,229,False,1
163,247,False,2
227,217,False,1
177,235,False,2
239,187,False,2
183,155,False,1
251,243,False,4
175,215,False,2
229,253,False,1
201,251,False,2
239,239,False,3
175,205,False,1
167,137,False,1
199,171,False,1
251,247,False,7
187,173,False,1
171,151,False,1
235,209,False,3
185,185,False,1
169,247,False,1
185,253,False,2
185,197,False,1
255,183,False,2
247,225,False,1
247,169,False,2
255,199,False,2
235,165,False,1
171,239,False,1
219,157,False,1
135,155,False,1
203,177,False,1
189,189,False,2
171,209,False,3
209,249,False,3
219,213,False,4
215,185,False,1
163,253,False,3
185,189,False,1
255,153,False,4
223,225,False,1
201,245,False,1
237,175,False,1
237,233,False,1
245,155,False,1
173,245,False,1
191,253,False,4
243,223,False,3
191,201,False,1
239,217,False,1
177,185,False,1
211,229,False,1
227,229,False,1
235,181,False,2
155,255,False,1
183,163,False,1
215,249,False,1
175,187,False,1
239,181,False,3
189,209,False,1
183,187,False,2
189,249,False,1
159,185,False,1
161,235,False,1
235,187,False,1
223,135,False,1
175,255,False,1
187,221,False,2
171,203,False,1
235,215,False,2
191,199,False,1
227,233,False,2
187,211,False,1
237,189,False,1
251,151,False,1
223,207,False,1
239,201,False,2
167,187,False,1
247,157,False,1
185,203,False,1
233,247,False,2
147,251,False,2
235,177,False,3
247,233,False,3
241,225,False,1
231,187,False,3
247,239,False,1
195,247,False,1
129,251,False,1
139,187,False,1
179,177,False,1
235,163,False,1
171,179,False,4
203,253,False,1
155,245,False,1
217,223,False,1
175,221,False,1
223,241,False,2
131,249,False,2
231,191,False,1
251,133,False,1
255,235,False,1
155,215,False,1
187,229,False,2
167,243,False,3
251,227,False,1
223,253,False,1
199,165,False,1
155,221,False,1
233,229,False,1
223,159,False,1
251,175,False,1
207,249,False,1
183,219,False,1
231,255,False,1
223,197,False,1
219,181,False,1
221,221,False,1
251,255,False,2
239,253,False,2
195,175,False,1
159,209,False,2
255,249,False,2
213,165,False,1
223,209,False,1
255,225,False,1
249,231,False,1
229,251,False,2
187,209,False,2
161,253,False,2
233,213,False,1
175,239,False,1
239,229,False,3
219,243,False,2
183,249,False,3
223,193,False,1
235,239,False,1
251,199,False,1
155,169,False,1
177,249,False,2
231,155,False,1
139,253,False,1
183,153,False,2
191,129,False,2
175,167,False,1
245,159,False,1
141,255,False,1
223,167,False,1
219,255,False,2
247,255,False,1
165,223,False,1
243,189,False,1
167,253,False,2
171,181,False,1
241,251,False,2
255,167,False,3
225,185,False,1
245,187,False,2
237,249,False,1
247,131,False,1
207,255,False,1
191,187,False,2
209,247,False,1
175,173,False,1
187,185,False,2
189,193,False,1
201,239,False,1
163,219,False,3
189,219,False,1
229,173,False,1
239,183,False,2
243,191,False,3
167,249,False,2
199,225,False,1
217,245,False,1
215,169,False,1
221,223,False,1
239,173,False,1
137,255,False,1
131,241,False,1
185,255,False,2
235,167,False,1
223,177,False,1
219,187,False,1
187,215,False,1
179,227,False,1
139,251,False,1
225,175,False,1
223,151,False,1
235,185,False,1
199,235,False,1
201,247,False,2
235,173,False,1
179,239,False,1
167,185,False,1
229,171,False,1
159,183,False,1
155,241,False,4
171,177,False,2
223,191,False,1
239,223,False,1
191,145,False,1
189,237,False,1
195,187,False,1
251,185,False,1
255,227,False,1
247,141,False,2
207,157,False,1
245,141,False,1
229,189,False,1
239,133,False,1
171,229,False,3
175,189,False,1
255,155,False,1
183,255,False,3
167,255,False,1
183,239,False,1
243,243,False,1
183,247,False,2
207,253,False,1
227,189,False,1
189,187,False,1
169,239,False,1
255,255,False,1
239,209,False,1
251,249,False,1
243,233,False,2
211,245,False,1
255,217,False,3
199,237,False,1
191,163,False,2
253,253,False,1
247,203,False,1
167,155,False,1
233,239,False,1
191,193,False,1
175,231,False,1
143,245,False,1
231,219,False,2
159,221,False,1
245,171,False,1
221,215,False,1
171,231,False,1
183,173,False,2
255,245,False,4
175,181,False,1
249,161,False,1
191,137,False,1
229,231,False,1
137,233,False,1
227,253,False,1
235,217,False,1
173,255,False,1
241,169,False,1
191,213,False,3
229,185,False,1
235,191,False,1
139,243,False,1
215,187,False,1
221,219,False,1
155,183,False,1
243,249,False,3
207,161,False,1
209,245,False,1
191,151,False,1
253,231,False,1
251,229,False,1
233,185,False,1
231,209,False,1
139,227,False,1
151,249,False,1
239,191,False,2
199,177,False,1
247,247,False,1
167,153,False,1
165,217,False,1
247,161,False,1
183,253,False,1
191,189,False,1
229,255,False,1
151,217,False,1
147,219,False,1
185,187,False,1
255,201,False,1
173,161,False,1
249,147,False,1
191,217,False,1
159,157,False,1
235,175,False,1
165,251,False,2
191,157,False,3
223,147,False,1
251,173,False,1
243,227,False,1
175,169,False,2
237,219,False,1
151,173,False,1
181,241,False,1
255,215,False,1
175,193,False,1
227,185,False,1
223,243,False,1
191,245,False,2
173,235,False,1
231,179,False,2
245,245,False,1
143,227,False,1
255,211,False,1
243,245,False,2
207,129,False,1
225,241,False,1
187,247,False,3
159,169,False,1
243,159,False,1
189,235,False,1
167,231,False,1
219,149,False,1
223,183,False,1
191,255,False,2
147,235,False,1
255,253,False,3
255,239,False,2
155,251,False,1
195,211,False,1
255,159,False,1
183,241,False,1
143,255,False,1
253,237,False,1
139,237,False,1
255,173,False,1
159,229,False,1
137,245,False,1
149,255,False,1
207,229,False,1
179,189,False,2
215,231,False,1
205,227,False,1
155,243,False,1
177,255,False,1
167,191,False,1
191,197,False,1
229,223,False,1
247,195,False,1
253,189,False,1
129,249,False,1
221,253,False,1
255,151,False,1
207,243,False,1
255,221,False,2
247,185,False,1
255,207,False,1
253,215,False,1
255,219,False,1
141,251,False,1
191,219,False,1
191,169,False,1
207,217,False,1
247,245,False,1
189,239,False,1
227,245,False,1
223,179,False,1
179,247,False,2
247,183,False,1
181,255,False,1
217,185,False,1
223,211,False,1
149,251,False,1
233,171,False,1
201,253,False,1
163,215,False,1
153,213,False,1
175,243,False,1
191,221,False,1
207,213,False,1
203,255,False,1
191,211,False,1
247,253,False,1
173,221,False,1
253,255,False,1
217,255,False,1
175,163,False,1
255,141,False,1
227,241,False,1
211,255,False,1
191,149,False,1
153,251,False,1
191,143,False,1
159,243,False,1
211,167,False,1
217,253,False,1
181,253,False,1
247,151,False,1
243,173,False,1
219,229,False,1
175,157,False,1
251,203,False,1
