n59989,clocal+knownBit,circuit8,gap0.01,graph9
Time,
a,b,valid,frequency
243,247,False,2
247,243,False,1
239,251,True,4
251,239,True,3
203,255,False,4
255,235,False,1
175,255,False,2
255,175,False,2
241,251,False,1
231,255,False,4
255,173,False,4
247,239,False,3
235,255,False,4
255,219,False,2
239,187,False,2
253,237,False,1
171,231,False,1
177,245,False,2
249,253,False,2
251,237,False,3
207,251,False,1
223,191,False,5
235,251,False,7
223,253,False,2
163,255,False,4
223,251,False,1
239,221,False,3
247,227,False,1
253,229,False,2
251,191,False,4
243,245,False,5
247,251,False,2
231,223,False,3
219,239,False,5
235,191,False,3
235,239,False,3
251,241,False,1
143,251,False,1
245,253,False,3
171,255,False,7
245,247,False,2
233,253,False,3
231,251,False,2
237,245,False,4
249,239,False,2
241,247,False,1
225,247,False,1
255,163,False,2
239,219,False,1
237,253,False,4
245,249,False,2
241,241,False,1
253,205,False,1
229,235,False,1
237,169,False,1
247,161,False,1
213,193,False,1
239,249,False,4
239,253,False,7
191,255,False,3
239,255,False,3
207,255,False,5
255,191,False,2
159,223,False,2
247,179,False,3
179,239,False,3
219,255,False,6
251,251,False,2
231,247,False,2
231,181,False,2
203,217,False,2
253,239,False,4
227,247,False,1
247,219,False,2
239,235,False,3
251,235,False,1
183,247,False,3
227,183,False,2
175,243,False,3
155,215,False,1
235,243,False,2
241,243,False,1
253,251,False,2
155,255,False,8
189,207,False,1
245,255,False,4
231,171,False,2
237,255,False,4
143,253,False,1
255,223,False,2
255,187,False,4
219,233,False,1
243,239,False,4
219,251,False,2
243,251,False,1
203,223,False,4
203,247,False,2
163,247,False,2
227,243,False,3
255,185,False,3
205,223,False,3
213,253,False,2
255,167,False,1
251,173,False,3
239,185,False,1
191,247,False,2
255,159,False,4
247,147,False,2
253,175,False,2
229,221,False,1
247,233,False,2
247,143,False,5
221,249,False,3
177,221,False,1
245,251,False,3
191,219,False,3
145,245,False,1
245,185,False,3
205,249,False,2
177,247,False,1
251,159,False,2
207,243,False,1
207,245,False,1
233,173,False,1
165,241,False,1
185,189,False,3
153,229,False,1
153,253,False,2
241,255,False,3
169,255,False,2
253,249,False,1
243,163,False,2
243,205,False,1
245,193,False,1
157,245,False,1
255,177,False,2
201,229,False,1
185,239,False,3
181,243,False,1
221,181,False,1
245,213,False,1
237,233,False,1
