n59989,clocal+knownBit,circuit8,gap2,graph7
Time,
a,b,valid,frequency
239,251,True,5
243,247,False,6
251,239,True,8
245,245,False,7
239,255,False,4
247,247,False,4
191,239,False,2
247,243,False,7
251,237,False,2
251,235,False,4
249,253,False,5
221,253,False,2
255,233,False,2
239,187,False,1
207,251,False,3
227,255,False,8
241,253,False,3
241,251,False,4
239,217,False,2
211,247,False,3
217,221,False,4
215,241,False,3
225,245,False,5
241,181,False,2
247,251,False,6
223,253,False,5
255,237,False,2
207,255,False,5
239,243,False,5
253,237,False,2
253,221,False,2
247,175,False,5
237,253,False,4
223,235,False,3
191,219,False,2
249,245,False,5
175,249,False,2
215,235,False,7
249,249,False,1
245,237,False,4
253,233,False,2
253,241,False,4
231,243,False,1
215,243,False,4
205,253,False,4
229,253,False,5
227,247,False,5
219,219,False,5
255,195,False,1
247,179,False,3
169,255,False,2
233,249,False,2
237,211,False,1
183,211,False,2
237,217,False,3
209,253,False,3
205,217,False,2
245,209,False,2
215,165,False,1
209,227,False,1
193,221,False,1
193,205,False,1
255,255,False,4
255,247,False,4
255,223,False,2
247,255,False,10
255,239,False,4
255,191,False,4
255,219,False,1
219,255,False,11
251,247,False,5
239,253,False,2
255,231,False,4
235,255,False,8
243,255,False,12
223,239,False,3
255,243,False,1
223,249,False,2
235,251,False,5
243,251,False,3
247,245,False,4
249,247,False,1
243,239,False,3
249,251,False,2
235,239,False,8
175,191,False,2
255,229,False,1
251,183,False,4
223,219,False,4
251,207,False,1
243,253,False,4
255,179,False,2
241,255,False,4
179,255,False,10
155,255,False,8
233,255,False,4
227,251,False,5
243,249,False,4
217,253,False,4
227,253,False,1
243,237,False,3
245,249,False,5
249,237,False,5
235,159,False,1
231,187,False,2
231,231,False,2
189,249,False,1
243,235,False,5
211,251,False,3
229,247,False,3
163,255,False,3
221,249,False,5
219,207,False,1
255,177,False,1
201,255,False,3
235,185,False,1
241,237,False,1
245,241,False,4
207,211,False,1
205,249,False,3
213,237,False,4
169,251,False,3
237,241,False,2
243,211,False,2
243,171,False,1
237,233,False,3
241,221,False,2
233,221,False,1
181,249,False,1
