n59989,clocal,circuit8,gap0.1,graph8
Time,
a,b,valid,frequency
171,255,False,5
247,243,False,2
253,237,False,1
249,245,False,1
255,251,False,1
255,219,False,2
237,255,False,4
235,255,False,4
255,155,False,2
255,171,False,2
251,243,False,2
249,253,False,1
243,247,False,7
247,245,False,1
173,255,False,4
237,245,False,1
253,225,False,2
255,235,False,2
255,237,False,1
191,223,False,1
251,239,True,2
255,203,False,1
251,235,False,3
251,215,False,2
237,253,False,2
239,235,False,2
235,239,False,6
223,203,False,1
235,223,False,4
237,251,False,1
245,251,False,1
203,255,False,5
251,245,False,2
255,167,False,1
233,237,False,1
253,233,False,3
247,219,False,3
243,215,False,3
229,253,False,3
175,247,False,3
241,253,False,2
215,207,False,2
203,223,False,2
219,233,False,1
231,181,False,1
183,243,False,1
235,185,False,3
245,241,False,1
227,219,False,2
249,233,False,1
247,241,False,2
189,233,False,1
169,237,False,1
171,207,False,2
255,247,False,3
255,223,False,1
251,255,False,2
231,255,False,6
255,215,False,2
251,223,False,1
247,247,False,2
191,237,False,1
207,255,False,3
251,191,False,1
249,235,False,1
249,239,False,2
245,231,False,1
219,255,False,4
245,207,False,3
237,235,False,2
185,255,False,2
239,187,False,1
249,223,False,1
189,187,False,1
215,251,False,4
227,255,False,3
243,175,False,3
219,235,False,3
211,247,False,2
187,191,False,5
243,251,False,2
179,239,False,2
237,249,False,2
239,157,False,1
219,219,False,2
221,181,False,1
213,239,False,2
215,243,False,1
155,255,False,2
253,241,False,1
239,233,False,2
235,215,False,2
241,237,False,1
207,215,False,1
229,247,False,1
247,147,False,1
225,255,False,4
215,203,False,1
245,245,False,2
233,252,False,1
187,207,False,1
217,239,False,2
243,249,False,1
251,201,False,1
125,217,False,2
244,237,False,1
175,203,False,1
253,201,False,1
237,217,False,2
245,155,False,1
205,249,False,1
173,249,False,1
237,201,False,1
229,245,False,1
151,231,False,1
255,201,False,2
245,209,False,2
227,241,False,1
181,245,False,2
229,181,False,4
197,247,False,1
229,235,False,1
169,255,False,4
249,143,False,1
255,153,False,2
201,221,False,1
181,213,False,1
221,235,False,4
229,217,False,1
243,225,False,1
213,167,False,1
199,187,False,1
211,167,False,1
201,229,False,1
223,201,False,1
199,199,False,1
181,225,False,1
213,187,False,1
197,241,False,1
213,225,False,1
179,199,False,1
209,189,False,1
131,255,False,1
