n59989,clocal,circuit8,gap1,graph6
Time,
a,b,valid,frequency
255,203,False,5
233,253,False,1
203,255,False,7
251,255,False,3
251,235,False,1
239,253,False,2
249,253,False,1
235,255,False,5
231,255,False,3
251,237,False,1
255,169,False,1
243,247,False,2
173,255,False,6
171,255,False,3
221,217,False,3
207,251,False,3
243,231,False,2
173,249,False,1
231,227,False,2
245,177,False,2
219,199,False,2
255,237,False,1
251,239,True,1
223,251,False,5
249,239,False,4
253,249,False,2
255,179,False,3
255,233,False,1
233,255,False,2
243,175,False,2
253,227,False,1
245,249,False,2
211,247,False,4
175,243,False,1
245,213,False,2
241,181,False,1
221,233,False,1
247,177,False,1
245,201,False,2
245,225,False,1
195,223,False,1
197,221,False,1
255,235,False,2
253,239,False,4
255,215,False,1
223,253,False,1
253,243,False,1
255,231,False,1
239,247,False,1
223,219,False,2
251,223,False,3
191,175,False,2
253,207,False,1
255,175,False,3
183,255,False,2
247,183,False,2
239,175,False,3
247,187,False,2
255,181,False,1
235,247,False,1
247,219,False,1
207,255,False,3
219,191,False,4
238,253,False,1
249,221,False,1
189,249,False,3
235,235,False,5
238,251,False,1
251,215,False,3
219,247,False,3
215,243,False,3
221,253,False,6
219,223,False,3
235,231,False,2
255,217,False,1
243,239,False,2
185,255,False,1
219,175,False,2
239,215,False,1
227,255,False,3
235,243,False,2
215,251,False,1
255,185,False,1
229,253,False,2
245,241,False,1
239,221,False,2
249,249,False,1
255,177,False,1
247,139,False,1
183,235,False,3
207,207,False,1
243,221,False,2
243,207,False,4
213,253,False,6
243,171,False,1
237,219,False,2
175,239,False,2
201,251,False,1
187,239,False,3
155,255,False,4
159,235,False,2
231,181,False,2
235,217,False,1
249,233,False,1
231,241,False,1
255,137,False,1
203,215,False,2
247,147,False,1
241,245,False,1
227,243,False,1
207,219,False,3
203,247,False,2
225,243,False,1
237,177,False,1
211,231,False,1
253,209,False,1
199,179,False,1
237,197,False,1
195,247,False,1
199,219,False,1
179,239,False,1
207,241,False,1
249,209,False,1
139,255,False,4
171,249,False,2
231,225,False,2
155,227,False,1
131,255,False,3
231,163,False,1
203,217,False,1
201,205,False,1
195,203,False,1
133,209,False,1
255,255,False,3
223,239,False,3
249,255,False,1
255,252,False,1
246,251,False,1
191,223,False,1
237,247,False,5
231,239,False,2
217,255,False,5
219,251,False,3
191,235,False,1
254,221,False,1
247,235,False,3
220,255,False,1
237,255,False,3
253,175,False,1
251,221,False,1
247,175,False,1
255,107,False,1
237,253,False,1
223,183,False,2
251,175,False,3
175,251,False,2
247,215,False,3
253,179,False,1
245,247,False,3
249,247,False,1
189,207,False,1
233,247,False,1
191,215,False,2
223,245,False,1
253,233,False,1
245,245,False,2
239,252,False,1
249,237,False,3
229,255,False,4
249,217,False,1
245,217,False,2
219,239,False,2
205,247,False,4
255,173,False,3
231,247,False,4
221,245,False,2
207,253,False,2
241,239,False,1
235,223,False,2
245,219,False,2
239,227,False,1
223,187,False,1
219,235,False,2
230,223,False,1
159,251,False,1
231,231,False,1
215,235,False,5
243,253,False,2
231,219,False,2
181,239,False,1
221,249,False,1
205,253,False,1
247,249,False,1
255,225,False,1
237,241,False,1
231,251,False,1
239,203,False,1
187,219,False,3
233,251,False,1
207,249,False,1
255,139,False,1
179,175,False,1
217,219,False,1
173,223,False,2
247,217,False,1
185,239,False,1
225,251,False,1
201,255,False,1
239,139,False,3
227,251,False,1
229,245,False,1
219,159,False,1
237,244,False,1
235,181,False,2
175,203,False,1
241,243,False,1
231,243,False,2
213,251,False,1
169,247,False,1
201,191,False,1
213,245,False,4
203,245,False,1
225,247,False,2
207,215,False,1
171,191,False,2
165,247,False,1
229,173,False,1
219,169,False,1
183,245,False,2
227,219,False,1
201,253,False,1
175,205,False,1
213,243,False,1
171,253,False,4
251,201,False,1
203,253,False,2
143,253,False,2
245,209,False,1
247,165,False,2
177,251,False,1
153,251,False,3
179,221,False,3
189,209,False,1
225,189,False,1
211,219,False,4
157,229,False,1
181,213,False,1
199,235,False,2
155,231,False,2
213,181,False,1
229,201,False,1
203,219,False,3
163,249,False,1
241,177,False,1
179,237,False,3
171,229,False,1
193,253,False,3
197,217,False,1
197,215,False,1
139,207,False,2
161,241,False,1
197,205,False,1
131,251,False,1
211,227,False,3
201,203,False,1
127,255,False,1
255,191,False,1
253,251,False,2
255,187,False,1
253,191,False,1
247,255,False,1
191,239,False,1
239,223,False,3
255,221,False,2
189,255,False,1
255,207,False,1
159,255,False,3
223,247,False,1
191,243,False,3
253,245,False,2
223,221,False,1
251,253,False,2
215,247,False,3
221,251,False,4
245,255,False,1
237,223,False,4
221,255,False,4
247,207,False,2
255,103,False,1
223,107,False,1
253,159,False,1
237,239,False,2
247,237,False,1
223,123,False,1
191,247,False,4
191,207,False,2
191,183,False,2
245,239,False,2
191,107,False,3
215,255,False,3
189,251,False,2
217,251,False,1
185,251,False,1
247,211,False,1
205,255,False,2
247,159,False,2
223,173,False,2
251,151,False,1
241,255,False,2
