n59989,clocal+OneBit,circuit8,gap0.01,graph8
Time,
a,b,valid,frequency
235,255,False,3
171,255,False,5
249,245,False,3
253,237,False,2
255,237,False,2
251,247,False,2
255,231,False,2
239,221,False,2
251,241,False,1
251,223,False,3
235,251,False,2
239,219,False,2
211,247,False,2
249,253,False,1
241,249,False,1
245,237,False,2
249,239,False,1
207,255,False,1
255,239,False,1
239,253,False,2
251,239,True,2
247,251,False,2
183,239,False,1
195,219,False,1
251,245,False,3
205,255,False,4
239,247,False,2
227,247,False,1
243,215,False,2
187,227,False,1
245,243,False,4
249,237,False,3
211,203,False,1
235,239,False,3
239,235,False,3
255,211,False,1
255,179,False,1
209,245,False,1
165,215,False,1
247,175,False,3
209,249,False,1
253,253,False,1
237,253,False,1
255,195,False,1
185,253,False,1
199,227,False,1
247,179,False,1
225,253,False,2
225,249,False,2
201,253,False,3
255,163,False,1
161,245,False,1
253,209,False,1
237,201,False,2
213,241,False,1
239,255,False,2
251,255,False,1
255,253,False,2
191,255,False,2
243,245,False,2
187,255,False,3
195,223,False,2
247,245,False,2
167,245,False,1
239,191,False,3
219,255,False,3
183,247,False,3
255,243,False,3
227,255,False,2
187,247,False,4
175,251,False,3
223,215,False,2
191,237,False,2
251,169,False,2
247,231,False,1
235,247,False,4
231,231,False,4
243,253,False,3
175,243,False,3
227,251,False,3
247,227,False,1
235,243,False,2
243,239,False,2
203,255,False,4
183,227,False,2
255,155,False,1
247,249,False,1
215,251,False,3
235,191,False,1
253,247,False,2
247,143,False,1
229,247,False,3
255,219,False,1
247,235,False,5
207,219,False,2
235,223,False,2
251,163,False,1
231,247,False,1
155,255,False,4
211,183,False,3
191,231,False,1
219,209,False,1
249,189,False,3
251,215,False,2
225,205,False,1
243,247,False,2
243,175,False,1
239,183,False,2
241,247,False,2
209,247,False,1
247,159,False,3
187,207,False,1
207,203,False,1
227,189,False,1
235,203,False,2
217,229,False,2
251,235,False,1
223,249,False,1
251,199,False,1
217,253,False,3
143,235,False,1
253,165,False,2
237,227,False,3
231,233,False,2
233,237,False,1
217,185,False,2
237,251,False,4
145,237,False,1
173,251,False,2
225,247,False,1
253,137,False,1
227,165,False,1
229,229,False,1
231,193,False,1
237,243,False,3
229,235,False,1
237,169,False,2
223,255,False,3
247,255,False,3
203,239,False,1
171,239,False,2
207,213,False,1
231,239,False,3
207,251,False,2
239,211,False,1
231,251,False,4
239,239,False,3
165,239,False,1
163,253,False,5
235,183,False,2
237,249,False,3
223,211,False,1
223,157,False,1
247,223,False,1
189,255,False,1
239,223,False,3
207,171,False,1
223,171,False,2
215,221,False,3
143,223,False,2
219,233,False,1
135,247,False,3
135,255,False,2
215,253,False,1
167,251,False,2
247,183,False,1
249,243,False,1
219,251,False,3
119,219,False,2
183,191,False,3
175,219,False,2
251,157,False,2
179,239,False,3
151,215,False,1
207,159,False,1
223,187,False,3
223,219,False,2
207,211,False,1
221,197,False,1
211,243,False,3
211,225,False,1
253,251,False,2
255,159,False,1
251,243,False,2
247,207,False,2
249,255,False,2
245,255,False,4
237,255,False,1
237,247,False,3
243,219,False,1
233,245,False,4
247,127,False,3
229,255,False,6
111,245,False,1
179,235,False,1
247,215,False,2
233,253,False,4
235,215,False,4
243,251,False,1
227,167,False,1
231,191,False,3
203,251,False,2
199,251,False,4
155,251,False,4
221,253,False,2
239,123,False,1
223,231,False,1
217,251,False,2
139,255,False,3
205,237,False,3
179,231,False,4
175,247,False,2
211,185,False,2
207,187,False,1
215,239,False,3
203,223,False,3
187,191,False,2
221,249,False,1
195,255,False,3
243,207,False,3
203,201,False,2
251,207,False,1
229,169,False,1
227,239,False,3
217,237,False,1
173,207,False,1
211,231,False,1
201,245,False,1
247,243,False,1
215,175,False,3
251,149,False,3
223,153,False,1
245,235,False,2
175,249,False,1
253,217,False,1
235,245,False,1
133,249,False,1
187,203,False,2
175,155,False,1
189,233,False,1
255,199,False,1
211,253,False,2
241,179,False,1
253,121,False,1
171,253,False,2
245,203,False,1
255,139,False,1
181,229,False,1
255,151,False,2
205,253,False,1
217,217,False,1
231,151,False,1
243,211,False,1
233,255,False,1
185,255,False,3
233,247,False,1
191,233,False,1
247,217,False,1
253,245,False,1
197,255,False,3
175,217,False,1
231,235,False,3
219,229,False,2
237,237,False,3
207,233,False,1
255,177,False,1
205,169,False,1
173,237,False,1
233,221,False,2
233,241,False,2
251,167,False,1
213,249,False,2
241,237,False,1
247,195,False,1
183,241,False,2
177,237,False,2
217,247,False,3
193,253,False,1
161,247,False,1
253,157,False,1
189,229,False,1
245,181,False,1
205,225,False,1
201,213,False,2
201,165,False,1
245,187,False,2
209,173,False,2
221,235,False,2
181,187,False,1
177,189,False,2
193,183,False,1
251,135,False,1
233,141,False,1
125,217,False,1
229,203,False,1
233,109,False,1
253,139,False,1
247,253,False,2
159,247,False,2
239,189,False,2
183,253,False,1
219,239,False,2
251,217,False,1
223,247,False,1
219,235,False,2
159,221,False,2
223,239,False,3
191,191,False,3
231,255,False,2
247,173,False,1
227,223,False,1
151,247,False,3
219,247,False,2
199,253,False,2
175,189,False,1
195,247,False,1
215,191,False,4
199,215,False,2
167,215,False,3
207,223,False,2
175,223,False,2
231,237,False,1
243,187,False,2
215,237,False,1
169,251,False,1
237,239,False,2
189,223,False,2
243,225,False,1
237,187,False,2
221,239,False,3
111,237,False,1
207,191,False,3
119,235,False,1
199,245,False,2
179,253,False,2
143,253,False,1
191,249,False,1
235,231,False,3
127,223,False,1
183,249,False,2
227,249,False,2
243,191,False,1
191,215,False,2
103,223,False,1
235,185,False,1
251,191,False,2
219,185,False,1
141,255,False,2
219,227,False,2
247,191,False,3
251,251,False,1
219,175,False,2
147,243,False,1
163,251,False,1
215,223,False,8
241,205,False,1
173,247,False,3
231,215,False,2
255,215,False,1
251,187,False,3
201,251,False,1
139,239,False,1
219,215,False,1
207,217,False,2
251,183,False,4
255,143,False,1
177,253,False,2
155,243,False,2
171,215,False,3
183,213,False,2
243,241,False,1
251,159,False,1
253,239,False,1
203,183,False,3
189,239,False,2
183,255,False,3
231,253,False,2
191,235,False,2
223,173,False,2
231,181,False,1
215,213,False,1
187,221,False,1
181,237,False,1
231,219,False,3
247,165,False,1
251,151,False,1
247,199,False,1
247,171,False,1
191,211,False,2
235,219,False,4
115,227,False,1
239,231,False,4
243,255,False,2
251,221,False,1
203,247,False,2
239,175,False,1
107,255,False,3
179,191,False,2
249,251,False,2
211,213,False,2
189,253,False,2
219,105,False,1
213,247,False,3
185,251,False,1
255,251,False,1
247,181,False,2
165,237,False,1
209,253,False,2
197,247,False,2
191,247,False,2
179,221,False,1
223,235,False,1
215,219,False,2
241,255,False,1
211,245,False,1
199,239,False,2
251,181,False,1
227,191,False,1
227,175,False,1
201,255,False,1
167,255,False,2
221,245,False,1
187,237,False,2
177,255,False,1
211,239,False,2
237,231,False,2
233,227,False,1
111,243,False,1
137,255,False,2
109,249,False,1
235,149,False,3
185,203,False,1
253,249,False,1
183,211,False,1
171,243,False,1
249,175,False,1
209,221,False,1
163,159,False,1
191,171,False,2
197,215,False,1
177,217,False,1
193,219,False,1
245,239,False,2
167,191,False,1
239,197,False,2
253,175,False,2
197,231,False,2
253,167,False,1
201,221,False,2
209,237,False,1
177,241,False,1
251,155,False,2
219,211,False,1
219,151,False,1
207,169,False,1
237,185,False,2
247,203,False,2
215,207,False,2
243,221,False,2
221,229,False,1
239,203,False,1
237,167,False,1
167,203,False,1
159,243,False,2
181,217,False,2
247,141,False,2
203,245,False,2
241,203,False,2
191,139,False,1
223,243,False,2
205,207,False,2
245,253,False,3
205,121,False,1
195,243,False,1
161,235,False,1
219,181,False,1
115,237,False,1
247,233,False,1
183,185,False,1
221,237,False,2
187,229,False,3
247,133,False,1
181,169,False,1
229,249,False,2
205,173,False,1
243,173,False,1
239,209,False,1
233,189,False,1
225,245,False,1
149,249,False,2
205,185,False,1
117,251,False,2
213,235,False,2
217,239,False,1
213,207,False,1
217,223,False,2
255,185,False,2
209,223,False,1
225,207,False,1
177,239,False,2
223,169,False,1
171,165,False,1
237,177,False,1
229,213,False,1
245,175,False,2
179,245,False,2
189,179,False,1
225,255,False,2
205,215,False,1
197,219,False,1
113,207,False,1
217,159,False,1
231,177,False,1
225,137,False,1
221,233,False,1
205,171,False,1
221,217,False,2
205,219,False,1
223,221,False,2
215,255,False,3
119,247,False,1
159,223,False,2
159,239,False,2
119,255,False,3
219,253,False,2
231,221,False,3
207,175,False,1
211,249,False,2
123,217,False,1
175,239,False,2
255,191,False,1
167,207,False,2
187,215,False,2
223,191,False,1
143,239,False,3
127,237,False,1
207,253,False,2
199,221,False,1
191,183,False,3
207,205,False,1
247,187,False,4
205,223,False,1
199,235,False,1
219,203,False,1
179,207,False,1
143,255,False,1
179,255,False,2
79,255,False,2
219,183,False,3
187,189,False,1
211,251,False,4
237,159,False,3
239,229,False,2
243,177,False,1
245,245,False,1
247,151,False,1
191,223,False,1
167,217,False,1
255,203,False,2
187,127,False,1
175,191,False,1
183,231,False,2
113,239,False,1
247,157,False,1
167,247,False,3
203,191,False,1
151,223,False,3
253,171,False,1
145,255,False,1
179,183,False,2
167,253,False,2
175,123,False,1
135,223,False,1
183,219,False,1
255,175,False,2
203,213,False,1
215,187,False,1
233,243,False,1
169,247,False,1
151,255,False,3
237,223,False,1
241,219,False,1
247,149,False,4
227,241,False,1
195,175,False,1
215,217,False,2
175,159,False,1
153,219,False,1
155,213,False,1
211,153,False,1
223,203,False,1
227,207,False,1
187,249,False,1
251,219,False,1
175,235,False,1
179,247,False,2
221,175,False,1
199,187,False,2
139,231,False,1
139,235,False,2
215,235,False,1
119,231,False,1
219,249,False,1
159,227,False,2
127,243,False,1
213,237,False,3
241,187,False,1
227,179,False,1
191,141,False,1
171,235,False,1
239,243,False,1
249,223,False,1
237,191,False,2
83,255,False,1
205,249,False,2
199,237,False,1
211,235,False,3
217,241,False,1
203,221,False,1
205,247,False,2
181,239,False,2
163,209,False,1
211,227,False,1
123,223,False,2
127,179,False,2
237,199,False,1
221,205,False,1
107,179,False,1
