n59989,clocal+OneBit,circuit8,gap2,graph8
Time,
a,b,valid,frequency
239,251,True,8
243,247,False,7
253,237,False,4
255,235,False,6
223,251,False,3
255,187,False,1
237,253,False,5
243,239,False,5
255,233,False,2
171,255,False,5
253,217,False,2
233,253,False,1
231,243,False,4
237,245,False,3
249,245,False,2
245,245,False,7
247,211,False,4
185,235,False,1
217,221,False,2
221,197,False,1
161,245,False,1
255,239,False,3
239,247,False,6
237,255,False,4
251,239,True,3
235,255,False,10
231,255,False,8
251,215,False,1
243,251,False,5
249,253,False,6
203,255,False,13
235,247,False,10
187,239,False,4
253,233,False,2
237,249,False,3
235,249,False,2
233,251,False,3
253,229,False,4
241,247,False,3
215,243,False,4
221,237,False,2
237,237,False,2
253,173,False,1
189,233,False,2
245,241,False,2
235,151,False,1
227,231,False,2
213,245,False,2
203,217,False,1
185,233,False,2
213,241,False,3
197,233,False,1
197,209,False,1
255,247,False,3
239,255,False,4
253,223,False,3
255,245,False,1
255,219,False,2
243,255,False,10
219,255,False,9
251,247,False,8
239,191,False,4
191,239,False,2
175,255,False,2
159,255,False,3
251,235,False,4
223,235,False,3
243,253,False,4
247,243,False,4
239,235,False,8
247,249,False,3
245,247,False,2
239,187,False,2
223,175,False,2
249,239,False,3
221,253,False,4
255,217,False,2
251,245,False,2
253,249,False,6
247,235,False,5
191,235,False,4
245,253,False,5
235,251,False,9
253,175,False,1
215,251,False,8
175,251,False,6
189,247,False,2
255,179,False,1
255,173,False,3
255,155,False,2
191,231,False,4
219,239,False,6
215,223,False,5
187,223,False,5
227,255,False,6
221,249,False,1
249,243,False,1
219,231,False,3
243,215,False,2
159,235,False,1
249,237,False,4
217,253,False,4
245,249,False,2
245,235,False,2
207,243,False,5
235,183,False,4
249,189,False,3
217,239,False,4
189,237,False,5
207,215,False,3
249,221,False,2
179,247,False,5
237,241,False,2
235,211,False,2
241,237,False,4
213,237,False,3
203,249,False,2
173,249,False,4
179,215,False,3
251,169,False,2
219,233,False,3
213,249,False,3
241,231,False,1
227,243,False,3
227,237,False,1
179,249,False,2
231,229,False,1
175,217,False,1
241,215,False,2
201,253,False,4
237,211,False,1
189,227,False,1
165,253,False,1
225,253,False,1
177,253,False,5
209,245,False,3
201,221,False,1
201,237,False,3
177,243,False,1
173,233,False,2
203,211,False,2
241,213,False,2
245,225,False,2
237,169,False,1
201,245,False,1
229,233,False,3
241,229,False,4
241,173,False,1
197,219,False,1
177,245,False,1
193,247,False,1
145,253,False,1
233,153,False,1
177,229,False,2
173,169,False,1
229,201,False,1
181,225,False,1
255,251,False,2
251,255,False,9
253,255,False,9
191,255,False,1
255,253,False,2
247,255,False,8
247,251,False,6
251,223,False,3
247,239,False,3
215,255,False,12
239,253,False,3
221,255,False,4
245,255,False,6
253,247,False,5
251,251,False,9
247,253,False,4
255,207,False,2
239,245,False,2
219,247,False,5
219,251,False,8
251,249,False,3
253,219,False,1
239,183,False,2
235,239,False,3
249,223,False,1
255,203,False,3
223,243,False,3
239,219,False,2
239,221,False,1
245,251,False,2
207,253,False,4
217,255,False,4
251,231,False,3
251,207,False,2
191,219,False,4
223,187,False,2
235,223,False,3
207,251,False,3
235,191,False,1
237,251,False,3
241,255,False,2
157,255,False,2
211,255,False,7
253,243,False,4
239,159,False,1
187,251,False,3
219,191,False,5
199,255,False,11
249,235,False,2
119,219,False,1
227,251,False,6
