n59989,clocal+knownBit,circuit8,gap0.01,graph8
Time,
a,b,valid,frequency
255,235,False,2
243,247,False,5
251,239,True,2
181,241,False,1
191,239,False,4
255,231,False,1
215,243,False,3
237,255,False,2
171,255,False,7
173,255,False,2
235,251,False,4
245,247,False,2
255,233,False,1
233,253,False,2
241,249,False,3
237,245,False,2
237,249,False,2
249,253,False,3
241,253,False,1
245,245,False,2
253,225,False,2
221,217,False,2
165,241,False,1
251,255,False,2
207,255,False,6
255,251,False,3
239,253,False,4
243,255,False,4
203,255,False,2
251,251,False,4
191,251,False,1
239,247,False,4
231,255,False,5
255,207,False,2
199,255,False,4
223,253,False,4
255,187,False,2
227,251,False,4
251,223,False,3
223,251,False,4
247,247,False,4
207,215,False,3
255,227,False,1
239,251,True,1
247,227,False,3
247,245,False,3
207,251,False,2
235,253,False,1
205,255,False,4
235,255,False,1
235,239,False,5
223,231,False,4
199,223,False,2
245,253,False,2
195,255,False,1
233,251,False,1
205,223,False,2
229,253,False,5
229,191,False,1
243,249,False,1
239,187,False,4
243,175,False,2
199,219,False,1
211,209,False,2
251,143,False,1
253,233,False,3
211,207,False,2
237,253,False,2
237,217,False,2
219,199,False,1
241,229,False,1
255,167,False,2
225,253,False,1
235,229,False,1
237,237,False,2
249,239,False,1
225,221,False,1
253,173,False,4
221,235,False,2
177,247,False,2
191,255,False,3
255,191,False,2
159,223,False,1
215,223,False,2
239,229,False,1
231,251,False,5
255,189,False,2
243,221,False,1
255,247,False,1
191,249,False,2
235,249,False,1
239,191,False,1
251,247,False,1
223,239,False,5
243,237,False,5
243,243,False,1
187,247,False,3
247,239,False,4
249,249,False,2
159,235,False,1
255,159,False,2
223,237,False,2
247,219,False,2
231,245,False,3
251,187,False,2
251,207,False,1
239,183,False,1
249,245,False,1
255,173,False,3
219,245,False,2
215,213,False,2
237,223,False,1
241,255,False,3
139,255,False,3
171,237,False,1
163,253,False,4
203,211,False,1
211,203,False,1
253,143,False,1
211,247,False,1
221,253,False,1
255,185,False,1
135,251,False,1
233,249,False,1
191,233,False,1
247,251,False,1
249,247,False,2
239,219,False,2
233,255,False,2
243,215,False,1
239,243,False,4
191,231,False,1
221,199,False,1
173,245,False,2
171,231,False,2
247,235,False,4
225,237,False,1
251,183,False,2
239,235,False,2
219,227,False,2
205,249,False,2
225,181,False,1
237,233,False,2
159,203,False,2
223,203,False,2
235,167,False,2
167,243,False,2
219,181,False,3
253,153,False,2
249,221,False,1
229,241,False,1
249,255,False,3
239,195,False,2
231,233,False,1
245,237,False,1
249,237,False,1
241,189,False,1
241,245,False,1
