n59989,clocal+knownBit,circuit8,gap0.1,graph8
Time,
a,b,valid,frequency
255,235,False,1
255,171,False,4
251,239,True,3
239,251,True,4
255,239,False,1
255,237,False,2
255,243,False,3
251,247,False,2
255,219,False,3
239,247,False,4
255,227,False,1
249,253,False,5
249,239,False,3
255,167,False,2
253,249,False,2
239,187,False,6
227,255,False,5
243,247,False,1
243,239,False,2
187,239,False,3
217,253,False,6
229,253,False,2
247,243,False,3
207,251,False,2
207,171,False,2
233,205,False,1
201,217,False,2
255,231,False,1
223,191,False,2
251,251,False,7
247,247,False,2
247,235,False,3
223,251,False,2
219,255,False,7
253,221,False,2
211,255,False,7
219,191,False,3
183,239,False,2
249,189,False,2
237,245,False,3
167,255,False,4
223,235,False,3
235,247,False,6
223,205,False,1
219,207,False,1
243,211,False,1
209,253,False,3
195,255,False,3
245,241,False,3
173,249,False,3
203,215,False,2
217,229,False,2
227,231,False,1
245,225,False,1
221,225,False,1
245,177,False,2
141,233,False,1
233,197,False,1
193,247,False,1
223,255,False,2
251,255,False,1
247,255,False,1
255,187,False,3
253,223,False,3
253,219,False,3
251,223,False,1
255,183,False,2
249,247,False,2
239,253,False,2
255,203,False,1
255,173,False,4
255,241,False,2
207,239,False,2
187,255,False,2
223,187,False,2
247,251,False,3
255,175,False,5
237,191,False,4
175,255,False,7
239,237,False,1
219,251,False,9
235,235,False,3
235,255,False,3
231,245,False,1
185,255,False,3
237,253,False,3
233,253,False,1
253,243,False,2
189,249,False,3
237,249,False,1
159,221,False,1
247,175,False,2
251,237,False,2
239,189,False,3
235,253,False,6
231,253,False,5
219,175,False,1
237,243,False,1
199,239,False,2
215,251,False,4
221,249,False,2
235,219,False,2
207,219,False,2
231,187,False,3
239,199,False,1
227,223,False,3
179,239,False,2
231,151,False,2
207,253,False,2
207,245,False,4
219,235,False,2
255,165,False,2
235,203,False,2
229,251,False,3
241,247,False,1
219,245,False,5
189,205,False,2
221,217,False,1
243,245,False,3
237,237,False,2
175,247,False,1
243,243,False,1
173,253,False,4
211,203,False,3
239,147,False,1
151,255,False,2
183,243,False,1
235,185,False,1
171,243,False,2
215,205,False,1
241,189,False,3
245,167,False,1
237,217,False,2
189,233,False,2
227,191,False,2
243,151,False,1
215,229,False,1
243,179,False,1
245,181,False,3
243,229,False,1
163,239,False,2
233,189,False,1
215,179,False,2
163,255,False,6
229,245,False,1
207,215,False,2
177,253,False,1
241,215,False,1
229,217,False,1
213,205,False,1
215,195,False,2
177,245,False,1
201,245,False,1
153,239,False,2
239,225,False,2
245,153,False,3
197,237,False,2
245,193,False,1
183,241,False,1
165,213,False,2
221,197,False,2
213,201,False,1
219,163,False,1
175,201,False,1
201,157,False,1
213,209,False,1
193,223,False,1
209,165,False,1
221,255,False,2
223,253,False,4
243,255,False,4
247,237,False,2
237,239,False,3
221,251,False,2
247,239,False,2
219,223,False,6
253,237,False,1
215,239,False,1
247,189,False,1
157,255,False,3
215,255,False,6
253,233,False,1
251,227,False,1
249,251,False,1
245,253,False,5
255,211,False,2
223,219,False,1
205,255,False,2
159,239,False,3
217,255,False,5
247,207,False,2
207,247,False,3
207,255,False,3
251,159,False,3
223,249,False,1
239,235,False,2
203,251,False,5
239,219,False,1
229,255,False,3
213,239,False,4
231,243,False,4
235,251,False,4
191,171,False,1
183,215,False,2
199,255,False,3
233,255,False,2
237,223,False,2
183,223,False,2
231,239,False,3
213,223,False,3
239,211,False,2
221,215,False,2
203,255,False,7
235,191,False,1
247,151,False,2
227,247,False,1
179,255,False,4
251,245,False,2
223,231,False,1
247,245,False,3
175,221,False,1
245,237,False,3
243,237,False,3
223,243,False,2
219,231,False,3
229,191,False,2
187,223,False,2
207,207,False,3
215,183,False,4
245,243,False,1
219,219,False,2
231,191,False,2
215,253,False,5
201,253,False,4
253,205,False,1
205,251,False,1
217,247,False,1
235,183,False,2
243,187,False,3
191,179,False,3
221,189,False,2
181,221,False,1
229,237,False,3
187,235,False,2
251,185,False,1
155,255,False,2
227,251,False,1
183,237,False,2
235,175,False,3
203,243,False,1
243,175,False,1
159,223,False,1
183,247,False,2
239,231,False,1
225,255,False,1
231,249,False,2
251,211,False,4
169,255,False,2
213,237,False,4
203,187,False,1
207,173,False,2
159,251,False,1
245,205,False,1
215,215,False,4
241,221,False,1
227,175,False,1
205,243,False,2
223,233,False,2
171,255,False,7
185,253,False,2
233,251,False,1
245,233,False,1
189,237,False,2
223,179,False,2
207,221,False,2
173,245,False,1
245,249,False,1
167,251,False,4
181,215,False,2
227,207,False,1
217,191,False,3
183,253,False,2
229,249,False,1
237,181,False,1
245,143,False,2
207,235,False,1
239,227,False,1
151,237,False,2
155,223,False,2
219,171,False,3
167,231,False,1
221,173,False,2
191,241,False,2
179,247,False,3
239,163,False,1
185,245,False,2
171,251,False,2
203,239,False,4
235,151,False,3
215,199,False,2
211,235,False,4
217,231,False,2
203,223,False,1
195,253,False,1
233,221,False,1
247,227,False,2
201,251,False,1
217,221,False,1
211,215,False,2
203,235,False,2
181,237,False,2
231,149,False,1
167,243,False,3
169,245,False,1
183,227,False,1
179,253,False,1
181,249,False,2
235,209,False,1
203,209,False,2
187,227,False,1
209,243,False,1
229,209,False,1
199,229,False,1
179,205,False,1
227,209,False,1
203,207,False,2
221,209,False,1
195,245,False,1
241,209,False,2
203,203,False,1
197,217,False,2
225,155,False,1
161,247,False,1
163,209,False,1
147,231,False,2
225,227,False,1
201,197,False,1
195,235,False,1
133,241,False,1
135,233,False,1
245,161,False,1
183,225,False,1
219,193,False,1
215,193,False,1
255,223,False,3
253,255,False,1
191,253,False,1
239,255,False,1
247,223,False,3
247,253,False,2
255,189,False,3
191,191,False,2
255,253,False,1
223,247,False,4
247,231,False,2
237,247,False,1
221,191,False,3
191,251,False,1
253,251,False,2
239,191,False,5
251,253,False,2
237,255,False,2
253,247,False,1
251,249,False,1
251,191,False,1
213,255,False,7
223,237,False,3
187,251,False,3
253,231,False,1
191,235,False,2
245,255,False,3
183,191,False,3
253,245,False,1
159,255,False,2
191,183,False,4
183,255,False,3
253,175,False,1
215,191,False,1
221,245,False,2
247,215,False,1
247,183,False,1
159,253,False,1
231,235,False,2
189,247,False,1
253,171,False,2
247,173,False,3
239,245,False,2
255,205,False,1
215,219,False,2
219,239,False,1
221,253,False,2
221,243,False,1
245,175,False,1
247,233,False,2
255,199,False,2
199,253,False,3
243,253,False,3
235,243,False,3
187,243,False,1
235,239,False,2
211,239,False,3
211,251,False,2
223,173,False,2
175,253,False,2
223,183,False,1
