n59989,clocal+knownBit,circuit8,gap1,graph8
Time,
a,b,valid,frequency
239,251,True,3
233,253,False,2
251,255,False,1
247,239,False,4
235,255,False,8
251,175,False,2
191,239,False,6
251,237,False,3
243,247,False,3
251,207,False,2
239,221,False,2
235,251,False,3
247,243,False,3
171,255,False,4
239,217,False,1
237,185,False,3
177,245,False,1
255,207,False,3
223,251,False,4
223,253,False,7
253,237,False,3
255,175,False,3
255,179,False,2
253,221,False,2
253,245,False,1
243,255,False,4
249,235,False,1
245,253,False,4
245,251,False,1
255,203,False,1
187,239,False,3
255,173,False,2
215,251,False,4
243,251,False,5
231,251,False,2
249,245,False,1
237,249,False,3
203,255,False,8
185,189,False,2
227,247,False,3
205,249,False,1
195,255,False,5
221,235,False,2
241,217,False,1
217,229,False,1
197,241,False,2
193,247,False,2
255,223,False,1
253,247,False,3
255,219,False,1
253,219,False,1
255,159,False,2
237,255,False,3
239,253,False,3
247,247,False,6
247,251,False,2
255,171,False,1
247,235,False,1
231,255,False,4
255,229,False,1
175,255,False,4
255,167,False,5
243,235,False,2
253,185,False,1
251,189,False,3
221,243,False,3
233,255,False,3
245,237,False,2
237,191,False,3
249,221,False,2
231,223,False,5
243,239,False,1
239,243,False,1
237,243,False,1
217,239,False,2
245,231,False,1
189,253,False,2
239,179,False,2
221,253,False,3
237,245,False,2
249,249,False,3
231,245,False,2
253,205,False,1
243,221,False,4
207,253,False,4
245,173,False,1
235,253,False,1
213,253,False,3
219,245,False,2
175,239,False,1
215,235,False,1
249,181,False,1
247,227,False,1
169,255,False,3
231,189,False,2
243,173,False,1
237,213,False,1
215,155,False,1
157,249,False,1
189,237,False,1
243,171,False,2
173,251,False,1
183,243,False,1
181,237,False,2
173,221,False,3
143,255,False,4
153,253,False,1
183,237,False,2
241,249,False,1
235,181,False,3
223,203,False,2
187,245,False,2
233,241,False,2
215,213,False,2
173,249,False,1
175,249,False,1
205,217,False,2
255,139,False,2
203,247,False,4
255,131,False,3
207,249,False,1
233,229,False,1
229,241,False,1
233,227,False,1
211,183,False,1
251,169,False,2
237,169,False,2
243,141,False,1
139,255,False,1
199,199,False,1
163,215,False,1
167,211,False,1
147,215,False,1
147,255,False,2
183,227,False,1
163,167,False,1
219,163,False,1
177,243,False,1
229,177,False,1
177,177,False,1
163,211,False,1
255,255,False,1
255,247,False,4
253,255,False,2
191,251,False,2
191,255,False,1
253,251,False,3
253,239,False,1
223,223,False,2
245,255,False,3
237,239,False,3
187,255,False,3
223,191,False,4
239,191,False,3
191,253,False,1
251,251,False,2
223,235,False,5
255,143,False,2
253,175,False,2
251,221,False,4
251,239,True,1
251,187,False,3
251,159,False,1
255,213,False,1
245,219,False,2
247,253,False,5
221,251,False,4
207,255,False,7
247,223,False,4
159,247,False,2
235,235,False,3
221,187,False,1
249,223,False,1
241,255,False,3
251,245,False,2
219,223,False,1
223,187,False,3
159,255,False,2
255,217,False,1
241,247,False,2
231,215,False,2
251,183,False,1
233,239,False,2
215,255,False,8
191,207,False,1
223,207,False,2
